Qubit,Error_Rate
"(97, 98)",0.0029075565100306344
"(97, 110)",0.0015132936492941174
"(98, 97)",0.0029075565100306344
"(98, 99)",0.001676106594009491
"(99, 92)",0.0024719210160221994
"(99, 98)",0.001676106594009491
"(99, 100)",0.13218482462859793
"(100, 99)",0.13218482462859793
"(100, 101)",0.04278426787674283
"(101, 100)",0.04278426787674283
"(101, 102)",0.0027618741560649362
"(101, 111)",0.0029065441794716707
"(102, 101)",0.0027618741560649362
"(102, 103)",0.0016168727020651752
"(103, 93)",0.0022367489605554514
"(103, 102)",0.0016168727020651752
"(103, 104)",0.006005766206330337
"(104, 103)",0.006005766206330337
"(104, 105)",0.010179189709203784
"(105, 104)",0.010179189709203784
"(105, 106)",0.009757991126616433
"(105, 112)",0.00656956781579307
"(106, 105)",0.009757991126616433
"(106, 107)",0.004150278315862066
"(107, 94)",0.0020917140399979717
"(107, 106)",0.004150278315862066
"(107, 108)",0.022888913468034428
"(108, 107)",0.022888913468034428
"(108, 109)",0.014110716872621526
"(109, 108)",0.014110716872621526
"(109, 113)",0.002844334880417826
"(110, 97)",0.0015132936492941174
"(110, 116)",0.0015698852379061323
"(111, 101)",0.0029065441794716707
"(111, 120)",0.001686797161962461
"(112, 105)",0.00656956781579307
"(112, 124)",0.0018195363920764651
"(113, 109)",0.002844334880417826
"(113, 128)",0.001868237276464374
"(114, 115)",0.0034474750041119107
"(114, 129)",0.0046915200474376695
"(115, 114)",0.0034474750041119107
"(115, 116)",0.00295370467770803
"(116, 110)",0.0015698852379061323
"(116, 115)",0.00295370467770803
"(116, 117)",0.0598574939348962
"(117, 116)",0.0598574939348962
"(117, 118)",0.025771406744428987
"(118, 117)",0.025771406744428987
"(118, 119)",0.0027166529908485004
"(118, 130)",0.0013048973243911244
"(119, 118)",0.0027166529908485004
"(119, 120)",0.002023980966386868
"(120, 111)",0.001686797161962461
"(120, 119)",0.002023980966386868
"(120, 121)",0.0016476436649316695
"(121, 120)",0.0016476436649316695
"(121, 122)",0.003129632404606064
"(122, 121)",0.003129632404606064
"(122, 123)",0.008438231769763438
"(122, 131)",0.00289517846767004
"(123, 122)",0.008438231769763438
"(123, 124)",0.016727150833277638
"(124, 112)",0.0018195363920764651
"(124, 123)",0.016727150833277638
"(124, 125)",0.003189217351967033
"(125, 124)",0.003189217351967033
"(125, 126)",0.0028116512518827352
"(126, 125)",0.0028116512518827352
"(126, 127)",0.009601728893314121
"(126, 132)",0.001943691902282857
"(127, 126)",0.009601728893314121
"(127, 128)",0.020643361762906293
"(128, 113)",0.001868237276464374
"(128, 127)",0.020643361762906293
"(129, 114)",0.0046915200474376695
"(130, 118)",0.0013048973243911244
"(131, 122)",0.00289517846767004
"(132, 126)",0.001943691902282857
