n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,z,5,"['x', 'x', 'z']",1,m1,0,na,1000000,838800,46448,86091,0,0.8388,0.05537434430138288,0,2.8776283289771527
3,z,5,"['x', 'x', 'z']",0.5,normal,0,na,1000000,894806,21624,38226,0,0.894806,0.0241661321001424,0,21.96111725899391
3,z,5,"['x', 'x', 'z']",0.1,normal,0,na,1000000,979923,5896,11045,0,0.979923,0.006016799279127016,0,8.166769005940296
3,z,5,"['x', 'x', 'z']",0.7,normal,0,na,1000000,858950,30447,56060,0,0.85895,0.035446766400838214,0,30.053538564010523
3,z,5,"['x', 'x', 'z']",0.9,normal,0,na,1000000,819201,33468,63479,0,0.819201,0.0408544423163546,0,27.645566474995576
3,z,5,"['x', 'x', 'z']",0.9,m1,0,na,1000000,844893,39514,69731,0,0.844893,0.046768052285910744,0,2.157312906929292
3,z,4,"['z', 'z', 'x']",0.7,m1,0,na,1000000,1000000,1791,3506,0,1.0,0.001790999999999987,0,0.18169680098071694
3,z,5,"['x', 'x', 'z']",1,normal,0,na,1000000,798447,37275,67416,0,0.798447,0.04668437604499731,0,34.70870689104777
3,z,4,"['z', 'z', 'x']",0.5,m1,0,na,1000000,1000000,940,1850,0,1.0,0.0009400000000000519,0,0.1869526570662856
3,z,4,"['z', 'z', 'x']",0.3,m1,0,na,1000000,1000000,352,698,0,1.0,0.00035200000000001896,0,0.047872869996353984
3,z,5,"['x', 'x', 'z']",0.7,m1,0,na,1000000,896691,32852,57197,0,0.896691,0.03663692397938645,0,3.315745664993301
3,z,4,"['z', 'z', 'x']",0.15,m1,0,na,1000000,1000000,90,178,0,1.0,9.00000000000345e-05,0,0.12092302308883518
3,z,5,"['x', 'x', 'z']",0.5,m1,0,na,1000000,911904,23756,42588,0,0.911904,0.026050987823279637,0,3.5643502580933273
3,z,5,"['x', 'x', 'z']",0.3,m1,0,na,1000000,947539,15924,29769,0,0.947539,0.01680564071769075,0,2.578156962990761
3,z,4,"['z', 'z', 'x']",0.1,m1,0,na,1000000,1000000,40,81,0,1.0,4.0000000000040004e-05,0,0.01703236799221486
3,z,5,"['x', 'x', 'z']",0.1,m1,0,na,1000000,982504,5034,9121,0,0.982504,0.005123643262521016,0,0.5806874189293012
3,z,5,"['x', 'x', 'z']",0.15,m1,0,na,1000000,972768,6590,12475,0,0.972768,0.006774482713247099,0,1.6998528270050883
