epoch,train_loss,val_loss,ler_x,ler_z,ler_total
1,0.07595324840641114,0.004085899577476084,0.0003750000000000142,0.0010000000000000009,0.001
2,0.003963116297731176,0.0032343362756073477,0.0003750000000000142,0.0010000000000000009,0.001
3,0.003455270185309928,0.0031381345116533337,0.0003750000000000142,0.0010000000000000009,0.001
4,0.003337126137514133,0.002901123930234462,0.0003750000000000142,0.0007500000000000284,0.000875
5,0.00278713748708833,0.0029381876888219267,0.00024999999999997247,0.0006249999999999867,0.00075
6,0.0030297271232120693,0.002637059408298228,0.00012500000000004174,0.0007500000000000284,0.000875
7,0.0028766291255597027,0.0024492440085159615,0.00012500000000004174,0.0007500000000000284,0.000875
8,0.00297909670365334,0.0023914174046367406,0.00012500000000004174,0.0006249999999999867,0.00075
9,0.002665740272408584,0.002945210698293522,0.00024999999999997247,0.0006249999999999867,0.00075
10,0.0036559901688888205,0.002907016885001212,0.00024999999999997247,0.0010000000000000009,0.001
