epoch,train_loss,val_loss,val_accuracy,val_LER,val_f1_score,learning_rate,train_time_sec,val_time_sec,total_epoch_time_sec,train_throughput_samples_per_sec,train_samples,val_samples
101,0.30827865204387084,0.30560568079537126,0.823123583522197,0.17687641647780294,0.8164112498702736,0.0002,12.9673525178805,6.9286986999213696,19.89605121780187,16196.675436284728,210028,210028
102,0.3065442081999079,0.3050558863651374,0.8256137276934504,0.17438627230654957,0.8199701146261379,0.0001999509027563903,12.496542856097221,6.9022813038900495,19.39882415998727,16806.888306514684,210028,210028
103,0.30594391739050364,0.3050592592113448,0.8259803454777458,0.1740196545222542,0.821095191709946,0.00019980365947861302,12.455264791846275,6.8838891428895295,19.339153934735805,16862.588111132965,210028,210028
104,0.3058976797863033,0.30428007635620813,0.8262374540537453,0.17376254594625473,0.8222747084175412,0.00019955841547800645,12.475234094075859,6.88376344833523,19.35899754241109,16835.59590274434,210028,210028
105,0.30578520867146947,0.3044655318152987,0.8264802788199669,0.17351972118003312,0.8202462218364045,0.00019921541278079054,12.442732621449977,7.311726984102279,19.754459605552256,16879.57190673161,210028,210028
106,0.3054739078156874,0.30463537165037796,0.8264802788199669,0.17351972118003312,0.82052772059765,0.0001987749898892162,12.446328395046294,6.868071582168341,19.314399977214634,16874.695358640245,210028,210028
107,0.30541375056024095,0.30389454638263025,0.826585026758337,0.173414973241663,0.8210608025783123,0.00019823758144750452,12.427322062198073,6.874045551754534,19.301367613952607,16900.503499371887,210028,210028
108,0.3052320856316709,0.3043575460478931,0.8267421486658921,0.17325785133410787,0.8241253147610232,0.00019760371781290536,12.458175675012171,6.888293468859047,19.346469143871218,16858.648126247008,210028,210028
109,0.3051926034608239,0.30414514477704263,0.8269325994629287,0.17306740053707126,0.823030521380546,0.00019687402453229879,12.48747426411137,6.920316154602915,19.407790418714285,16819.0937220679,210028,210028
110,0.30498981286880167,0.3040697293670966,0.8273611137562611,0.1726388862437389,0.8255747389081043,0.00019604922172485585,12.946391897741705,6.916782055981457,19.863173953723162,16222.89836882167,210028,210028
111,0.304961463814746,0.3037190644963144,0.8270801988306321,0.1729198011693679,0.8215261533622943,0.0001951301233713678,12.455066392663866,6.902239508926868,19.357305901590735,16862.856718588682,210028,210028
112,0.3049429724513741,0.3035273763594336,0.827423010265298,0.17257698973470204,0.8230970462487555,0.00019411763651094546,12.44065632717684,6.844714467879385,19.285370795056224,16882.389037722234,210028,210028
113,0.3048185461871609,0.3035003172878374,0.8276610737615937,0.1723389262384063,0.8249862197681053,0.00019301276034588104,12.42520804097876,6.887627904769033,19.312835945747793,16903.378946036195,210028,210028
114,0.3045913414392138,0.3035372606608946,0.8278324794789266,0.17216752052107342,0.8248571151796958,0.00019181658525555613,12.448933073785156,7.332917623221874,19.78185069700703,16871.16468175694,210028,210028
115,0.3048085442020858,0.30405961803229625,0.8280181690060373,0.1719818309939627,0.8259908180421137,0.00019053029172036898,12.425790919922292,6.907444681972265,19.333235601894557,16902.586028810587,210028,210028
116,0.3046793782408164,0.3036162799104461,0.8278562858285562,0.1721437141714438,0.8257481191592726,0.00018915514915674264,12.442176645155996,6.848072610329837,19.290249255485833,16880.326167187824,210028,210028
117,0.304413192475201,0.30340803365728103,0.8282467099624812,0.17175329003751882,0.8278754622450197,0.00018769251466436445,12.42836500890553,6.849440017249435,19.277805026154965,16899.08526580163,210028,210028
118,0.30460829879094364,0.3035612335339165,0.8281086331346297,0.17189136686537032,0.8248275058953681,0.00018614383168689242,12.432719836011529,6.861244847998023,19.293964684009552,16893.165998291963,210028,210028
119,0.3043009086035451,0.3037092405311186,0.8277705829698897,0.1722294170301103,0.8274477067283612,0.00018451062858745054,12.896128094289452,6.898221846204251,19.794349940493703,16286.12855458552,210028,210028
120,0.3045690899367996,0.30397994289099506,0.8283990706001104,0.17160092939988958,0.8255914675751402,0.00018279451714031894,12.474637109786272,6.9073106329888105,19.381947742775083,16836.401584398347,210028,210028
121,0.30448339879541164,0.30470600952674287,0.8275991772525568,0.17240082274744317,0.8198476548701186,0.0001809971909403073,12.484961010050029,6.936045415233821,19.42100642528385,16822.479447948102,210028,210028
122,0.30445667919342145,0.30342313726732467,0.8278039118593711,0.17219608814062892,0.8282079782635544,0.0001791204237313812,12.518586338032037,6.91869337297976,19.437279711011797,16777.293723806924,210028,210028
123,0.30443288279133224,0.3033090237895102,0.8280943493248519,0.17190565067514807,0.8286613231588389,0.00017716606765619107,12.44077730178833,7.309993893839419,19.75077119562775,16882.22487270221,210028,210028
124,0.3043820584872877,0.3035774704972144,0.8279134210676672,0.1720865789323328,0.825319343286179,0.00017513605142823076,12.431517931167036,6.851611901074648,19.283129832241684,16894.799264492005,210028,210028
125,0.304307241343057,0.3030559475176208,0.8282371874226294,0.17176281257737058,0.8268845945284494,0.00017303237842843048,12.41054531186819,6.848448120988905,19.258993432857096,16923.349838556285,210028,210028
126,0.30418313907884964,0.3032405929219247,0.8283371740910735,0.17166282590892645,0.826636790275427,0.0001708571247280615,12.396444324404001,6.8610945818945765,19.257538906298578,16942.60019274501,210028,210028
127,0.30416060035894443,0.3032276223940775,0.8279038985278153,0.17209610147218468,0.82439306414548,0.00016861243703990454,12.44555009715259,6.855840731877834,19.301390829030424,16875.750638619997,210028,210028
128,0.3041361467108415,0.30348239051066744,0.8284038318700364,0.1715961681299636,0.825912221889461,0.00016630053059970337,12.928911059629172,6.920027014799416,19.848938074428588,16244.832919905943,210028,210028
129,0.3041963859492093,0.3034728613442303,0.8284181156798142,0.17158188432018584,0.8262565388231323,0.00016392368697999463,12.48083208175376,6.945619398262352,19.426451480016112,16828.044686784026,210028,210028
130,0.3041320141310293,0.30346761806017963,0.8282467099624812,0.17175329003751882,0.8282278993357302,0.00016148425183847118,12.47104461165145,6.90063918242231,19.37168379407376,16841.251598424642,210028,210028
131,0.30427162300383176,0.30309561661947254,0.8284514445692955,0.17154855543070446,0.8256151627204615,0.0001589846326031011,12.454644443001598,6.857791369780898,19.312435812782496,16863.428013636876,210028,210028
132,0.30422425851233514,0.30300050068589984,0.8285228636181843,0.17147713638181572,0.8254757439632489,0.000156427296096287,12.446547504980117,7.356198146939278,19.802745651919395,16874.398295267303,210028,210028
133,0.3040035165047326,0.30358288479824846,0.8283371740910735,0.17166282590892645,0.8261251181542854,0.00015381476610041014,12.412249346729368,6.849163914099336,19.261413260828704,16921.02649028256,210028,210028
134,0.3038147745045356,0.30317399907943526,0.8285419086978879,0.1714580913021121,0.8270904856793028,0.00015114962086716193,12.425652903970331,6.849718468263745,19.275371372234076,16902.77377158108,210028,210028
135,0.3039962990499604,0.303023702857254,0.8287085531452949,0.1712914468547051,0.8281324645047868,0.00014843449057312067,12.447486541233957,6.870451478753239,19.317938019987196,16873.125293548565,210028,210028
136,0.30409326566762496,0.3029771957760808,0.8289370941017388,0.17106290589826123,0.8247534314729725,0.0001456720547240849,12.419026309158653,6.845681139733642,19.264707448892295,16911.792822687778,210028,210028
