n,lstate,i,meas_type,p_error,sim_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,16,"['x', 'z', 'z', 'z', 'x']",0.01,m2,100000,11839,3894,7345,33426,0.177832186739568,0.32891291494214037,66.26006551699993,3.6428513330001806
5,x,17,"['z', 'z', 'z', 'z', 'x']",0.01,m2,100000,100000,0,0,0,1.0,0.0,105.2097225589996,-57.421255939998446
5,x,18,"['x', 'x', 'x', 'x', 'z']",0.01,m2,100000,6274,2,3,50810,0.12754624923764993,0.0003187759005419677,16.869918745000177,0.8858708099996875
5,x,19,"['z', 'x', 'x', 'x', 'z']",0.01,m2,100000,12625,7,12,50751,0.25635038274888833,0.000554455445544555,20.41988565400061,1.5971088919995964
5,x,20,"['x', 'z', 'x', 'x', 'z']",0.01,m2,100000,6578,136,259,33426,0.09880734220566588,0.020674977196716293,62.554811588999655,1.9160207550003179
5,x,21,"['z', 'z', 'x', 'x', 'z']",0.01,m2,100000,27384,25,46,50633,0.5547025340814714,0.0009129418638621489,61.76334323800074,8.16967629499868
5,x,22,"['x', 'x', 'z', 'x', 'z']",0.01,m2,100000,6413,180,341,50810,0.13037202683472252,0.028067986901606168,48.0552478489999,2.0497397029994318
5,x,23,"['z', 'x', 'z', 'x', 'z']",0.01,m2,100000,15331,828,1538,33458,0.23039584022121368,0.054008218641967254,27.415422996000416,2.075748489999569
5,x,24,"['x', 'z', 'z', 'x', 'z']",0.01,m2,100000,9098,2600,4954,33426,0.13665995734070358,0.28577709386678396,23.742841970999507,1.2233194979999098
5,x,25,"['z', 'z', 'z', 'x', 'z']",0.01,m2,100000,66526,114,205,33474,1.0,0.0017136157291886,83.06049608499961,-3.7763929779994214
5,x,26,"['x', 'x', 'x', 'z', 'z']",0.01,m2,100000,6439,235,434,50810,0.1309005895507217,0.03649635036496346,16.978108459000396,0.9591502030007177
5,x,27,"['z', 'x', 'x', 'z', 'z']",0.01,m2,100000,15021,851,1496,50751,0.30500111677394465,0.05665401770854139,40.23722797600112,-17.467388171001403
5,x,28,"['x', 'z', 'x', 'z', 'z']",0.01,m2,100000,8616,2361,4378,33426,0.12941989365217652,0.274025069637883,63.49962499100093,-38.17616119000104
5,x,29,"['z', 'z', 'x', 'z', 'z']",0.01,m2,100000,37336,2854,4390,33391,0.5605248539987089,0.0764409685022498,83.42476777000047,10.967878327999642
5,x,30,"['x', 'x', 'z', 'z', 'z']",0.01,m2,100000,8466,2272,3920,50810,0.17210815206342753,0.268367587999055,32.16819971000041,9.012666750999415
5,x,31,"['z', 'x', 'z', 'z', 'z']",0.01,m2,100000,20951,6020,8613,33458,0.3148537765621713,0.287337119946542,78.09956677799892,6.396293593001246
5,x,32,"['x', 'z', 'z', 'z', 'z']",0.01,m2,100000,11630,4997,0,33426,0.17469282302400335,0.42966466036113504,66.22254387800058,3.710492947999228
5,z,2,"['z', 'x', 'x', 'x', 'x']",0.01,m2,100000,10087,2072,3272,50751,0.20481634144855734,0.20541290770298404,28.324637226998675,26.62646018700252
5,z,3,"['x', 'z', 'x', 'x', 'x']",0.01,m2,100000,5557,1170,2119,33426,0.08347102472436688,0.2105452582328594,62.742613870999776,1.7397711840003467
5,z,4,"['z', 'z', 'x', 'x', 'x']",0.01,m2,100000,22077,737,1268,50633,0.4472015719002573,0.03338315894369703,61.83704072399996,6.731195172000298
5,z,5,"['x', 'x', 'z', 'x', 'x']",0.01,m2,100000,5365,1124,2114,50810,0.10906688351290912,0.20950605778191989,17.511704816999554,0.7332913959999132
5,z,6,"['z', 'x', 'z', 'x', 'x']",0.01,m2,100000,12081,354,656,33458,0.18155450692795527,0.02930221008194689,31.265087660000063,45.931000860000495
5,z,7,"['x', 'z', 'z', 'x', 'x']",0.01,m2,100000,6619,140,259,33426,0.09942319824556133,0.02115123130382235,56.61108400299963,10.930951877000552
5,z,8,"['z', 'z', 'z', 'x', 'x']",0.01,m2,100000,49367,18,33,50633,1.0,0.00036461603905446616,21.9643138320007,5.478550850999454
5,z,9,"['x', 'x', 'x', 'z', 'x']",0.01,m2,100000,5365,1093,2104,50810,0.10906688351290912,0.20372786579683133,47.310603240999626,1.5360002610013908
5,z,10,"['z', 'x', 'x', 'z', 'x']",0.01,m2,100000,11999,321,614,50751,0.2436394647607058,0.026752229352446033,20.804122128000017,1.5492803380002442
5,z,11,"['x', 'z', 'x', 'z', 'x']",0.01,m2,100000,6478,88,167,33426,0.09730525430348184,0.013584439641864732,23.01721518100021,0.8164926230001583
5,z,12,"['z', 'z', 'x', 'z', 'x']",0.01,m2,100000,28546,6,11,33391,0.4285607050098335,0.00021018706648912033,69.12627972600058,-35.64662208000118
5,z,13,"['x', 'x', 'z', 'z', 'x']",0.01,m2,100000,6781,68,129,50810,0.13785322219963408,0.010028019466155391,48.867322055999466,2.0205986910004867
5,z,14,"['z', 'x', 'z', 'z', 'x']",0.01,m2,100000,17597,4,7,33458,0.2644495206035286,0.00022731147354659864,28.149580830999184,2.238590279001073
5,z,15,"['x', 'z', 'z', 'z', 'x']",0.01,m2,100000,11839,1,2,33426,0.177832186739568,8.446659346228458e-05,66.0870714850007,3.594056672998704
5,z,16,"['z', 'z', 'z', 'z', 'x']",0.01,m2,100000,100000,0,0,0,1.0,0.0,93.03662960700058,17.220523332000084
5,z,17,"['x', 'x', 'x', 'x', 'z']",0.01,m2,100000,6274,1484,2777,50810,0.12754624923764993,0.23653171820210395,16.93824497300011,0.8520911579998938
5,z,18,"['z', 'x', 'x', 'x', 'z']",0.01,m2,100000,12625,368,687,50751,0.25635038274888833,0.029148514851485174,56.75090841100064,3.8239425939991634
5,z,19,"['x', 'z', 'x', 'x', 'z']",0.01,m2,100000,6578,96,179,33426,0.09880734220566588,0.01459410155062324,62.74339735400099,1.9025051489988982
5,z,20,"['z', 'z', 'x', 'x', 'z']",0.01,m2,100000,27384,4,7,50633,0.5547025340814714,0.00014607069821792606,61.893484725000235,-20.57472069800133
5,z,21,"['x', 'x', 'z', 'x', 'z']",0.01,m2,100000,6413,48,91,50810,0.13037202683472252,0.007484796507094993,48.24908148400027,1.84656085899951
5,z,22,"['z', 'x', 'z', 'x', 'z']",0.01,m2,100000,15331,0,1,33458,0.23039584022121368,0.0,60.09687846399902,20.191834775001553
5,z,23,"['x', 'z', 'z', 'x', 'z']",0.01,m2,100000,9098,0,0,33426,0.13665995734070358,0.0,23.822769664999214,1.1361639080023451
5,z,24,"['z', 'z', 'z', 'x', 'z']",0.01,m2,100000,66526,0,0,33474,1.0,0.0,67.92156043799878,-11.416112736998912
5,z,25,"['x', 'x', 'x', 'z', 'z']",0.01,m2,100000,6439,24,41,50810,0.1309005895507217,0.003727286845783495,20.397211479999896,4.543659868000759
5,z,26,"['z', 'x', 'x', 'z', 'z']",0.01,m2,100000,15021,0,0,50751,0.30500111677394465,0.0,20.75673390100019,17.747499340001013
