,list_key,list_value
151,110000110000001111000000111100111111001100100001,15
152,111111000011111111000011001111000011110011101101,9
153,001100001111110011001100001100111100001111101100,17
154,111100000011000011000000111100110000110011101010,16
155,110000000000000011000000110000001100000011010000,17
156,001111111111110011000011110000111100001101010000,13
157,110000110000110011001111111111001111001101001110,14
158,001111001111110011000000111100111111001101010100,11
159,110000110000111111001100111111111111000001110001,9
160,110011111111111100110000001100001100000000010110,7
161,001111000000110000110000111111001111001111101101,18
162,110011001100111100000011000000111111110010001110,15
163,001111111111111111000000110000001100000001010011,13
164,111111110011111111000000000011000000110011101010,11
165,110000111100110000001111111100001111111111010100,12
166,110011111111111100110000001100001100000000011110,13
167,001100000000000000110000001100001100000000001001,15
168,111100000011111111001111111111000000110011111011,16
169,001100110000110000111111000011001111001110011100,15
170,111100000011110011001100111111110000111110001111,14
171,001100001111110011001100001100111100001111011000,12
172,001111001100000011111100111111001111110010111100,18
173,000000110011111100111100000111000011110011111110,1
174,110000110011000011110011111100111111110001000011,19
175,001111110011111100000000110011001100110011010001,12
176,111111001100001100111111001111110011111101101000,11
177,111111110011110011000011000011110000111111111100,13
178,110011111100000000001111001111001100110011100000,15
179,000000111100000011000011001111000011110011011100,14
180,111111110011000011001111000000110000110000100110,13
181,110011000011001111111111000000001111111101100011,8
182,000000000000000000000000000000000000000001010000,19
183,000011110011110000110011111111110000111101101001,19
184,110000110011111111111100111111001111110010010001,14
185,110011110011110011110011001111111100111100110010,11
186,110000110000111111001100111111111111000000100011,14
187,111111000000001111111111001100110011001100101111,15
188,110000000011110011111100110011111100111111100100,16
189,110011111111110000110011001100111100001101000111,18
190,000011110000111100000000111111110000000010111010,9
191,111100110000110011111111110011000011001101101011,16
192,111111111111000100001110000011100000001100100100,1
193,111111001111111100000011001100000011000001101111,22
194,001111000000000000111100111100001111000010100110,21
195,110000111100110000001111111100001111111111110100,12
196,111100111111111100001100110000000011000001111110,18
197,110100000011110011101100110111111000111100001001,1
198,111111001100110000110000001100000011111111000011,13
199,111100110000000011110011110000000011000000101011,13
200,110011111100110000000011001100001100111101100100,10
201,111100110000110011111111110011000011001100111100,7
202,111100110000111111111100110011110011000001110101,16
203,111100110011111111001100110011000011110011011010,10
204,110011000000110011000000000011001111001101010011,19
205,110011000000110011000000000011001111001101000010,25
206,100000110000001111000000111100111111001111011000,1
207,000000000000110000001100000011000000001110010011,11
208,001100110000111100111100000011111111000011001001,16
209,111100110000000011110011110000000011000000111101,16
210,001111111100000011111111110011001100110010001100,18
211,000000111111000011110011001111110011000001001011,22
212,001111110000001100111100110000111100001110000111,17
213,110000111111111100111100111100001111000010011111,13
214,001111110000110000110011110011001100001100110001,8
215,111111001100000000111100001111000011100010111011,1
216,001110000000110000110100101111001110001111011011,1
217,110011000011000011111100000000111111110011000010,12
218,000000111100110011001111001100000011111111011010,12
219,111100001111001100000011111111000000001111101111,11
220,110011001100110000000000000000001111111110000110,15
221,000011111111000011111111111111110000000001010001,16
222,001100001111001111000011000111001100001100010111,1
223,111111111100001100111100000011110000111100011010,13
224,110011111100001100001100001111111100111100101100,19
225,111100001100001100110011111111110000111111010010,19
226,001100111100001111110000000011111111111111110111,15
227,001111000011000000001100111100111111110011110000,14
228,111111000011111111000011001111000011110010010110,17
229,110000000000000011000000110000001100000010010111,9
230,001100111111001111000000000011001111001110101010,16
231,111100111100110000111111110000000011111100111110,11
232,000000001100000011000000000011000000110000011111,9
233,110000001111000000110000110011111100000010100100,14
234,000011110011001100111100111100000000111111010011,10
235,111111000011001111001111001100000011111110111010,17
236,110000000000001111000011110000111100001101110101,14
237,001111001100110011110000111100001111111111100111,16
238,001111111111001111001100110011001100001100000001,18
239,110000001111110000111100110000111100001101011111,16
240,111111000011100011000000001111110011111111111001,1
241,110000001100001100000011110011111100111111111010,12
242,001100110011000000000011000000111111110000000000,16
243,000011001111111111110011110000000011000010100110,15
244,110000110011000011110011111100111111110011101111,14
245,110011111100110000000011001100001100111101011001,4
246,110000001100001100000011110011011100111101011001,1
247,001100000011000000000000001100111100110001100101,12
248,111111000011110011000000001111110011111111110101,19
249,000000110000111100001100001111110011000001011010,14
250,111111111111001100001100000011000000001111001111,20
251,000011000011111100110011110011000111110000011111,1
252,000011111111111111110000111100000000000010010101,13
253,000000000000110000001100000011000000001100100000,13
254,111100110000111111111100110011110011000000111011,10
255,111100001111110000001100111100110000001110010101,14
256,001100001100111111111111001100111100110011001011,16
257,111111110000100011110011000011000000001110000010,1
258,110000001111000000110000110011111100000010110110,15
259,000011000010001100111111110000000011111100111000,1
260,110000001100001100000011110011111100111110001001,15
261,001111111111001111001100110011001100001101110001,17
262,110011110011110011110011001111111100111100001000,12
263,110000000000110011001100110011001100001110011011,21
264,111111001100000000111100001111000011110000001010,21
265,111100001100110000111100111100000000111101010100,17
266,110000111111000000110011111111111111000011101111,15
267,001100000000001100110011001100111100001111101000,15
268,001111000011110000000000111110111111111100010110,1
269,001111000000111100110011111111101111000010001111,1
270,111111001111110000000000001100110011001101101111,19
271,000011000000001100001111110000110011001101100000,12
272,001111111111111111000000110000001100000010101111,11
273,001111110000000000111111110000001100000000011111,13
274,111100110000001111110000110000110011001100010000,11
275,110011001110000000101100000011101111110010011011,1
276,001100000011111100001111001111001100110001000100,21
277,110000110011110011111111111111111111111101101011,12
278,001111000011001100001111111100001111111111110000,12
279,001111111111000011001111110011111100000010100010,7
280,001111111111000011001111110011111100000001100001,21
281,000000111100111111001100001100110011110011110010,10
282,001111001100110011110000111100001111111111010010,8
283,001111001111111111000011111100001111000001001110,15
284,110000110000001111000000111100111111001110011000,14
285,000011000011110000110000110011110011111100011110,17
286,000011111100110011000011111100000000111100001011,16
287,000011001100110011000000110000000011111110110101,21
288,110000110000111111001100111111111111000010000011,14
289,110000001100000000000000110011001100110001110011,17
290,111111001100001100111111001111110011111100001110,11
291,000000111111111111111100001100000011000011000000,17
292,111111010000110011110000001111000011001101100111,1
293,110000000011110011111100110011111100101111000011,1
294,111100111111001100000000110011000011001110111000,16
295,111100000000001111110011111100110000001100000100,24
296,110011110011110011110011001111111100111111011100,13
297,110011000011110011110000000011111111111100111011,20
298,110011110011110011110011001111111100111101101101,15
299,110000000011000111110001110000101100110110001110,1
300,000000111100000011000011001111000011110000001100,11
301,000011111111111111110000111100000000000011011101,11
302,110000110000110011001111111111001111001110100010,12
303,110011110011000011111111001100111100110001011011,12
304,001100110011111100001100000011001111110010101110,19
305,111111111100001100111100000011110000111100010010,17
306,110000111100111100001100111100111111110000110110,19
307,001111001111110011000000111100111111001100111110,14
308,110011111111000000111111001111111100000000100111,14
309,111111110000111111110000000011110000000000001001,14
310,111111000000110011110000001111000011001101110101,12
311,111111111111110000000011000000110000001101001110,18
