,circuit_name,type,error_scale,count_accepted,prep_rate,success_rate,ler,total_discard,shots
0,polar_all_meas_n4_z_13,normal,0.1,42846,0.8907692307692308,0.999906642393689,9.335760631101753e-05,0.0,48100
1,polar_all_meas_n4_z_13,dynamic,0.1,42226,0.9085940525885441,0.999786861175579,0.00021313882442097754,0.03380457380457381,46474
2,polar_all_meas_n4_z_13,normal,0.2,38246,0.7951351351351351,0.9997385347487319,0.0002614652512681337,0.0,48100
3,polar_all_meas_n4_z_13,dynamic,0.2,37121,0.8282424864454807,0.9995420381994019,0.00045796180059809455,0.06821205821205821,44819
4,polar_all_meas_n4_z_13,normal,0.3,34137,0.7097089397089397,0.9993555379793186,0.0006444620206813578,0.0,48100
5,polar_all_meas_n4_z_13,dynamic,0.3,32750,0.7556181071478012,0.9990839694656488,0.0009160305343511865,0.09891891891891892,43342
6,polar_all_meas_n4_z_13,normal,0.4,30569,0.6355301455301455,0.9988877621119435,0.0011122378880564776,0.0,48100
7,polar_all_meas_n4_z_13,dynamic,0.4,28972,0.6909611256856666,0.9985848405356896,0.001415159464310367,0.12827442827442828,41930
8,polar_all_meas_n4_z_13,normal,0.5,27213,0.5657588357588358,0.9981258957116084,0.0018741042883916315,0.0,48100
9,polar_all_meas_n4_z_13,dynamic,0.5,25500,0.6283264340626848,0.9978431372549019,0.002156862745098076,0.15625779625779626,40584
10,polar_all_meas_n4_z_13,normal,0.6,24178,0.5026611226611226,0.9974356853337745,0.002564314666225531,0.0,48100
11,polar_all_meas_n4_z_13,dynamic,0.6,22417,0.5721249553366342,0.9964758888343668,0.003524111165633226,0.1854054054054054,39182
12,polar_all_meas_n4_z_13,normal,0.7,21627,0.44962577962577965,0.996485874138808,0.003514125861192041,0.0,48100
13,polar_all_meas_n4_z_13,dynamic,0.7,19349,0.5212553879310344,0.9952969145692284,0.004703085430771581,0.2118895966029724,37120
14,polar_all_meas_n4_z_13,normal,0.8,18964,0.4026326963906582,0.9957814807002742,0.004218519299725831,0.0,47100
15,polar_all_meas_n4_z_13,dynamic,0.8,17147,0.476636553161918,0.9937015221321513,0.006298477867848651,0.2361995753715499,35975
16,polar_all_meas_n4_z_13,normal,0.9,17017,0.3612951167728238,0.994476112123171,0.005523887876829003,0.0,47100
17,polar_all_meas_n4_z_13,dynamic,0.9,15014,0.4307436309387193,0.9924070867190622,0.0075929132809378075,0.25995753715498937,34856
18,polar_all_meas_n4_z_13,normal,1.0,15274,0.32428874734607216,0.9929291606651827,0.007070839334817336,0.0,47100
19,polar_all_meas_n4_z_13,dynamic,1.0,13303,0.3940228659439607,0.9906787942569345,0.009321205743065497,0.2831847133757962,33762
