n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,2,0.1,m1,anqi,2000000,5.7e-05,3.919999999999999e-06,2.828427124746189e-06,0.0357473035439137,2,0.03684437596302,0.0265846000939164,5.5e-05,5.8800000000000005e-06,4.242640687119286e-06,0,2,56,56,48,1.0,0.0,114,4.0,0,0,0,0,618.5327446419979,"['x', 'x', 'x', 'x']"
4,x,2,0.1,m1,val,3000000,5.533333333333333e-05,3.97407151979484e-06,3.5118845842842488e-06,0.1375271621034333,3,0.0442056711405067,0.0390645246928769,4.766666666666667e-05,2.673881905478332e-06,2.3629078131263025e-06,0,2,56,56,48,1.0,0.0,166,8.0,30,0,0,0,1025.2898261130322,"['x', 'x', 'x', 'x']"
4,x,2,0.1,normal,anqi,3000000,1.633333333333333e-05,1.7285575232288666e-06,1.5275252316519474e-06,0.2018518518518518,3,0.0689629629629629,0.0609425284144604,1.3e-05,1.1316065276116662e-06,9.999999999999995e-07,0,2,64,64,64,1.0,0.0,49,10.0,0,0,0,0,997.5951440879726,"['x', 'x', 'x', 'x']"
4,x,2,0.1,normal,val,3000000,1.633333333333333e-05,1.7285575232288666e-06,1.5275252316519474e-06,0.204861111111111,3,0.0748611111111111,0.0661547183446446,1.3e-05,2.0400326794768105e-06,1.8027756377319948e-06,0,2,64,64,64,1.0,0.0,49,6.0,8,0,0,0,895.4491011550417,"['x', 'x', 'x', 'x']"
4,x,3,0.0001,m1,anqi,125000000,0.9918646,1.6658147752820618e-05,9.502232335342415e-05,0.0,125,0.0,0.0,0.9918646,1.6658147752820618e-05,9.502232335342415e-05,1,1,40,40,32,1.0,0.0,123983075,0.0,0,0,0,0,561.9040063959546,"['z', 'x', 'x', 'x']"
4,x,3,0.0001,m1,val,2000000,0.991856,3.135999999997696e-05,2.26274169979529e-05,0.0,2,0.0,0.0,0.991856,3.135999999997696e-05,2.26274169979529e-05,1,1,40,40,32,1.0,0.0,1983712,0.0,0,0,0,0,11.085776132007595,"['z', 'x', 'x', 'x']"
4,x,3,0.0001,normal,anqi,126000000,0.9898722142857144,1.906325919202205e-05,0.0001091757927119,0.0,126,0.0,0.0,0.9898722142857144,1.906325919202205e-05,0.0001091757927119,1,1,48,48,48,1.0,0.0,124723899,0.0,0,0,0,0,7483.309048213123,"['z', 'x', 'x', 'x']"
4,x,3,0.0001,normal,val,3000000,0.9898773333333332,6.192207719743366e-05,5.472050194701905e-05,0.0,3,0.0,0.0,0.9898773333333332,6.192207719743366e-05,5.472050194701905e-05,1,1,48,48,48,1.0,0.0,2969632,0.0,0,0,0,0,133.58874338003807,"['z', 'x', 'x', 'x']"
4,x,3,0.005,m1,anqi,125000000,0.6663840639999999,8.285881350123434e-05,0.0004726478049074,7.201576361574929e-08,125,6.558102595143887e-08,3.740908981163141e-07,0.666384016,8.285636740235402e-05,0.0004726338517356,1,1,40,40,32,1.0,0.0,83298008,6.0,0,0,0,0,7116.11495003954,"['z', 'x', 'x', 'x']"
4,x,3,0.005,m1,val,2000000,0.666301,0.0028439599999999,0.0020520238790033,4.50249095698044e-06,2,1.9217897289684627e-08,1.3866434177227117e-08,0.6662980000000001,0.00284396,0.0020520238790033,1,1,40,40,32,1.0,0.0,1332602,0.0,12,0,0,0,98.26014435902472,"['z', 'x', 'x', 'x']"
