n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,z,12,0.005,normal,1330000000,0.7875497007518797,2.1966463187600023e-05,0.0001292498018849,2.359565000174525e-06,133,6.868823420640749e-08,4.041588573993889e-07,0.787547842481203,2.1970686486823423e-05,0.0001292746516108,2,0,32,16,32,1.0,0.0,1047441102,97.0,4749,0,0,0,60861.121462510426,"['z', 'z', 'x', 'z']"
4,z,12,0.01,m1,50000000,0.70191732,0.0001127624197924,0.0001286451203893,1.6868152539629306e-05,5,1.1235134657530967e-06,1.2817614709491355e-06,0.70190548,0.0001130524771839,0.0001289760326572,2,0,24,8,16,1.0,0.0,35095866,33.0,1118,0,0,0,204.2497850097716,"['z', 'z', 'x', 'z']"
4,z,12,0.01,normal,50000000,0.6285892399999999,6.295297879017501e-05,7.181996936782337e-05,3.7957985573355705e-05,5,2.3498416309038184e-06,2.680819195438729e-06,0.6285653800000001,6.278848298725083e-05,7.163230416509282e-05,2,0,32,16,32,1.0,0.0,31429462,59.0,2268,0,0,0,2272.308943839744,"['z', 'z', 'x', 'z']"
4,z,14,0.0001,m1,50000000,0.99345436,3.1184985890039825e-05,3.557742261607186e-05,0.0,5,0.0,0.0,0.99345436,3.1184985890039825e-05,3.557742261607186e-05,1,1,40,8,32,1.0,0.0,49672718,0.0,0,0,0,0,9.511542164254934,"['z', 'x', 'z', 'z']"
4,z,14,0.0001,normal,50000000,0.99224554,1.5289834248977576e-05,1.7443422829295054e-05,0.0,5,0.0,0.0,0.99224554,1.5289834248977576e-05,1.7443422829295054e-05,1,1,48,16,48,1.0,0.0,49612277,0.0,0,0,0,0,156.8991584633477,"['z', 'x', 'z', 'z']"
4,z,14,0.0005,m1,50000000,0.96773794,2.498624112906529e-05,2.850557840142402e-05,0.0,5,0.0,0.0,0.96773794,2.498624112906529e-05,2.850557840142402e-05,1,1,40,8,32,1.0,0.0,48386897,0.0,0,0,0,0,16.570554735139012,"['z', 'x', 'z', 'z']"
4,z,14,0.0005,normal,50000000,0.96179814,5.0123971775582185e-05,5.718398377167481e-05,0.0,5,0.0,0.0,0.96179814,5.0123971775582185e-05,5.718398377167481e-05,1,1,48,16,48,1.0,0.0,48089907,0.0,0,0,0,0,685.3269266691059,"['z', 'x', 'z', 'z']"
4,z,14,0.001,m1,72360000000,0.9365433120508568,1.7848529971270737e-06,7.746324046885952e-05,3.984156043513804e-10,7236,1.0587635097216579e-10,4.5950704335446935e-09,0.9365433116777224,1.784852760094559e-06,7.7463230181566e-05,1,1,40,8,32,1.0,0.0,67768274060,0.0,54,0,0,0,48607.15743498269,"['z', 'x', 'z', 'z']"
4,z,14,0.001,normal,72330000000,0.9251499614267938,1.9040173653088912e-06,8.261788371386462e-05,4.931490616874231e-10,7233,1.184409302114635e-10,5.139311845291473e-09,0.9251499609705516,1.904015977105716e-06,8.261782347785493e-05,1,1,48,16,48,1.0,0.0,66916096710,0.0,66,0,0,0,772250.782799112,"['z', 'x', 'z', 'z']"
4,z,14,0.005,m1,1340000000,0.7211062798507463,2.457886051278145e-05,0.0001451637145675,2.592399817528632e-07,134,2.1638267063851247e-08,1.2779645428069366e-07,0.7211060929104477,2.4578249025590697e-05,0.0001451601031002,1,1,40,8,32,1.0,0.0,966282415,3.0,495,0,0,0,13943.535288678846,"['z', 'x', 'z', 'z']"
