n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept.1,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,2,0.1,m1,anqi,340000000,4.984705882352941e-05,16948,0.0553925773153289,7.677283792572679e-07,340,7.222557064987547e-06,0.0034774309570807,0.0327146217407884,4.70735294117647e-05,7.344266901519029e-07,6.909264816814222e-06,0,2,56,56,48,1.0,0.0,16948,943.0,0,0,0,0,128961.252661544,"['x', 'x', 'x', 'x']"
4,x,2,0.1,m1,val,340000000,4.984705882352941e-05,16948,0.139043112312209,7.677283792572679e-07,340,7.222557064987547e-06,0.0041907946137778,0.0394257318909273,4.290441176470589e-05,6.826343035472048e-07,6.422017662884309e-06,0,2,56,56,48,1.0,0.0,16948,956.0,2809,0,0,0,130357.28484982294,"['x', 'x', 'x', 'x']"
4,x,2,0.1,normal,anqi,340000000,2.0661764705882355e-05,7025,0.2170793325437703,5.295037656964504e-07,340,4.98141174300247e-06,0.0102466251913815,0.0963971596828161,1.616764705882353e-05,4.6031808671173857e-07,4.330533739729466e-06,0,2,64,64,64,1.0,0.0,7025,1528.0,0,0,0,0,128262.75272239395,"['x', 'x', 'x', 'x']"
4,x,2,0.1,normal,val,340000000,2.0661764705882355e-05,7025,0.2143900622459509,5.295037656964504e-07,340,4.98141174300247e-06,0.0084541303292192,0.0795339085897808,1.6191176470588235e-05,4.330314763448079e-07,4.073829538334826e-06,0,2,64,64,64,1.0,0.0,7025,742.0,1556,0,0,0,128348.24897011898,"['x', 'x', 'x', 'x']"
4,z,14,0.01,m1,anqi,289000000,0.521284214532872,150651138,9.958264979539145e-08,5.874315936390391e-05,289,0.0005095069944828,5.2492462045969464e-08,4.552917626436127e-07,0.5212841626297579,5.874407654330803e-05,0.0005095149496103,1,1,40,8,32,1.0,0.0,150651138,15.0,0,0,0,0,35314.704139140944,"['z', 'x', 'z', 'z']"
4,z,14,0.01,m1,val,289000000,0.521284214532872,150651138,4.67636935357903e-06,5.874315936390391e-05,289,0.0005095069944828,2.3110409296253306e-07,2.00447427569544e-06,0.5212817768166089,5.874317690721216e-05,0.0005095071466441,1,1,40,8,32,1.0,0.0,150651138,13.0,1383,0,0,0,35260.586470285925,"['z', 'x', 'z', 'z']"
4,z,14,0.01,normal,anqi,289000000,0.4624060034602076,133635335,3.816639905383773e-07,5.695392982831889e-05,289,0.0004939881668782,1.0595061359564752e-07,9.189594036357184e-07,0.4624058269896194,5.695535301163694e-05,0.0004940005108152,1,1,48,16,48,1.0,0.0,133635335,51.0,0,0,0,0,134908.29713499986,"['z', 'x', 'z', 'z']"
4,z,14,0.01,normal,val,289000000,0.4624060034602076,133635335,6.012592630305676e-06,5.695392982831889e-05,289,0.0004939881668782,2.957802733781698e-07,2.565441146647391e-06,0.462403223183391,5.695182472430917e-05,0.000493969908323,1,1,48,16,48,1.0,0.0,133635335,48.0,1511,0,0,0,133905.78603688907,"['z', 'x', 'z', 'z']"
4,z,15,0.01,m1,anqi,289000000,0.3909977024221453,112998336,7.072455406344134e-08,5.534233841038237e-05,289,0.0004800100780492,5.42670575637196e-08,4.706836625424659e-07,0.3909976747404844,5.53396466279442e-05,0.0004799867309566,0,2,56,8,48,1.0,0.0,112998336,8.0,0,0,0,0,42080.21469822305,"['x', 'z', 'z', 'z']"
4,z,15,0.01,m1,val,289000000,0.3909977024221453,112998336,2.172465217956416e-06,5.534233841038237e-05,289,0.0004800100780492,1.9045906071039722e-07,1.6519408326922208e-06,0.3909968529411765,5.533736176684286e-05,0.0004799669132838,0,2,56,8,48,1.0,0.0,112998336,9.0,473,0,0,0,41961.59161920112,"['x', 'z', 'z', 'z']"
4,z,15,0.01,normal,anqi,289000000,0.3467543321799308,100212002,5.990151511601747e-08,5.359560288954439e-05,289,0.0004648598209807,4.7513315767367296e-08,4.121052898190021e-07,0.3467543114186851,5.359645538884621e-05,0.0004648672151073,0,2,64,16,64,1.0,0.0,100212002,6.0,0,0,0,0,121938.74097177415,"['x', 'z', 'z', 'z']"
4,z,15,0.01,normal,val,289000000,0.3467543321799308,100212002,2.2901529317158684e-06,5.359560288954439e-05,289,0.0004648598209807,2.0733529789951285e-07,1.7983163593325093e-06,0.3467535380622837,5.359577360503808e-05,0.0004648613016763,0,2,64,16,64,1.0,0.0,100212002,7.0,445,0,0,0,123298.6184147,"['x', 'z', 'z', 'z']"
4,z,15,0.05,m1,anqi,320000000,0.01039251875,3325606,0.0001765539755608,1.1912532426273304e-05,320,0.0001087233970992,1.42145476668254e-05,0.0001297334483772,0.010390684375,1.1916274197349765e-05,0.0001087575475257,0,2,56,8,48,1.0,0.0,3325606,587.0,0,0,0,0,130798.91142950194,"['x', 'z', 'z', 'z']"
