n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept.1,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,2,0.05,normal,anqi,5000000,0.0015822,7911,0.0093788874451097,1.985703462252103e-05,5,2.265391798343056e-05,0.0024960633327833,0.0028476363715552,0.0015674,2.27950612194835e-05,2.600576859083386e-05,0,2,64,64,64,1.0,0.0,7911,74.0,0,0,0,0,1519.8948165462352,"['x', 'x', 'x', 'x']"
4,x,2,0.05,normal,val,5000000,0.0015822,7911,0.0095500451372443,1.985703462252103e-05,5,2.265391798343056e-05,0.0022891547136969,0.0026115844647145,0.0015671,2.072508856434636e-05,2.364423819876632e-05,0,2,64,64,64,1.0,0.0,7911,15.0,121,0,0,0,1363.6995403189212,"['x', 'x', 'x', 'x']"
4,x,2,0.1,m1,anqi,30000000,5.196666666666667e-05,1559,0.0611841061574656,2.59493581668609e-06,30,7.251555520801339e-06,0.0135496119171155,0.0378644290430867,4.876666666666667e-05,2.4553934503799146e-06,6.861603981242454e-06,0,2,56,56,48,1.0,0.0,1559,96.0,0,0,0,0,9806.786696441006,"['x', 'x', 'x', 'x']"
4,x,2,0.1,m1,val,30000000,5.196666666666667e-05,1559,0.1441808602925193,2.59493581668609e-06,30,7.251555520801339e-06,0.0157318844028535,0.0439627957117683,4.4483333333333335e-05,2.3571025430531084e-06,6.586929761137651e-06,0,2,56,56,48,1.0,0.0,1559,98.0,253,0,0,0,9831.918426267335,"['x', 'x', 'x', 'x']"
4,x,2,0.1,normal,anqi,30000000,1.99e-05,597,0.2023121158126093,1.4012964112506348e-06,30,3.915926807107187e-06,0.0371140946965446,0.1037154431973488,1.59e-05,1.3301668376906538e-06,3.717155011471858e-06,0,2,64,64,64,1.0,0.0,597,120.0,0,0,0,0,9810.208820348373,"['x', 'x', 'x', 'x']"
4,x,2,0.1,normal,val,30000000,1.99e-05,597,0.1921518273869532,1.4012964112506348e-06,30,3.915926807107187e-06,0.0239945909054775,0.0670529525359098,1.603333333333333e-05,1.125672798393097e-06,3.145695836989104e-06,0,2,64,64,64,1.0,0.0,597,55.0,122,0,0,0,9931.63376058312,"['x', 'x', 'x', 'x']"
4,z,14,0.005,m1,anqi,8675000000,0.7211372171517672,6255813769,2.1623123677369523e-09,1.205192456866705e-05,962,0.0001907163249828,1.086280988228798e-09,1.7189911602366738e-08,0.7211372155925156,1.2051941887408502e-05,0.0001907165990442,1,1,40,8,32,1.0,0.0,6255813769,15.0,0,0,0,0,64547.545172458165,"['z', 'x', 'z', 'z']"
4,z,14,0.005,normal,anqi,8594000000,0.6786785736621196,5832521854,1.7470883978184846e-08,1.4340182677721616e-05,953,0.0002258629846267,5.0878767305152315e-09,8.013587062265339e-08,0.6786785618048268,1.434014872995647e-05,0.0002258624499373,1,1,48,16,48,1.0,0.0,5832521854,95.0,0,0,0,0,499169.9270307865,"['z', 'x', 'z', 'z']"
4,z,15,0.005,m1,anqi,9364000000,0.6245022307692307,5847685504,1.356256493129951e-09,1.6485015829818046e-05,1651,0.0003417486705584,1.9351243450540993e-09,4.011680541375332e-08,0.6245022299212598,1.6484928796892705e-05,0.0003417468662904,0,2,56,8,48,1.0,0.0,5847685504,5.0,0,0,0,0,118558.50916904176,"['x', 'z', 'z', 'z']"
4,z,15,0.005,normal,anqi,9295000000,0.5877087481662592,5462698628,3.3275722176971394e-09,1.744054425081279e-05,1636,0.0003599114073155,2.964009098832509e-09,6.116670848774282e-08,0.5877087462102689,1.7440516825822182e-05,0.0003599108413603,0,2,64,16,64,1.0,0.0,5462698628,14.0,0,0,0,0,657326.480650306,"['x', 'z', 'z', 'z']"
4,z,15,0.05,m1,anqi,2000000,0.0103415,20683,4.878048780487805e-05,0.0001793399999999,2,0.0001294005409571,9.560975609756098e-05,6.898602743283391e-05,0.010341,0.00018032,0.0001301076477383,0,2,56,8,48,1.0,0.0,20683,1.0,0,0,0,0,724.4135584379546,"['x', 'z', 'z', 'z']"
4,z,15,0.05,m1,val,2000000,0.0103415,20683,0.0011869934284505,0.0001793399999999,2,0.0001294005409571,0.0005417855631637,0.0003909186180225,0.01032925,0.00018473,0.0001332896282536,0,2,56,8,48,1.0,0.0,20683,1.0,47,0,0,0,691.4376507892739,"['x', 'z', 'z', 'z']"
4,z,15,0.05,normal,anqi,2000000,0.0062135,12427,0.0,0.0001166199999999,2,8.414570696119897e-05,0.0,0.0,0.0062135,0.0001166199999999,8.414570696119897e-05,0,2,64,16,64,1.0,0.0,12427,0.0,0,0,0,0,726.8330989631359,"['x', 'z', 'z', 'z']"
4,z,15,0.05,normal,val,2000000,0.0062135,12427,0.0015275278687138,0.0001166199999999,2,8.414570696119897e-05,0.0002867723022371,0.0002069169791514,0.0062039999999999,0.00011466,8.27314933988263e-05,0,2,64,16,64,1.0,0.0,12427,0.0,38,0,0,0,721.9467225261033,"['x', 'z', 'z', 'z']"
4,z,15,0.1,m1,anqi,6000000,0.0001856666666666,1114,0.010781221859754,7.980300189285555e-06,6,9.973297682645726e-06,0.0068110923747831,0.008512092300602,0.0001836666666666,8.060131788280161e-06,1.0073066398404534e-05,0,2,56,8,48,1.0,0.0,1114,12.0,0,0,0,0,1776.459138653474,"['x', 'z', 'z', 'z']"
4,z,15,0.1,m1,val,2000000,0.0001864999999999,373,0.0376528610982925,2.058000000000001e-05,2,1.4849242404917504e-05,0.004154937701892,0.0029979434943015,0.0001795,2.0580000000000023e-05,1.4849242404917514e-05,0,2,56,8,48,1.0,0.0,373,4.0,20,0,0,0,654.7304956191219,"['x', 'z', 'z', 'z']"
4,z,15,0.1,normal,anqi,6000000,8.599999999999999e-05,516,0.0176786421900628,6.52025357380115e-06,6,8.148619514985345e-06,0.0056268751611374,0.0070321290771059,8.45e-05,6.612882377098004e-06,8.264381404557755e-06,0,2,64,16,64,1.0,0.0,516,9.0,0,0,0,0,1787.2618453870527,"['x', 'z', 'z', 'z']"
4,z,15,0.1,normal,val,2000000,7.999999999999999e-05,160,0.0373181035831638,5.880000000000002e-06,2,4.242640687119287e-06,0.0095071193866374,0.006859743456981,7.7e-05,4.899999999999992e-06,3.5355339059327323e-06,0,2,64,16,64,1.0,0.0,160,2.0,8,0,0,0,658.1081052529626,"['x', 'z', 'z', 'z']"
