n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2,0.2,normal,anqi,6000000,1.0,6000000,0.06443616666666667,0.0,6,0.0,0.00011458701190701477,0.00014320393383796253,0.9355638333333333,0.00011458701190700547,0.0001432039338379509,0,2,64,64,64,1.0,0.0,6000000,386617.0,0,0,0,0,2844.6897861470934
4,x,2,0.2,normal,val,5000000,1.0,5000000,0.06448240000000001,0.0,5,0.0,5.8686700844395065e-05,6.695278186901107e-05,0.9355176000000001,5.868670084439868e-05,6.695278186901519e-05,0,2,64,64,64,1.0,0.0,5000000,98556.0,447712,0,0,0,2402.655434262939
4,x,2,0.4,m1,anqi,5000000,1.0,5000000,0.20678239999999998,0.0,5,0.0,0.0004402783909482724,0.0005022920465227374,0.7932176,0.0004402783909482744,0.0005022920465227396,0,2,56,56,48,1.0,0.0,5000000,1033912.0,0,0,0,0,1225.0524135249434
4,x,2,0.4,m1,val,5000000,1.0,5000000,0.4118703,0.0,5,0.0,0.0004375339042222846,0.0004991609960724034,0.5881297,0.0004375339042222965,0.000499160996072417,0,2,56,56,48,1.0,0.0,5000000,1033913.0,2050877,0,0,0,1240.4504005170893
4,x,2,0.4,normal,anqi,6000000,1.0,6000000,0.4121845,0.0,6,0.0,0.00047306018782673114,0.0005912020805105416,0.5878155,0.0004730601878267472,0.0005912020805105616,0,2,64,64,64,1.0,0.0,6000000,2473107.0,0,0,0,0,2787.7302531797905
4,x,2,0.4,normal,val,5000000,1.0,5000000,0.4119401,0.0,5,0.0,0.0004885233060724901,0.0005573323066178692,0.5880599,0.000488523306072521,0.0005573323066179045,0,2,64,64,64,1.0,0.0,5000000,1033580.0,2052241,0,0,0,2481.4685306289466
4,x,3,0.04,m1,anqi,15000000,1.0,15000000,1.8999999999999998e-05,0.0,15,0.0,2.7118112028679278e-06,5.358571238146015e-06,0.999981,2.711811202871108e-06,5.358571238152298e-06,1,1,40,40,32,1.0,0.0,15000000,285.0,0,0,0,0,367.2532282412285
4,x,3,0.04,m1,val,15000000,1.0,15000000,0.0003025666666666667,0.0,15,0.0,9.055815467299327e-06,1.789439923019277e-05,0.9996974333333333,9.05581546730808e-06,1.7894399230210067e-05,1,1,40,40,32,1.0,0.0,15000000,285.0,8507,0,0,0,397.2132725988049
4,x,3,0.04,normal,anqi,15000000,1.0,15000000,0.0003102,0.0,15,0.0,9.384637659494372e-06,1.8544155798679927e-05,0.9996898000000001,9.384637659488202e-06,1.8544155798667737e-05,1,1,48,48,48,1.0,0.0,15000000,4653.0,0,0,0,0,2902.1468094468582
4,x,3,0.04,normal,val,15000000,1.0,15000000,0.0003066333333333334,0.0,15,0.0,7.176987421226572e-06,1.4181812631811545e-05,0.9996933666666667,7.176987421211514e-06,1.4181812631781792e-05,1,1,48,48,48,1.0,0.0,15000000,292.0,8615,0,0,0,3084.325003375765
4,x,3,0.06,m1,anqi,5000000,1.0,5000000,0.0001454,0.0,5,0.0,9.986387535039894e-06,1.13929802949009e-05,0.9998545999999999,9.98638753507247e-06,1.1392980294938068e-05,1,1,40,40,32,1.0,0.0,5000000,727.0,0,0,0,0,224.85230692103505
4,x,3,0.06,m1,val,5000000,1.0,5000000,0.0014417,0.0,5,0.0,1.6057054026190537e-05,1.831870628619833e-05,0.9985583,1.6057054026193318e-05,1.8318706286201507e-05,1,1,40,40,32,1.0,0.0,5000000,727.0,12963,0,0,0,236.44881144107785
4,x,3,0.06,normal,anqi,5000000,1.0,5000000,0.001421,0.0,5,0.0,4.030171807752119e-05,4.5978255730290574e-05,0.998579,4.0301718077522715e-05,4.597825573029231e-05,1,1,48,48,48,1.0,0.0,5000000,7105.0,0,0,0,0,1581.1125207692385
4,x,3,0.06,normal,val,5000000,1.0,5000000,0.0014374,0.0,5,0.0,2.1522995516423818e-05,2.4554531150074924e-05,0.9985626,2.152299551644459e-05,2.4554531150098624e-05,1,1,48,48,48,1.0,0.0,5000000,683.0,13008,0,0,0,1667.1785883250413
4,x,3,0.08,m1,anqi,5000000,1.0,5000000,0.0005274,0.0,5,0.0,2.067405175576377e-05,2.3586012804202384e-05,0.9994726,2.0674051755759762e-05,2.3586012804197814e-05,1,1,40,40,32,1.0,0.0,5000000,2637.0,0,0,0,0,341.50309220294
4,x,3,0.08,m1,val,5000000,1.0,5000000,0.0041187,0.0,5,0.0,4.79405342481701e-05,5.469300686559446e-05,0.9958813,4.794053424818862e-05,5.469300686561558e-05,1,1,40,40,32,1.0,0.0,5000000,2635.0,35917,0,0,0,340.12930074706674
4,x,3,0.08,normal,anqi,6000000,1.0,6000000,0.004145833333333334,0.0,6,0.0,6.33526186076347e-05,7.917428033564077e-05,0.9958541666666667,6.335261860764158e-05,7.917428033564936e-05,1,1,48,48,48,1.0,0.0,6000000,24875.0,0,0,0,0,2296.7463000679854
