n,lstate,i,meas_type,p_error,sim_type,shots,count_accept,count_logerror,count_undecided,prep_rate,LER,detect_normal,decoding_normal
4,x,7,"['z', 'x', 'z', 'x']",0.01,normal,100000,32676,898,1552,0.32676,0.027481943934386077,34.186582563008415,6.650478964991635
4,x,8,"['x', 'z', 'z', 'x']",0.01,normal,100000,34475,6892,12287,0.34475,0.1999129804205947,19.88963217998389,22.353248487022938
4,x,9,"['z', 'z', 'z', 'x']",0.01,normal,100000,47618,37,62,0.47618,0.0007770170943760535,15.129052358010085,-2.0046142030041665
4,x,10,"['x', 'x', 'x', 'z']",0.01,normal,100000,27064,305,584,0.27064,0.011269583210168466,13.276847337983781,-0.15983895998215303
4,x,11,"['z', 'x', 'x', 'z']",0.01,normal,100000,31038,678,1218,0.31038,0.021844190991687662,13.173541583004408,2.4417812610045075
4,x,12,"['x', 'z', 'x', 'z']",0.01,normal,100000,30697,5156,9517,0.30697,0.16796429618529496,13.439791331009474,2.5480232589761727
4,x,13,"['z', 'z', 'x', 'z']",0.01,normal,100000,44163,2162,3595,0.44163,0.04895500758553539,13.949678161006887,2.4386330939887557
4,x,14,"['x', 'x', 'z', 'z']",0.01,normal,100000,29939,4785,8704,0.29939,0.1598249774541568,20.746463012008462,1.97533340199152
4,x,15,"['z', 'x', 'z', 'z']",0.01,normal,100000,43599,10522,15889,0.43599,0.24133581045436825,21.320672692003427,-3.2648881210188847
4,x,16,"['x', 'z', 'z', 'z']",0.01,normal,100000,40543,13955,0,0.40543,0.34420245171792907,20.3354988170031,-6.265059199009556
4,x,1,"['z', 'x', 'x', 'z']",0.01,m1,100000,2165,1087,788,0.02165,0.5020785219399538,46.59324886399554,-7.138017282995861
4,x,2,"['x', 'x', 'x', 'x']",0.01,m1,100000,27181,0,0,0.27181,0.0,20.309821514005307,4.6528016939992085
4,x,3,"['z', 'x', 'x', 'x']",0.01,m1,100000,30747,0,0,0.30747,0.0,9.898388267989503,6.086341593007091
4,x,4,"['x', 'z', 'x', 'x']",0.01,m1,100000,29867,146,286,0.29867,0.004888338299795736,44.99555491900537,0.10985300500760786
4,x,5,"['z', 'z', 'x', 'x']",0.01,m1,100000,35254,1,2,0.35254,2.8365575537536714e-05,19.885574316984275,-8.931981109984918
4,x,6,"['x', 'x', 'z', 'x']",0.01,m1,100000,29618,240,460,0.29618,0.008103180498345575,43.99111746501876,0.9944881069823168
4,x,7,"['z', 'x', 'z', 'x']",0.01,m1,100000,35926,858,1518,0.35926,0.02388242498469073,30.65247869200539,-2.09571503099869
4,x,8,"['x', 'z', 'z', 'x']",0.01,m1,100000,37023,6890,12694,0.37023,0.18610053210166655,26.765582190011628,3.2156457669916563
4,x,9,"['z', 'z', 'z', 'x']",0.01,m1,100000,47618,28,53,0.47618,0.000588012936284632,11.935148863005452,5.635359159001382
4,x,10,"['x', 'x', 'x', 'z']",0.01,m1,100000,30310,334,631,0.3031,0.011019465522929761,28.919698432990117,2.293847816006746
4,x,11,"['z', 'x', 'x', 'z']",0.01,m1,100000,34449,645,1170,0.34449,0.018723330140207217,27.894913833006285,11.46616148200701
4,x,12,"['x', 'z', 'x', 'z']",0.01,m1,100000,34028,5534,10405,0.34028,0.1626307746561655,46.169625738984905,-24.528481536981417
4,x,13,"['z', 'z', 'x', 'z']",0.01,m1,100000,47060,2025,3402,0.4706,0.043030174245643815,33.85233594698366,-10.864244821976172
4,x,14,"['x', 'x', 'z', 'z']",0.01,m1,100000,33307,5260,9554,0.33307,0.15792476056084304,22.460331740992842,-4.818812898010947
4,x,15,"['z', 'x', 'z', 'z']",0.01,m1,100000,46478,10357,16078,0.46478,0.22283661086965878,37.85309662000509,-23.96019678999437
4,x,16,"['x', 'z', 'z', 'z']",0.01,m1,100000,42309,13621,0,0.42309,0.32194095818856505,26.831440908979857,-5.696974038000917
