n,lstate,i,meas_type,p_error,sim_type,decoder_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
6,x,22,"['x', 'x', 'z', 'x', 'z', 'x']",0.005,normal,val,0,1000000,11867,0,0,0,0.011867,0.0,0,914.1122791650705
6,x,38,"['x', 'x', 'z', 'x', 'x', 'z']",0.005,normal,val,0,1000000,12003,1,2,0,0.012003,8.33125052069894e-05,0,923.0278780630324
6,x,22,"['x', 'x', 'z', 'x', 'z', 'x']",0.005,normal,anqi,0,1000000,11867,0,0,0,0.011867,0.0,0,942.6072717360221
6,x,38,"['x', 'x', 'z', 'x', 'x', 'z']",0.005,normal,anqi,0,1000000,12003,2,0,0,0.012003,0.00016662501041408984,0,948.6596575200092
6,x,22,"['x', 'x', 'z', 'x', 'z', 'x']",0.005,m1,val,0,1000000,21794,0,1,0,0.021794,0.0,0,1007.3735786029138
6,x,22,"['x', 'x', 'z', 'x', 'z', 'x']",0.005,m1,anqi,0,1000000,21794,0,0,0,0.021794,0.0,0,1025.384643025929
6,x,38,"['x', 'x', 'z', 'x', 'x', 'z']",0.005,m1,anqi,0,1000000,21749,0,0,0,0.021749,0.0,0,1030.488694668049
6,x,38,"['x', 'x', 'z', 'x', 'x', 'z']",0.005,m1,val,0,1000000,21749,2,4,0,0.021749,9.195825095409393e-05,0,1030.8490459839813
6,z,22,"['z', 'x', 'z', 'x', 'z', 'x']",0.005,normal,anqi,0,1000000,26294,0,0,0,0.026294,0.0,0,1134.539004913997
6,z,38,"['z', 'x', 'z', 'x', 'x', 'z']",0.005,normal,anqi,0,1000000,26568,0,0,0,0.026568,0.0,0,1148.9230542099103
6,z,38,"['z', 'x', 'z', 'x', 'x', 'z']",0.005,normal,val,0,1000000,26568,0,1,0,0.026568,0.0,0,1143.0808136200067
6,z,22,"['z', 'x', 'z', 'x', 'z', 'x']",0.005,m1,val,0,1000000,47365,4,8,0,0.047365,8.445054365036064e-05,0,1171.8141333418898
6,z,38,"['z', 'x', 'z', 'x', 'x', 'z']",0.005,m1,val,0,1000000,48080,2,5,0,0.04808,4.159733777042707e-05,0,1189.1433127908967
6,z,22,"['z', 'x', 'z', 'x', 'z', 'x']",0.005,normal,val,0,1000000,26294,0,0,0,0.026294,0.0,0,1187.1633139499463
6,z,22,"['z', 'x', 'z', 'x', 'z', 'x']",0.005,m1,anqi,0,1000000,47365,0,0,0,0.047365,0.0,0,1193.7359461728483
6,z,38,"['z', 'x', 'z', 'x', 'x', 'z']",0.005,m1,anqi,0,1000000,48080,0,0,0,0.04808,0.0,0,1209.2789611390326
