n,lstate,i,meas_type,p_error,sim_type,decoder_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
6,x,22,"['x', 'x', 'z', 'x', 'z', 'x']",0.005,normal,anqi,0,1000000,11922,0,0,0,0.011922,0.0,0,962.5329649208579
6,x,22,"['x', 'x', 'z', 'x', 'z', 'x']",0.005,normal,val,0,1000000,11922,0,1,0,0.011922,0.0,0,972.9928672350943
6,x,38,"['x', 'x', 'z', 'x', 'x', 'z']",0.005,normal,val,0,1000000,11913,2,5,0,0.011913,0.0001678838243934777,0,983.1614644129295
6,x,38,"['x', 'x', 'z', 'x', 'x', 'z']",0.005,normal,anqi,0,1000000,11913,1,0,0,0.011913,8.394191219673885e-05,0,1008.0797844729386
6,x,38,"['x', 'x', 'z', 'x', 'x', 'z']",0.005,m1,val,0,1000000,22152,2,4,0,0.022152,9.028530155286152e-05,0,1024.1600157150533
6,x,22,"['x', 'x', 'z', 'x', 'z', 'x']",0.005,m1,val,0,1000000,21849,0,1,0,0.021849,0.0,0,1035.4895674199797
6,x,38,"['x', 'x', 'z', 'x', 'x', 'z']",0.005,m1,anqi,0,1000000,22152,0,0,0,0.022152,0.0,0,1028.6203978678677
6,x,22,"['x', 'x', 'z', 'x', 'z', 'x']",0.005,m1,anqi,0,1000000,21849,0,0,0,0.021849,0.0,0,1039.149766430026
6,z,38,"['z', 'x', 'z', 'x', 'x', 'z']",0.005,normal,val,0,1000000,26202,0,1,0,0.026202,0.0,0,1121.624496059958
6,z,22,"['z', 'x', 'z', 'x', 'z', 'x']",0.005,normal,anqi,0,1000000,26296,0,0,0,0.026296,0.0,0,1124.9793352840934
6,z,22,"['z', 'x', 'z', 'x', 'z', 'x']",0.005,m1,anqi,0,1000000,47725,0,0,0,0.047725,0.0,0,1152.4634220949374
6,z,22,"['z', 'x', 'z', 'x', 'z', 'x']",0.005,m1,val,0,1000000,47725,2,4,0,0.047725,4.190675746462702e-05,0,1157.2013385351747
6,z,22,"['z', 'x', 'z', 'x', 'z', 'x']",0.005,normal,val,0,1000000,26296,2,4,0,0.026296,7.605719501069252e-05,0,1167.1412618730683
6,z,38,"['z', 'x', 'z', 'x', 'x', 'z']",0.005,normal,anqi,0,1000000,26202,0,0,0,0.026202,0.0,0,1182.4372988978866
6,z,38,"['z', 'x', 'z', 'x', 'x', 'z']",0.005,m1,val,0,1000000,47470,4,8,0,0.04747,8.426374552350513e-05,0,1195.9066126230173
6,z,38,"['z', 'x', 'z', 'x', 'x', 'z']",0.005,m1,anqi,0,1000000,47470,0,0,0,0.04747,0.0,0,1204.009480393026
