n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,6,"['x', 'x', 'z', 'x']",0.9,normal,0,na,1000000,468015,6324,11520,0,0.468015,0.013512387423480043,0,230.45998881803825
4,x,6,"['x', 'x', 'z', 'x']",1,normal,0,na,1000000,344799,5859,10630,0,0.344799,0.01699250867896951,0,272.1776923009893
4,x,7,"['z', 'x', 'z', 'x']",0.9,normal,0,na,1000000,635685,11866,20989,0,0.635685,0.018666477893925504,0,424.0035953060724
4,x,6,"['x', 'x', 'z', 'x']",0.7,normal,0,na,1000000,405406,3562,6333,0,0.405406,0.008786253780161069,0,515.92708937102
4,x,7,"['z', 'x', 'z', 'x']",0.7,normal,0,na,1000000,689512,9851,17766,0,0.689512,0.014286915963754088,0,569.0096755040577
4,x,7,"['z', 'x', 'z', 'x']",0.3,normal,0,na,1000000,811866,1676,3172,0,0.811866,0.002064380082427375,0,576.7786422709469
4,x,6,"['x', 'x', 'z', 'x']",0.3,normal,0,na,1000000,734643,1470,2771,0,0.734643,0.002000971900637416,0,586.2222864479991
4,x,6,"['x', 'x', 'z', 'x']",0.5,normal,0,na,1000000,620999,2561,4844,0,0.620999,0.0041240001996782905,0,603.551735591027
4,x,7,"['z', 'x', 'z', 'x']",1,normal,0,na,1000000,535862,9514,16603,0,0.535862,0.017754571139584452,0,643.5023176650284
4,x,6,"['x', 'x', 'z', 'x']",0.15,normal,0,na,1000000,853683,643,1260,0,0.853683,0.0007532069866683644,0,424.6886089470936
4,x,7,"['z', 'x', 'z', 'x']",0.5,normal,0,na,1000000,759783,4949,9142,0,0.759783,0.006513701938579808,0,714.283430712996
4,x,6,"['x', 'x', 'z', 'x']",0.1,normal,0,na,1000000,910426,455,888,0,0.910426,0.0004997660435883677,0,293.35498724109493
4,x,7,"['z', 'x', 'z', 'x']",0.15,normal,0,na,1000000,917061,1028,1979,0,0.917061,0.0011209723235422464,0,465.78159257001244
4,x,7,"['z', 'x', 'z', 'x']",1,m1,0,na,1000000,596382,13540,23483,0,0.596382,0.022703569188875616,0,202.36706892994698
4,x,7,"['z', 'x', 'z', 'x']",0.5,m1,0,na,1000000,790115,4912,8953,0,0.790115,0.006216816539364567,0,115.81366558105219
4,x,7,"['z', 'x', 'z', 'x']",0.7,m1,0,na,1000000,745950,7324,13194,0,0.74595,0.00981835243649043,0,265.0132886680076
4,x,7,"['z', 'x', 'z', 'x']",0.9,m1,0,na,1000000,650983,10538,18841,0,0.650983,0.016187826717441123,0,350.7834707320435
4,x,7,"['z', 'x', 'z', 'x']",0.3,m1,0,na,1000000,844022,3219,6036,0,0.844022,0.0038138816286779065,0,171.94365773594473
4,x,6,"['x', 'x', 'z', 'x']",1,m1,0,na,1000000,447689,8346,15793,0,0.447689,0.01864240577722487,0,437.02347205905244
4,x,6,"['x', 'x', 'z', 'x']",0.5,m1,0,na,1000000,648416,4154,7775,0,0.648416,0.006406381088683855,0,288.15969616291113
4,x,6,"['x', 'x', 'z', 'x']",0.9,m1,0,na,1000000,444699,6114,10953,0,0.444699,0.013748625474759302,0,444.4857637740206
4,x,7,"['z', 'x', 'z', 'x']",0.15,m1,0,na,1000000,931253,908,1759,0,0.931253,0.000975030416009437,0,70.00977089989465
4,x,7,"['z', 'x', 'z', 'x']",0.1,m1,0,na,1000000,949909,674,1311,0,0.949909,0.0007095416508318131,0,68.3440546040656
4,x,7,"['z', 'x', 'z', 'x']",0.1,normal,0,na,1000000,931694,749,1458,0,0.931694,0.0008039120140304057,0,571.5010020349873
4,x,6,"['x', 'x', 'z', 'x']",0.7,m1,0,na,1000000,569286,5314,9919,0,0.569286,0.009334499706650123,0,483.8434437690303
4,x,6,"['x', 'x', 'z', 'x']",0.3,m1,0,na,1000000,800607,1068,2059,0,0.800607,0.0013339878367288893,0,437.9504503739299
4,x,6,"['x', 'x', 'z', 'x']",0.15,m1,0,na,1000000,850514,438,857,0,0.850514,0.0005149827045762834,0,400.49093787395395
4,z,7,"['x', 'z', 'z', 'x']",0.9,normal,0,na,1000000,371839,7260,12817,0,0.371839,0.019524579186153135,0,271.74336522398517
4,x,6,"['x', 'x', 'z', 'x']",0.1,m1,0,na,1000000,908790,413,804,0,0.90879,0.0004544504230900026,0,434.5512412240496
4,z,7,"['x', 'z', 'z', 'x']",0.7,normal,0,na,1000000,535512,5794,10760,0,0.535512,0.010819552129550769,0,336.1734820510028
4,z,7,"['x', 'z', 'z', 'x']",1,normal,0,na,1000000,365958,6939,12460,0,0.365958,0.01896119226796522,0,521.6038218060276
4,z,6,"['z', 'x', 'z', 'x']",1,normal,0,na,1000000,528867,15694,27606,0,0.528867,0.02967475754773885,0,538.0575114430394
4,z,7,"['x', 'z', 'z', 'x']",0.3,normal,0,na,1000000,764820,2892,5450,0,0.76482,0.0037812818702439577,0,279.46225127903745
4,z,6,"['z', 'x', 'z', 'x']",0.5,normal,0,na,1000000,741757,7838,14257,0,0.741757,0.010566802874795944,0,454.3287265780382
4,z,6,"['z', 'x', 'z', 'x']",0.9,normal,0,na,1000000,589658,7377,13182,0,0.589658,0.012510641761834806,0,614.4432054909412
4,z,6,"['z', 'x', 'z', 'x']",0.7,normal,0,na,1000000,621167,3986,7437,0,0.621167,0.006416953894846311,0,671.2894142359728
4,z,7,"['x', 'z', 'z', 'x']",0.5,normal,0,na,1000000,635888,4767,8986,0,0.635888,0.007496603175401906,0,596.9029921129113
4,z,6,"['z', 'x', 'z', 'x']",0.3,normal,0,na,1000000,844495,2450,4617,0,0.844495,0.002901142102676779,0,605.4800473580835
