error_prob,count_accept,total_data,prep_rate,ler_clean,ler_all
0.5,397110,561806,0.7068454235091829,6.2954848782453224e-06,0.00028203772254542514
0.55,688878,934470,0.7371857844553598,1.1613086787500835e-05,0.00028161735459686366
0.6,697096,977872,0.7128703961254643,1.0758919861826779e-05,0.0002840354843521853
0.65,697096,985947,0.7070319195656561,1.0758919861826779e-05,0.0002840354843521853
0.7,697096,988628,0.7051145628082555,1.0758919861826779e-05,0.0002840354843521853
0.75,697096,990133,0.704042790211012,1.0758919861826779e-05,0.0002840354843521853
0.8,697096,990864,0.7035233896881913,1.0758919861826779e-05,0.0002840354843521853
