n,i,lstate,sim_type,device,p_error,total_shots,classical_time_sec,classical_us_per_shot,nn_time_sec,nn_us_per_shot,speedup_factor,time_saved_percent
4,6,x,normal,cpu,0.01,100000,5.382001396268606,53.82001396268606,0.28327870508655906,2.8327870508655906,18.998962151511083,94.7365545969022
4,6,x,normal,cpu,0.0075,100000,5.506611713673919,55.066117136739194,0.34399944404140115,3.4399944404140115,16.007618061764035,93.75297438918405
4,6,x,normal,cpu,0.005,100000,5.911472118925303,59.11472118925303,0.2814858169294894,2.8148581692948937,21.00095906574964,95.23831270339032
4,6,x,normal,cpu,0.0025,100000,6.426835741382092,64.26835741382092,0.290619732812047,2.90619732812047,22.114244202194385,95.47802768723712
4,6,x,normal,cpu,0.001,100000,6.7566208890639246,67.56620889063925,2.2251542434096336,22.251542434096336,3.0364730485877076,67.067054968095
4,6,x,m1,cpu,0.01,100000,5.546623852103949,55.466238521039486,0.2686351309530437,2.686351309530437,20.647425496531483,95.15678116786043
4,6,x,m1,cpu,0.0075,100000,5.829901171848178,58.29901171848178,0.27256119530647993,2.7256119530647993,21.38932934049096,95.32477159951456
4,6,x,m1,cpu,0.005,100000,6.219486246351153,62.194862463511534,0.2898029088973999,2.898029088973999,21.46108977999618,95.34040437717148
4,6,x,m1,cpu,0.0025,100000,6.782183634582907,67.82183634582907,0.31694632302969694,3.1694632302969694,21.398524424425762,95.32678057530673
4,6,x,m1,cpu,0.001,100000,7.009359651710838,70.09359651710838,0.2983439532108605,2.983439532108605,23.49422395283753,95.74363468226315
4,6,z,normal,cpu,0.01,100000,7.2678333930671215,72.67833393067122,0.30260837636888027,3.0260837636888027,24.017290863778392,95.83633305824618
4,6,z,normal,cpu,0.0075,100000,7.33550720801577,73.3550720801577,0.3077735402621329,3.077735402621329,23.83410608256989,95.80433184053288
4,6,z,normal,cpu,0.005,100000,7.487993335351348,74.87993335351348,0.28216390078887343,2.8216390078887343,26.53774389429841,96.23178215908985
4,6,z,normal,cpu,0.0025,100000,7.7077163066715,77.077163066715,0.28431776678189635,2.8431776678189635,27.109513393808356,96.31125802417245
4,6,z,normal,cpu,0.001,100000,7.724810543004423,77.24810543004423,0.2807505060918629,2.807505060918629,27.51485883511401,96.3656001072271
4,6,z,m1,cpu,0.01,100000,7.316476701758802,73.16476701758802,0.29539893195033073,2.9539893195033073,24.76812171747803,95.9625521409872
4,6,z,m1,cpu,0.0075,100000,7.648277449887246,76.48277449887246,0.3124529616907239,3.124529616907239,24.47817235753316,95.91472767903667
4,6,z,m1,cpu,0.005,100000,7.842818852048367,78.42818852048367,0.3513475670479238,3.513475670479238,22.322109465407532,95.52013665397665
4,6,z,m1,cpu,0.0025,100000,7.754731692839414,77.54731692839414,0.3092182851396501,3.092182851396501,25.078503004235984,96.01252116272215
4,6,z,m1,cpu,0.001,100000,7.622518116142601,76.22518116142601,0.27101063588634133,2.7101063588634133,28.126269255865644,96.44460489621653
