n,i,lstate,sim_type,device,p_error,total_shots,classical_time_sec,classical_us_per_shot,nn_time_sec,nn_us_per_shot,speedup_factor,time_saved_percent
5,25,x,normal,cpu,0.01,100000,16.56308782612905,165.6308782612905,1.1797913620248437,11.797913620248437,14.038997367892467,92.87698420481918
5,25,x,normal,cpu,0.0075,100000,16.72673491574824,167.26734915748239,1.2079725051298738,12.079725051298738,13.84695002966966,92.77819304715251
5,25,x,normal,cpu,0.005,100000,16.45871793292463,164.58717932924628,1.1986669357866049,11.986669357866049,13.730851699954394,92.71713057680667
5,25,x,normal,cpu,0.0025,100000,16.930109460372478,169.30109460372478,1.2832033596932888,12.832033596932888,13.193629312519187,92.42058438726092
5,25,x,normal,cpu,0.001,100000,16.50488746026531,165.0488746026531,1.2284631100483239,12.284631100483239,13.435395271752245,92.55697372668679
5,25,x,m1,cpu,0.01,100000,16.53276912914589,165.3276912914589,1.169161745812744,11.691617458127439,14.140703104901128,92.92821585615921
5,25,x,m1,cpu,0.0075,100000,16.575834133196622,165.75834133196622,1.2096830699592829,12.096830699592829,13.702625542865995,92.7021285309761
5,25,x,m1,cpu,0.005,100000,16.536366804037243,165.36366804037243,1.2694112448953092,12.694112448953092,13.026800314346538,92.32351785650164
5,25,x,m1,cpu,0.0025,100000,16.549298604018986,165.49298604018986,1.1848091701976955,11.848091701976955,13.967902190744857,92.84072879130983
5,25,x,m1,cpu,0.001,100000,16.386218363884836,163.86218363884836,1.2434152667410672,12.434152667410672,13.178395667307788,92.41182291649702
5,25,z,normal,cpu,0.01,100000,8.484189901966602,84.84189901966602,1.231087061110884,12.31087061110884,6.8916246218287815,85.48963336115894
5,25,z,normal,cpu,0.0075,100000,9.256322409026325,92.56322409026325,1.287234967108816,12.872349671088159,7.19085687193257,86.09345147859622
5,25,z,normal,cpu,0.005,100000,10.44793285196647,104.4793285196647,1.2655693809501827,12.655693809501827,8.255519617677711,87.88689208782596
5,25,z,normal,cpu,0.0025,100000,12.363685210235417,123.63685210235417,1.2536164298653603,12.536164298653603,9.862414783095408,89.86049540611451
5,25,z,normal,cpu,0.001,100000,14.171400266699493,141.71400266699493,1.2142216893844306,12.142216893844306,11.671180304713477,91.43188628834615
5,25,z,m1,cpu,0.01,100000,9.167604081332684,91.67604081332684,1.1255330769345164,11.255330769345164,8.145121870875107,87.72271285988063
5,25,z,m1,cpu,0.0075,100000,9.883702419698238,98.83702419698238,1.1298851231113076,11.298851231113076,8.747528591651854,88.56819969751979
5,25,z,m1,cpu,0.005,100000,11.149060842115432,111.49060842115432,1.096685104072094,10.96685104072094,10.166145961787874,90.16343062790203
5,25,z,m1,cpu,0.0025,100000,12.829231526236981,128.2923152623698,1.0924871559254825,10.924871559254825,11.74314174464496,91.48439130051365
5,25,z,m1,cpu,0.001,100000,14.191489177756011,141.91489177756011,1.0829901681281626,10.829901681281626,13.103987086313577,92.36873484830852
