n,i,lstate,sim_type,device,p_error,total_shots,classical_time_sec,classical_us_per_shot,nn_time_sec,nn_us_per_shot,speedup_factor,time_saved_percent
4,6,x,normal,cuda,0.01,100000,5.280333199072629,52.80333199072629,0.02234166720882058,0.22341667208820581,236.34463577489564,99.57688906425935
4,6,x,normal,cuda,0.0075,100000,5.585263782646507,55.85263782646507,0.016231877729296684,0.16231877729296684,344.0922779109988,99.70938028424496
4,6,x,normal,cuda,0.005,100000,5.760581209789962,57.605812097899616,0.01829102309420705,0.18291023094207048,314.9403497070864,99.68247955496014
4,6,x,normal,cuda,0.0025,100000,6.348772143013775,63.48772143013775,0.01637207018211484,0.1637207018211484,387.7806576928368,99.74212225902404
4,6,x,normal,cuda,0.001,100000,6.621569963172078,66.21569963172078,0.017865803092718124,0.17865803092718124,370.6281732093502,99.73018780754286
4,6,x,m1,cuda,0.01,100000,5.456696963403374,54.56696963403374,0.01813265075907111,0.18132650759071112,300.9321160985569,99.66769914326044
4,6,x,m1,cuda,0.0075,100000,5.778540791943669,57.78540791943669,0.016049709171056747,0.16049709171056747,360.04021819687574,99.72225325131505
4,6,x,m1,cuda,0.005,100000,6.162885597907007,61.62885597907007,0.015865223947912455,0.15865223947912455,388.45248060415304,99.74256825482367
4,6,x,m1,cuda,0.0025,100000,6.45563156157732,64.5563156157732,0.03471974143758416,0.3471974143758416,185.93547343037213,99.46217901213214
4,6,x,m1,cuda,0.001,100000,6.76185699691996,67.6185699691996,0.01648943917825818,0.1648943917825818,410.07198145560164,99.75614037407522
4,6,z,normal,cuda,0.01,100000,7.140692927874625,71.40692927874625,0.015139928087592125,0.15139928087592125,471.6464230584262,99.7879767658333
4,6,z,normal,cuda,0.0075,100000,7.2510746219195426,72.51074621919543,0.01449136296287179,0.1449136296287179,500.3721624044243,99.8001487542403
4,6,z,normal,cuda,0.005,100000,7.357993598096073,73.57993598096073,0.013939580880105495,0.13939580880105495,527.8489835083468,99.81055187539559
4,6,z,normal,cuda,0.0025,100000,7.452215034049004,74.52215034049004,0.014233554247766733,0.14233554247766733,523.5667005111017,99.8090023679841
4,6,z,normal,cuda,0.001,100000,7.585964026860893,75.85964026860893,0.014764335006475449,0.14764335006475449,513.8032985253847,99.8053729894553
4,6,z,m1,cuda,0.01,100000,7.029764368198812,70.29764368198812,0.01478594308719039,0.1478594308719039,475.4356436207953,99.78966659033297
4,6,z,m1,cuda,0.0075,100000,7.271294082980603,72.71294082980603,0.014763109851628542,0.14763109851628542,492.5313268043247,99.79696722917338
4,6,z,m1,cuda,0.005,100000,7.420237568672746,74.20237568672746,0.014969677664339542,0.14969677664339542,495.68452541560623,99.79825878180047
4,6,z,m1,cuda,0.0025,100000,7.539364361204207,75.39364361204207,0.01483957888558507,0.1483957888558507,508.0578377145072,99.803172015907
4,6,z,m1,cuda,0.001,100000,7.563082844950259,75.63082844950259,0.01567283319309354,0.15672833193093538,482.5600293049148,99.79277189587367
