n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss,
4,16,7,z,m1,0.05,0.05,0,11,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.1,0,139,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.15,0,568,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.2,0,1591,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.25,0,3474,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.3,0,6802,0,1,1,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.35,1,12111,8.25695648583932E-05,0,0,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.4,14,20484,0.000683460261667643,0.0357142857142857,0.142857142857143,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.45,229,33210,0.00689551339957844,0.0283842794759825,0.148471615720524,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.5,1179,51181,0.0230358922256306,0.0262934690415606,0.139100932994063,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.55,2032,68471,0.0296767974763038,0.0280511811023622,0.140255905511811,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.6,2197,80898,0.0271576553190437,0.02776513427401,0.138370505234411,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.65,2213,88918,0.0248880991475292,0.0273384545865341,0.138273836421148,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.7,2214,93937,0.0235689877258162,0.0273261065943993,0.138211382113821,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.75,2214,97005,0.0228235657955775,0.0273261065943993,0.138211382113821,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
4,16,7,z,m1,0.05,0.8,2214,98714,0.0224284296047167,0.0273261065943993,0.138211382113821,440065,1.67871475219727,3445.46595156798,225.289375055581,152737047.248561,0.666310068727623,0.730789601802826
