error_prob,count_accept,total_data,prep_rate,ler_clean,ler_all
0.5,328012,492614,0.6658600851782531,0.00019968781629940368,0.005322975988683365
0.55,462181,660241,0.7000186295610239,0.00020879265915301582,0.005296626213539768
0.6,573369,797612,0.7188570382592038,0.0001901044528043895,0.0052601378867710435
0.65,627580,871120,0.7204288731747636,0.00019121068230345135,0.005266260875107509
0.7,657378,916827,0.7170142240575376,0.00019014935090617575,0.005287673149998895
0.75,666034,936008,0.7115687045409869,0.00018842881894918278,0.005288018329394628
0.8,667331,944625,0.7064507079528913,0.00018656408888542567,0.005280737744837283
0.8500000000000001,668614,950975,0.7030826257262284,0.00018695390763579585,0.005279578351634839
0.9,668614,955273,0.699919290087755,0.00018695390763579585,0.005279578351634839
0.95,668614,958522,0.6975468481683258,0.00018695390763579585,0.005279578351634839
1.0,668614,999356,0.6690448648929911,0.00018695390763579585,0.005279578351634839
