error_prob,count_accept,total_data,prep_rate,ler_clean,ler_all
0.5,311632,468419,0.6652847130453717,5.455152230836371e-05,0.002198105457719368
0.55,548775,771081,0.7116956584327716,5.375609311648672e-05,0.00223042230422299
0.6,646387,918383,0.7038316258031779,5.1053006944756e-05,0.0021829028120924354
0.65,667010,964513,0.6915510729248854,5.172336246832881e-05,0.0021888727305438005
0.7,668945,979512,0.6829370135332696,5.2321192325228533e-05,0.0021915105128224033
0.75,668945,985273,0.6789438054224565,5.2321192325228533e-05,0.0021915105128224033
0.8,668945,987810,0.6772000688391492,5.2321192325228533e-05,0.0021915105128224033
0.8500000000000001,668945,989353,0.676143904147458,5.2321192325228533e-05,0.0021915105128224033
0.9,668945,990547,0.6753288839398838,5.2321192325228533e-05,0.0021915105128224033
0.95,668945,991942,0.6743791471678787,5.2321192325228533e-05,0.0021915105128224033
1.0,668945,999997,0.6689470068410205,5.2321192325228533e-05,0.0021915105128224033
