error_prob,count_accept,total_data,prep_rate,ler_clean,ler_all
0.1,280454,379585,0.7388437372393535,0.0,5.705035406877723e-05
0.15000000000000002,300468,406578,0.7390168676121187,0.0,5.657840435591144e-05
0.2,315737,427210,0.7390674375599822,1.5835964742808097e-06,5.7009473074076666e-05
0.25,328269,444177,0.7390499733214462,-1.5231410824659046e-06,5.483307896880785e-05
0.30000000000000004,339584,459387,0.7392111661845024,0.0,5.5950810403326834e-05
0.35,349648,472943,0.73930262209188,0.0,5.7200384386613123e-05
0.4,359137,485708,0.7394092747082609,0.0,5.568905459474305e-05
0.45000000000000007,368372,498160,0.7394652320539585,0.0,5.42929430032979e-05
0.5,377504,510378,0.7396557061628832,-1.324489276934814e-06,5.297957107741613e-05
0.55,386437,522408,0.7397225923033338,-1.2938719636059693e-06,5.1754878544252314e-05
0.6,395610,534810,0.7397206484545914,-1.2638709840499481e-06,5.055483936200478e-05
0.65,404946,547498,0.7396300991053849,0.0,5.185876635405151e-05
0.7000000000000001,415170,561224,0.7397581001525237,1.2043259387720692e-06,5.299034130601399e-05
0.75,426197,576179,0.7396954765793269,0.0,5.161932158137539e-05
0.8,438664,593081,0.739635901335568,-1.1398245582040013e-06,5.015228056093335e-05
0.85,453834,613379,0.7398916493717588,0.0,5.0679323276847654e-05
