error_prob,count_accept,total_data,prep_rate,ler_clean,ler_all
0.5,74662,492121,0.1517147205666899,0.0006228067825667675,0.007152232728831254
0.55,76808,506007,0.1517923665087637,0.0005988959483387147,0.007095615040100034
0.6,78502,519266,0.1511787792769024,0.0006114493898244631,0.007133576214618742
0.65,80861,533072,0.15168870246420746,0.0006245285118907755,0.007148068908373606
0.7,83128,548732,0.15149107396689093,0.0006375709748821096,0.0071456067750937935
0.75,85584,565292,0.1513978616361102,0.000625116844269957,0.00712750046737709
0.8,88487,583950,0.15153180923024231,0.0006328613242623211,0.0071422920881033525
0.8500000000000001,91663,607112,0.15098202638063488,0.0006382073464756773,0.007156649902359757
0.9,96316,635831,0.15148050346711625,0.0006125669670667387,0.007153536276423456
0.95,103237,681351,0.151518086859783,0.0006102463264139794,0.007167972722957883
1.0,148173,996104,0.1487525398954326,0.0005297861283769647,0.00705931579977459
