error_prob,count_accept,total_data,prep_rate,ler_clean,ler_all
0.5,276173,483913,0.5707079578353961,4.707194403507946e-05,0.0014845766964909357
0.55,325260,547634,0.5939368264205656,4.4579720838713645e-05,0.001444997847875551
0.6,366949,602779,0.6087620836160517,4.496537665997182e-05,0.001444342401805132
0.65,400961,647195,0.6195366157031498,4.239813847232025e-05,0.0014340546836225654
0.7,426866,681330,0.6265187207373814,3.982514419044853e-05,0.0014594744018029404
0.75,450877,712366,0.6329288596030692,3.659534640267745e-05,0.0014549422569791748
0.8,472815,741054,0.6380304269324503,3.8069858189778245e-05,0.0014487696033331776
0.8500000000000001,490439,766292,0.6400158164250703,3.97602963875222e-05,0.0014476825864174758
0.9,508980,795019,0.6402111144513527,3.8311917953554165e-05,0.0014578175959762962
0.95,531480,833077,0.6379722402611043,3.857153608790547e-05,0.0014638368329946694
1.0,580024,996672,0.5819607654273422,3.706743169248169e-05,0.0014413196695308716
