error_prob,count_accept,total_data,prep_rate,ler_clean,ler_all
0.1,81861,370171,0.22114374167614426,5.497123172206545e-05,0.0012215829271570167
0.15000000000000002,88178,399356,0.220800488786947,4.536278890426183e-05,0.0011567511170587075
0.2,93197,421576,0.22106808736740233,4.2919836475423026e-05,0.0011481056257175437
0.25,97460,440561,0.2212179471174253,4.104247896572953e-05,0.0011389287912989543
0.30000000000000004,101164,456835,0.22144537962283975,3.9539757225890635e-05,0.0011367680202443164
0.35,104419,471752,0.221342993776391,4.309560520594911e-05,0.0011300625365116002
0.4,107490,485648,0.22133314664118867,3.721276397804447e-05,0.0011349893013303802
0.45000000000000007,110441,499027,0.22131267446450792,3.621843337166451e-05,0.0011137168261786679
0.5,113387,512117,0.2214083890985849,3.527741275454858e-05,0.0011200578549569462
0.55,116393,525258,0.22159205571357313,3.436632787195106e-05,0.0011340888197743926
0.6,119360,538516,0.2216461535033314,3.770107238605898e-05,0.0011226541554959502
0.65,122475,552400,0.22171433743664012,3.265972647479077e-05,0.0011104307001429392
0.7000000000000001,125872,567262,0.22189393966103846,3.177831447820008e-05,0.0011122410067370136
0.75,129562,583423,0.2220721500523634,3.4732406106728824e-05,0.0011114369954152714
0.8,133651,601775,0.2220946366997632,3.366978174499256e-05,0.0011073617107242306
0.85,138435,623421,0.2220570048169696,3.2506230360819155e-05,0.001097988225520985
