n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,3,0.001,normal,50000000,0.75809946,0.0001322521923695808,0.00047712460230264466,0.0,50,0.0,0.0,0.75809946,0.0001322521923695808,0.00047712460230264466,1,2,128,128,128,1.0,0.0,37904973,0.0,0,0,0,11313.508328548167,1661.473013295792
5,x,3,0.005,m1,50000000,0.3077787,0.00012342348230381267,0.00044527337395246827,0.0,50,0.0,0.0,0.3077787,0.00012342348230381267,0.00044527337395246827,1,2,112,112,96,1.0,0.0,15388935,0.0,0,0,0,7885.5891327220015,-379.6331036607735
5,x,3,0.005,normal,50000000,0.25196016,0.0001368292059209613,0.0004936370376075625,0.0,50,0.0,0.0,0.25196016,0.0001368292059209613,0.0004936370376075625,1,2,128,128,128,1.0,0.0,12598008,0.0,0,0,0,9920.438358008862,-9.973857210483402
5,x,3,0.01,m1,50000000,0.09584082000000001,8.479854784039659e-05,0.000305926674554675,0.0,50,0.0,0.0,0.09584082000000001,8.479854784039659e-05,0.000305926674554675,1,2,112,112,96,1.0,0.0,4792041,0.0,0,0,0,9112.508177167736,-833.8410376925021
5,x,3,0.01,normal,50000000,0.06449653999999999,7.062874895225093e-05,0.0002548064659737699,0.0,50,0.0,0.0,0.06449653999999999,7.062874895225093e-05,0.0002548064659737699,1,2,128,128,128,1.0,0.0,3224827,0.0,0,0,0,9077.003931453917,-623.13075722754
5,x,4,0.0001,m1,50000000,0.96899246,5.1412154385513564e-05,0.0001854789949051344,0.0,50,0.0,0.0,0.96899246,5.1412154385513564e-05,0.0001854789949051344,0,3,144,112,128,1.0,0.0,48449623,0.0,0,0,0,8704.196604100522,1277.178119245451
5,x,4,0.0001,normal,50000000,0.96319314,5.044984677241857e-05,0.00018200728960509913,0.0,50,0.0,0.0,0.96319314,5.044984677241857e-05,0.00018200728960509913,0,3,160,128,160,1.0,0.0,48159657,0.0,0,0,0,11165.595575558022,2492.7512837811373
5,x,4,0.0005,m1,50000000,0.85459686,0.00010470445675023938,0.0003777409764721829,0.0,50,0.0,0.0,0.85459686,0.00010470445675023938,0.0003777409764721829,0,3,144,112,128,1.0,0.0,42729843,0.0,0,0,0,8887.360672104638,657.5153598878533
5,x,4,0.0005,normal,50000000,0.82906468,0.00011132942872323008,0.0004016418061011245,0.0,50,0.0,0.0,0.82906468,0.00011132942872323008,0.0004016418061011245,0,3,160,128,160,1.0,0.0,41453234,0.0,0,0,0,10742.004688792396,2162.9194378014654
5,x,4,0.001,m1,50000000,0.7305115999999999,0.00012392403970174536,0.00044707922869966876,0.0,50,0.0,0.0,0.7305115999999999,0.00012392403970174536,0.00044707922869966876,0,3,144,112,128,1.0,0.0,36525580,0.0,0,0,0,9060.1013961602,-15.52038035681471
5,x,4,0.001,normal,50000000,0.6876865200000001,0.00014472581364994867,0.0005221255318603026,0.0,50,0.0,0.0,0.6876865200000001,0.00014472581364994867,0.0005221255318603026,0,3,160,128,160,1.0,0.0,34384326,0.0,0,0,0,10285.459167962894,1815.2311207288876
5,x,4,0.005,m1,50000000,0.20969678000000003,0.00010647070288788651,0.0003841130408659321,2.381305522274642e-07,50,2.0002973919584792e-07,7.216448215528603e-07,0.20969673,0.00010646068820292167,0.0003840769110105745,0,3,144,112,128,1.0,0.0,10484839,0.0,5,0,0,8358.85827368917,-466.16467597708106
5,x,4,0.005,normal,50000000,0.15628261999999998,8.62724464417229e-05,0.0003112440403494668,1.9230155870506658e-07,50,2.1312243688027027e-07,7.688791854134748e-07,0.15628259,8.628002112285308e-05,0.0003112713674331019,0,3,160,128,160,1.0,0.0,7814131,0.0,3,0,0,7953.101216423325,448.92764744581655
5,x,4,0.01,m1,50000000,0.0450061,5.566811956586991e-05,0.00020083318796392929,4.892556312107476e-06,50,2.8638774170465995e-06,1.033197521469727e-05,0.04500588,5.5680367734418e-05,0.00020087737553044698,0,3,144,112,128,1.0,0.0,2250305,2.0,18,0,0,7199.6042868127115,-44.21357654966414
5,x,4,0.01,normal,50000000,0.02552546,3.81337883059106e-05,0.00013757479746653905,3.5244804235805967e-06,50,2.1063335189700673e-06,7.5989934423686645e-06,0.025525370000000002,3.813187594441163e-05,0.00013756789826355943,0,3,160,128,160,1.0,0.0,1276273,0.0,9,0,0,6774.445405103266,60.384750510100275
5,x,5,0.0001,m1,50000000,0.9838212799999999,4.20187013297703e-05,0.00015159035023945295,0.0,50,0.0,0.0,0.9838212799999999,4.20187013297703e-05,0.00015159035023945295,2,1,80,80,64,1.0,0.0,49191064,0.0,0,0,0,977.2924150051549,164.98305344814435
