n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,z,12,"['z', 'z', 'x', 'z']",0.8,normal,0,na,1000000,855705,24,46,0,0.855705,2.8047048924562112e-05,0,79.72950037400005
4,z,15,"['x', 'z', 'z', 'z']",0.8,normal,0,na,1000000,611131,1,2,0,0.611131,1.636310381858408e-06,0,97.36220090399729
4,z,8,"['z', 'z', 'z', 'x']",0.5,normal,0,na,1000000,1000000,1,2,0,1.0,1.0000000000287557e-06,0,130.2942472520008
4,z,8,"['z', 'z', 'z', 'x']",0.8,normal,0,na,1000000,1000000,10,19,0,1.0,9.99999999995449e-06,0,165.85692303199903
4,z,14,"['z', 'x', 'z', 'z']",0.8,normal,0,na,1000000,784544,2,4,0,0.784544,2.549251539751829e-06,0,159.1147362460033
4,z,8,"['z', 'z', 'z', 'x']",0.3,normal,0,na,1000000,1000000,0,0,0,1.0,0.0,0,35.269606536996434
4,z,8,"['z', 'z', 'z', 'x']",1,normal,0,na,1000000,1000000,22,42,0,1.0,2.199999999996649e-05,0,186.85668748999888
4,z,12,"['z', 'z', 'x', 'z']",0.5,normal,0,na,1000000,860515,19,32,0,0.860515,2.207980104940166e-05,0,194.34149378300208
4,z,14,"['z', 'x', 'z', 'z']",0.5,normal,0,na,1000000,422867,2,3,0,0.422867,4.729619478505143e-06,0,126.21338855000067
4,z,15,"['x', 'z', 'z', 'z']",1,normal,0,na,1000000,591842,1,2,0,0.591842,1.6896401404675743e-06,0,230.2332990559953
4,z,15,"['x', 'z', 'z', 'z']",0.5,normal,0,na,1000000,730203,0,0,0,0.730203,0.0,0,149.6853276000038
4,z,12,"['z', 'z', 'x', 'z']",0.3,normal,0,na,1000000,943139,4,7,0,0.943139,4.241156393747225e-06,0,76.89367446999677
4,z,14,"['z', 'x', 'z', 'z']",0.1,normal,0,na,1000000,974508,0,0,0,0.974508,0.0,0,32.148597797997354
4,z,8,"['z', 'z', 'z', 'x']",1,m1,0,na,1000000,1000000,6,12,0,1.0,5.999999999950489e-06,0,1.9759285940017435
4,z,8,"['z', 'z', 'z', 'x']",0.1,normal,0,na,1000000,1000000,0,0,0,1.0,0.0,0,69.5083471540056
4,z,15,"['x', 'z', 'z', 'z']",0.1,normal,0,na,1000000,942021,0,0,0,0.942021,0.0,0,30.21852963999845
4,z,14,"['z', 'x', 'z', 'z']",1,normal,0,na,1000000,774820,7,12,0,0.77482,9.034356366677265e-06,0,270.2543271560062
4,z,8,"['z', 'z', 'z', 'x']",0.8,m1,0,na,1000000,1000000,1,2,0,1.0,1.0000000000287557e-06,0,4.897652881001704
4,z,12,"['z', 'z', 'x', 'z']",1,normal,0,na,1000000,806150,64,113,0,0.80615,7.938969174470234e-05,0,278.58172795900464
4,z,14,"['z', 'x', 'z', 'z']",0.3,normal,0,na,1000000,639127,0,1,0,0.639127,0.0,0,114.56315039599576
