n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,z,15,0.8,normal,0,100000,45291,0,1,0,0.45291,0.0,0,10.518720880965702,"['x', 'z', 'z', 'z']"
4,z,15,1.0,normal,0,100000,37190,4,8,0,0.3719,0.0001075557945684,0,12.056434127967805,"['x', 'z', 'z', 'z']"
4,z,8,0.5,normal,0,100000,100000,56,104,0,1.0,0.00056,0,12.314799868967384,"['z', 'z', 'z', 'x']"
4,z,8,0.8,normal,0,100000,100000,266,463,0,1.0,0.0026599999999999,0,13.183613854984287,"['z', 'z', 'z', 'x']"
4,z,8,1.0,normal,0,100000,100000,616,1069,0,1.0,0.00616,0,13.43829292297596,"['z', 'z', 'z', 'x']"
4,z,12,0.5,normal,0,100000,67579,16,29,0,0.67579,0.0002367599402181,0,11.840736151963938,"['z', 'z', 'x', 'z']"
4,z,12,0.8,normal,0,100000,54041,44,81,0,0.54041,0.0008141966284858,0,13.585586818982849,"['z', 'z', 'x', 'z']"
4,z,14,0.8,normal,0,100000,70242,4,9,0,0.70242,5.694598673156026e-05,0,11.585950148990378,"['z', 'x', 'z', 'z']"
4,z,14,1.0,normal,0,100000,64614,8,15,0,0.64614,0.0001238121769275,0,12.250320634979287,"['z', 'x', 'z', 'z']"
4,z,12,1.0,normal,0,100000,46576,74,127,0,0.46576,0.0015888010992786,0,18.413169378996827,"['z', 'z', 'x', 'z']"
4,z,15,0.5,normal,0,100000,61045,0,0,0,0.61045,0.0,0,9.63717651402112,"['x', 'z', 'z', 'z']"
4,z,8,0.3,normal,0,100000,100000,6,12,0,1.0,5.999999999994898e-05,0,10.973247584013734,"['z', 'z', 'z', 'x']"
4,z,15,0.3,normal,0,100000,74272,0,0,0,0.74272,0.0,0,10.268757179030215,"['x', 'z', 'z', 'z']"
4,z,8,1.0,m1,0,100000,100000,50,95,0,1.0,0.0004999999999999,0,1.121120457944926,"['z', 'z', 'z', 'x']"
4,z,12,0.3,normal,0,100000,79093,6,11,0,0.79093,7.586006346960161e-05,0,10.598956341971643,"['z', 'z', 'x', 'z']"
4,z,8,0.1,normal,0,100000,100000,0,0,0,1.0,0.0,0,10.88733786199009,"['z', 'z', 'z', 'x']"
4,z,14,0.5,normal,0,100000,80536,0,0,0,0.80536,0.0,0,11.925016750989016,"['z', 'x', 'z', 'z']"
4,z,8,0.8,m1,0,100000,100000,24,41,0,1.0,0.00024,0,1.1556005520396866,"['z', 'z', 'z', 'x']"
4,z,12,0.1,normal,0,100000,92459,0,1,0,0.92459,0.0,0,9.936468369036447,"['z', 'z', 'x', 'z']"
4,z,15,0.1,normal,0,100000,90571,0,0,0,0.90571,0.0,0,8.355753510026261,"['x', 'z', 'z', 'z']"
4,z,14,0.3,normal,0,100000,87609,0,1,0,0.87609,0.0,0,9.837243443005718,"['z', 'x', 'z', 'z']"
4,z,12,1.0,m1,0,100000,65031,18,33,0,0.65031,0.0002767910688747,0,3.2183639900176786,"['z', 'z', 'x', 'z']"
4,z,15,1.0,m1,0,100000,29357,2,3,0,0.29357,6.81268521988132e-05,0,4.776909113978036,"['x', 'z', 'z', 'z']"
4,z,14,1.0,m1,0,100000,62310,16,23,0,0.6231,0.0002567806130636,0,4.233057842997368,"['z', 'x', 'z', 'z']"
4,z,8,0.5,m1,0,100000,100000,3,6,0,1.0,2.999999999997449e-05,0,0.7532615559757687,"['z', 'z', 'z', 'x']"
4,z,8,0.3,m1,0,100000,100000,0,1,0,1.0,0.0,0,0.4960838260012679,"['z', 'z', 'z', 'x']"
4,z,12,0.8,m1,0,100000,70593,7,14,0,0.70593,9.915997336851225e-05,0,2.6749219250050373,"['z', 'z', 'x', 'z']"
4,z,15,0.8,m1,0,100000,37273,0,0,0,0.37273,0.0,0,4.1389151879702695,"['x', 'z', 'z', 'z']"
4,z,14,0.5,m1,0,100000,78895,1,2,0,0.78895,1.2675074466117486e-05,0,2.3658568550017662,"['z', 'x', 'z', 'z']"
4,z,12,0.5,m1,0,100000,80473,1,2,0,0.80473,1.242652815225398e-05,0,1.8648819000227377,"['z', 'z', 'x', 'z']"
4,z,14,0.8,m1,0,100000,68451,5,10,0,0.68451,7.304495186333249e-05,0,3.4572586080175824,"['z', 'x', 'z', 'z']"
4,z,14,0.1,normal,0,100000,95652,0,0,0,0.95652,0.0,0,8.758997944998555,"['z', 'x', 'z', 'z']"
4,z,8,0.1,m1,0,100000,100000,0,0,0,1.0,0.0,0,0.2696884369943291,"['z', 'z', 'z', 'x']"
4,z,12,0.3,m1,0,100000,87719,0,0,0,0.87719,0.0,0,1.112281593028456,"['z', 'z', 'x', 'z']"
4,z,14,0.3,m1,0,100000,86779,0,0,0,0.86779,0.0,0,1.39074460597476,"['z', 'x', 'z', 'z']"
4,z,15,0.5,m1,0,100000,54188,0,0,0,0.54188,0.0,0,3.114432421978563,"['x', 'z', 'z', 'z']"
4,z,15,0.3,m1,0,100000,69323,0,0,0,0.69323,0.0,0,1.5476976219797507,"['x', 'z', 'z', 'z']"
4,z,15,0.1,m1,0,100000,88631,0,0,0,0.88631,0.0,0,0.7133543950039893,"['x', 'z', 'z', 'z']"
4,z,14,0.1,m1,0,100000,95369,0,0,0,0.95369,0.0,0,0.5710550379590131,"['z', 'x', 'z', 'z']"
4,z,12,0.1,m1,0,100000,95734,0,0,0,0.95734,0.0,0,0.4645440130261704,"['z', 'z', 'x', 'z']"
