n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,5,"['z', 'z', 'x']",0.1,normal,0,10000000,10000000,20.0,3343,0,1.0,0.0001692,0.2127528830000074,0.62649478000003
3,x,5,"['z', 'z', 'x']",0.5,m1,0,10000000,10000000,502.0,31903,0,1.0,0.0016454,0.0166430289998515,0.0042392810003093
3,x,5,"['z', 'z', 'x']",0.5,normal,0,10000000,10000000,1659.0,74238,0,1.0,0.0038778,0.7256167450000248,0.3256085689999963
3,x,5,"['z', 'z', 'x']",1.0,m1,0,10000000,10000000,3608.0,119580,0,1.0,0.0063398,0.0175832789999503,0.0071782530000064
3,x,5,"['z', 'z', 'x']",1.0,normal,0,10000000,10000000,12112.0,262803,0,1.0,0.0143514,0.9182567320000316,0.6262205419999418
3,x,6,"['x', 'x', 'z']",0.01,m1,0,10000000,9974796,415.0,30830,0,0.9974796,0.0015869998744836487,2.4234527920000346,1.297417217999964
3,x,6,"['x', 'x', 'z']",0.01,normal,0,10000000,9964525,214.0,30008,0,0.9964525,0.0015272178051638186,16.054773366000063,3.889111920999994
3,x,6,"['x', 'x', 'z']",0.05,m1,0,10000000,9874430,1939.0,149740,0,0.987443,0.00777857557347614,4.527942811000003,0.6363081289998718
3,x,6,"['x', 'x', 'z']",0.05,normal,0,10000000,9826044,1162.0,147279,0,0.9826044,0.007612626200330468,38.98656758800007,-3.816795809000041
3,x,6,"['x', 'x', 'z']",0.1,m1,0,10000000,9772114,4496.0,295109,0,0.9772114,0.015559581069152489,5.658003242999939,0.1600765800001227
3,x,6,"['x', 'x', 'z']",0.1,normal,0,10000000,9618420,5338.0,247543,0,0.961842,0.01342320256341478,51.42622424299998,-14.998782824000044
3,x,6,"['x', 'x', 'z']",0.5,m1,0,10000000,8826538,27428.0,1245007,0,0.8826538,0.07363385281975787,2.88552095,1.2824393989999407
3,x,6,"['x', 'x', 'z']",0.5,normal,0,10000000,8408714,31064.0,1173701,0,0.8408714,0.07348495857987321,65.18601316299987,-30.52431595899975
3,x,6,"['x', 'x', 'z']",1.0,m1,0,10000000,7992253,66962.0,2085237,0,0.7992253,0.13883194138123506,8.38063674,-4.756638052999961
3,x,6,"['x', 'x', 'z']",1.0,normal,0,10000000,6862371,84560.0,1587380,0,0.6862371,0.12798054783106305,99.65185854900004,-60.15795176000006
3,x,7,"['z', 'x', 'z']",0.01,m1,0,10000000,9986333,7.0,14976,0,0.9986333,0.0007505257435336875,0.3650079989999995,0.0549835150000035
3,x,7,"['z', 'x', 'z']",0.01,normal,0,10000000,9990408,30.0,28244,0,0.9990408,0.0014165587631656284,1.841673205999996,0.5618396889999531
3,x,7,"['z', 'x', 'z']",0.05,m1,0,10000000,9932525,118.0,72711,0,0.9932525,0.0036721780211980337,0.1536868959999537,0.0265428410000367
3,x,7,"['z', 'x', 'z']",0.05,normal,0,10000000,9952465,494.0,137649,0,0.9952465,0.006964907688698227,7.509621522000089,1.2811877099998128
3,x,7,"['z', 'x', 'z']",0.1,m1,0,10000000,9882641,1086.0,205349,0,0.9882641,0.010499217769824888,0.5755138209999586,0.0742772720001312
3,x,7,"['z', 'x', 'z']",0.1,normal,0,10000000,9905844,1909.0,271028,0,0.9905844,0.013872921883284251,8.800454575000003,-0.3654445759999589
3,x,7,"['z', 'x', 'z']",0.5,m1,0,10000000,9348359,10205.0,651128,0,0.9348359,0.03591742679116196,0.8058654639999077,0.0933168880001176
3,x,7,"['z', 'x', 'z']",0.5,normal,0,10000000,9538727,41928.0,1182066,0,0.9538727,0.06635696775890536,14.020611068000107,1.5402865469998233
3,x,7,"['z', 'x', 'z']",1.0,m1,0,10000000,8900989,86322.0,1580379,0,0.8900989,0.09847355164690126,0.2770653259999562,0.0763099819999979
3,x,7,"['z', 'x', 'z']",1.0,normal,0,10000000,9105048,142790.0,1999827,0,0.9105048,0.1255022488623893,11.971465996999996,-2.554017148000071
3,z,2,"['z', 'x', 'x']",0.01,m1,0,10000000,9986939,5.0,16150,0,0.9986939,0.0008090567089675826,0.3713679429999956,0.1536092329999974
3,z,2,"['z', 'x', 'x']",0.01,normal,0,10000000,9984004,13.0,21606,0,0.9984004,0.0010833328993057295,1.9873235529998965,0.5600932049999301
3,z,2,"['z', 'x', 'x']",0.05,m1,0,10000000,9934726,140.0,79528,0,0.9934726,0.00401661807280845,0.4507807509999111,0.0887904610001442
3,z,2,"['z', 'x', 'x']",0.05,normal,0,10000000,9920416,309.0,106538,0,0.9920416,0.005400781580127285,2.640595377999944,0.5597333359999084
3,z,2,"['z', 'x', 'x']",0.1,m1,0,10000000,9893945,1254.0,226985,0,0.9893945,0.011597598329079048,0.2001294030000053,0.0523418440000114
3,z,2,"['z', 'x', 'x']",0.1,normal,0,10000000,9842739,1220.0,208823,0,0.9842739,0.010731972065905638,8.70479639000007,1.4564538449999418
3,z,2,"['z', 'x', 'x']",0.5,m1,0,10000000,9371845,12914.0,708507,0,0.9371845,0.03917777129263235,0.2877874999999221,0.2717357359999823
3,z,2,"['z', 'x', 'x']",0.5,normal,0,10000000,9242978,25268.0,914659,0,0.9242978,0.0522123930187868,5.0482690869998805,0.7598047030000998
