n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,9,0.1,m1,0,10000000,10000000,2,3,0,1.0,2.0000000000575119e-07,0,1.1841650019632652,"['z', 'z', 'z', 'x']"
4,x,5,0.1,m1,0,10000000,9654727,4,8,0,0.9654727,4.143048270011107e-07,0,4.334920417983085,"['z', 'z', 'x', 'x']"
4,x,3,0.1,m1,0,10000000,9474430,0,0,0,0.947443,0.0,0,6.665796407032758,"['z', 'x', 'x', 'x']"
4,x,2,0.1,m1,0,10000000,9126223,0,0,0,0.9126223,0.0,0,8.671395117999054,"['x', 'x', 'x', 'x']"
4,x,9,0.1,normal,0,10000000,10000000,51,98,0,1.0,5.09999999998012e-06,0,86.16179956006818,"['z', 'z', 'z', 'x']"
4,x,5,0.1,normal,0,10000000,9418177,2,5,0,0.9418177,2.123553209942841e-07,0,106.42792722198648,"['z', 'z', 'x', 'x']"
4,x,3,0.1,normal,0,10000000,9299921,0,1,0,0.9299921,0.0,0,113.55068877292796,"['z', 'x', 'x', 'x']"
4,x,2,0.1,normal,0,10000000,8690559,0,0,0,0.8690559,0.0,0,119.88490915996954,"['x', 'x', 'x', 'x']"
