n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
3,x,2,1.0,normal,0,100000,75248,564,1085,0,0.75248,0.0074952158196895,0,0.7599956410012965,"['x', 'x', 'x']"
3,x,2,1.0,m1,0,100000,75835,403,776,0,0.75835,0.0053141689193644,0,0.1663141710014315,"['x', 'x', 'x']"
3,x,2,0.8,normal,0,100000,79627,403,786,0,0.79627,0.0050610973664712,0,0.8742323739970743,"['x', 'x', 'x']"
3,x,2,0.8,m1,0,100000,80006,279,544,0,0.80006,0.0034872384571157,0,0.1292585539995343,"['x', 'x', 'x']"
3,x,2,0.5,normal,0,100000,86807,160,312,0,0.86807,0.0018431693296623,0,1.1552412179989917,"['x', 'x', 'x']"
3,x,2,0.5,m1,0,100000,87173,114,225,0,0.87173,0.0013077443703899,0,0.0779377770013525,"['x', 'x', 'x']"
3,x,2,0.3,normal,0,100000,91710,74,145,0,0.9171,0.0008068912877549,0,0.3158100079999713,"['x', 'x', 'x']"
3,x,2,0.3,m1,0,100000,92027,48,97,0,0.92027,0.000521586056266,0,0.1343786559991713,"['x', 'x', 'x']"
3,x,2,0.1,normal,0,100000,97233,10,20,0,0.97233,0.000102845741672,0,0.1723522510001203,"['x', 'x', 'x']"
3,x,2,0.1,m1,0,100000,97303,6,13,0,0.97303,6.166305252663928e-05,0,0.0552585129989893,"['x', 'x', 'x']"
3,x,3,1.0,normal,0,100000,89399,824,1521,0,0.89399,0.0092171053367486,0,1.3219876190014477,"['z', 'x', 'x']"
3,x,3,1.0,m1,0,100000,87004,270,520,0,0.87004,0.003103305595145,0,0.0719683839997742,"['z', 'x', 'x']"
3,x,3,0.8,normal,0,100000,91105,546,1016,0,0.91105,0.005993084902036,0,1.1515244840011292,"['z', 'x', 'x']"
3,x,3,0.8,m1,0,100000,89456,187,354,0,0.89456,0.0020904131640135,0,0.1532509739990928,"['z', 'x', 'x']"
