n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,z,15,1.0,normal,0,100000,27860,1,2,0,0.2786,3.589375448675991e-05,0,8.903065054037143,"['x', 'z', 'z', 'z']"
4,z,15,0.8,normal,0,100000,36393,0,0,0,0.36393,0.0,0,10.43810875399504,"['x', 'z', 'z', 'z']"
4,z,8,0.8,normal,0,100000,100000,230,413,0,1.0,0.0022999999999999,0,13.098678843991364,"['z', 'z', 'z', 'x']"
4,z,8,0.5,normal,0,100000,100000,46,91,0,1.0,0.00046,0,13.329501635045744,"['z', 'z', 'z', 'x']"
4,z,8,1.0,normal,0,100000,100000,506,872,0,1.0,0.0050599999999999,0,14.568638397962786,"['z', 'z', 'z', 'x']"
4,z,14,0.8,normal,0,100000,64980,4,9,0,0.6498,6.15574022776455e-05,0,11.995103329012636,"['z', 'x', 'z', 'z']"
4,z,12,0.5,normal,0,100000,74864,9,18,0,0.74864,0.0001202179952981,0,13.528967698977794,"['z', 'z', 'x', 'z']"
4,z,14,1.0,normal,0,100000,58296,2,5,0,0.58296,3.430767119527722e-05,0,12.495424203982113,"['z', 'x', 'z', 'z']"
4,z,12,0.8,normal,0,100000,63077,42,77,0,0.63077,0.0006658528465208,0,14.25945660204161,"['z', 'z', 'x', 'z']"
4,z,12,1.0,normal,0,100000,56073,62,111,0,0.56073,0.0011057014962637,0,19.07326987799024,"['z', 'z', 'x', 'z']"
4,z,15,0.5,normal,0,100000,52930,0,0,0,0.5293,0.0,0,10.316948777996004,"['x', 'z', 'z', 'z']"
4,z,14,0.5,normal,0,100000,76427,0,1,0,0.76427,0.0,0,10.919059870007914,"['z', 'x', 'z', 'z']"
4,z,15,0.3,normal,0,100000,68258,0,0,0,0.68258,0.0,0,9.477533054945525,"['x', 'z', 'z', 'z']"
4,z,8,0.3,normal,0,100000,100000,7,12,0,1.0,7.00000000000145e-05,0,10.897257497999815,"['z', 'z', 'z', 'x']"
4,z,8,0.1,normal,0,100000,100000,0,0,0,1.0,0.0,0,9.21873423299985,"['z', 'z', 'z', 'x']"
4,z,8,1.0,m1,0,100000,100000,98,176,0,1.0,0.0009799999999999,0,1.5579824370215647,"['z', 'z', 'z', 'x']"
4,z,14,0.3,normal,0,100000,84897,0,1,0,0.84897,0.0,0,10.199441345001103,"['z', 'x', 'z', 'z']"
4,z,12,0.3,normal,0,100000,84142,2,3,0,0.84142,2.376934230230443e-05,0,12.241365674999544,"['z', 'z', 'x', 'z']"
4,z,8,0.8,m1,0,100000,100000,36,69,0,1.0,0.00036,0,1.323212883027736,"['z', 'z', 'z', 'x']"
4,z,12,0.1,normal,0,100000,94533,0,0,0,0.94533,0.0,0,9.908460547972936,"['z', 'z', 'x', 'z']"
4,z,15,0.1,normal,0,100000,88074,0,0,0,0.88074,0.0,0,8.474962295033038,"['x', 'z', 'z', 'z']"
4,z,14,0.1,normal,0,100000,94824,0,0,0,0.94824,0.0,0,9.522467834991405,"['z', 'x', 'z', 'z']"
4,z,12,1.0,m1,0,100000,60014,16,30,0,0.60014,0.0002666044589595,0,4.2375540339853615,"['z', 'z', 'x', 'z']"
4,z,15,1.0,m1,0,100000,28185,2,3,0,0.28185,7.095973035298186e-05,0,4.968982826976571,"['x', 'z', 'z', 'z']"
4,z,8,0.5,m1,0,100000,100000,7,14,0,1.0,7.00000000000145e-05,0,1.1862297679763287,"['z', 'z', 'z', 'x']"
4,z,12,0.8,m1,0,100000,66125,10,19,0,0.66125,0.0001512287334594,0,2.8779371040291157,"['z', 'z', 'x', 'z']"
4,z,14,1.0,m1,0,100000,57355,4,8,0,0.57355,6.974108621737862e-05,0,4.020163306966424,"['z', 'x', 'z', 'z']"
4,z,8,0.3,m1,0,100000,100000,0,1,0,1.0,0.0,0,0.5276476719882339,"['z', 'z', 'z', 'x']"
4,z,12,0.5,m1,0,100000,77156,1,2,0,0.77156,1.2960754834367982e-05,0,1.920145087002311,"['z', 'z', 'x', 'z']"
4,z,15,0.5,m1,0,100000,53045,1,2,0,0.53045,1.885191818262744e-05,0,2.812339603959117,"['x', 'z', 'z', 'z']"
4,z,15,0.8,m1,0,100000,36562,0,1,0,0.36562,0.0,0,4.075717038009316,"['x', 'z', 'z', 'z']"
4,z,8,0.1,m1,0,100000,100000,0,0,0,1.0,0.0,0,0.3026065700105391,"['z', 'z', 'z', 'x']"
4,z,15,0.3,m1,0,100000,68620,0,0,0,0.6862,0.0,0,1.8726871580001896,"['x', 'z', 'z', 'z']"
4,z,14,0.5,m1,0,100000,75674,0,1,0,0.75674,0.0,0,2.124425634974614,"['z', 'x', 'z', 'z']"
4,z,14,0.8,m1,0,100000,63982,1,2,0,0.63982,1.562939576760236e-05,0,3.205507038976066,"['z', 'x', 'z', 'z']"
4,z,12,0.3,m1,0,100000,85381,0,1,0,0.85381,0.0,0,1.2507003369973972,"['z', 'z', 'x', 'z']"
4,z,15,0.1,m1,0,100000,88289,0,0,0,0.88289,0.0,0,0.8551243219990283,"['x', 'z', 'z', 'z']"
4,z,12,0.1,m1,0,100000,95035,0,0,0,0.95035,0.0,0,0.5057432969915681,"['z', 'z', 'x', 'z']"
4,z,14,0.3,m1,0,100000,84549,0,0,0,0.84549,0.0,0,1.1216079539735802,"['z', 'x', 'z', 'z']"
4,z,14,0.1,m1,0,100000,94654,0,0,0,0.94654,0.0,0,0.5392786709708162,"['z', 'x', 'z', 'z']"
