n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,z,15,1.0,normal,0,100000,28462,2,3,0,0.28462,7.02691307709058e-05,0,9.02771826897515,"['x', 'z', 'z', 'z']"
4,z,15,0.8,normal,0,100000,36772,0,0,0,0.36772,0.0,0,10.443947958003264,"['x', 'z', 'z', 'z']"
4,z,8,0.5,normal,0,100000,100000,45,80,0,1.0,0.0004499999999999,0,12.504361874016467,"['z', 'z', 'z', 'x']"
4,z,8,0.8,normal,0,100000,100000,248,439,0,1.0,0.00248,0,13.252672676986547,"['z', 'z', 'z', 'x']"
4,z,8,1.0,normal,0,100000,100000,588,1005,0,1.0,0.0058799999999999,0,13.485198931011835,"['z', 'z', 'z', 'x']"
4,z,14,1.0,normal,0,100000,64094,8,14,0,0.64094,0.0001248166755078,0,12.84558093501255,"['z', 'x', 'z', 'z']"
4,z,14,0.8,normal,0,100000,70161,1,2,0,0.70161,1.4252932540870232e-05,0,12.807470710016789,"['z', 'x', 'z', 'z']"
4,z,12,0.8,normal,0,100000,72826,24,40,0,0.72826,0.0003295526323016,0,12.28267341502942,"['z', 'z', 'x', 'z']"
4,z,12,0.5,normal,0,100000,82257,8,13,0,0.82257,9.725616056988072e-05,0,13.73709760402562,"['z', 'z', 'x', 'z']"
4,z,12,1.0,normal,0,100000,67461,54,105,0,0.67461,0.0008004624894383,0,17.532710607978515,"['z', 'z', 'x', 'z']"
4,z,15,0.5,normal,0,100000,53416,0,0,0,0.53416,0.0,0,10.14809592301026,"['x', 'z', 'z', 'z']"
4,z,8,0.3,normal,0,100000,100000,6,11,0,1.0,5.999999999994898e-05,0,10.97024729399709,"['z', 'z', 'z', 'x']"
4,z,8,1.0,m1,0,100000,100000,84,154,0,1.0,0.0008399999999999,0,1.2727399530122057,"['z', 'z', 'z', 'x']"
4,z,15,0.3,normal,0,100000,68335,0,0,0,0.68335,0.0,0,9.40377721999539,"['x', 'z', 'z', 'z']"
4,z,8,0.1,normal,0,100000,100000,0,0,0,1.0,0.0,0,9.472725028987044,"['z', 'z', 'z', 'x']"
4,z,14,0.5,normal,0,100000,80282,0,1,0,0.80282,0.0,0,14.089320716971995,"['z', 'x', 'z', 'z']"
4,z,12,0.1,normal,0,100000,96140,0,0,0,0.9614,0.0,0,9.087646252010018,"['z', 'z', 'x', 'z']"
4,z,12,0.3,normal,0,100000,88998,2,2,0,0.88998,2.2472415110441624e-05,0,10.309184288023973,"['z', 'z', 'x', 'z']"
4,z,14,0.1,normal,0,100000,95705,0,0,0,0.95705,0.0,0,9.272980078007096,"['z', 'x', 'z', 'z']"
4,z,8,0.8,m1,0,100000,100000,39,72,0,1.0,0.00039,0,1.0085585149936378,"['z', 'z', 'z', 'x']"
4,z,14,0.3,normal,0,100000,87568,0,0,0,0.87568,0.0,0,12.874066052027048,"['z', 'x', 'z', 'z']"
4,z,15,0.1,normal,0,100000,88191,0,0,0,0.88191,0.0,0,7.692507628002204,"['x', 'z', 'z', 'z']"
4,z,8,0.5,m1,0,100000,100000,7,10,0,1.0,7.00000000000145e-05,0,0.7563884549890645,"['z', 'z', 'z', 'x']"
4,z,12,1.0,m1,0,100000,71007,8,17,0,0.71007,0.0001126649485262,0,3.1590877560083754,"['z', 'z', 'x', 'z']"
4,z,12,0.8,m1,0,100000,76227,6,12,0,0.76227,7.871226730682412e-05,0,2.402679408027325,"['z', 'z', 'x', 'z']"
4,z,15,1.0,m1,0,100000,29069,2,3,0,0.29069,6.880181636792493e-05,0,5.197946805041283,"['x', 'z', 'z', 'z']"
4,z,8,0.3,m1,0,100000,100000,1,2,0,1.0,9.99999999995449e-06,0,0.5087982849800028,"['z', 'z', 'z', 'x']"
4,z,14,1.0,m1,0,100000,56701,8,15,0,0.56701,0.0001410909860496,0,4.2939136259956285,"['z', 'x', 'z', 'z']"
4,z,15,0.8,m1,0,100000,37060,0,1,0,0.3706,0.0,0,4.784832768957131,"['x', 'z', 'z', 'z']"
4,z,12,0.5,m1,0,100000,84082,1,2,0,0.84082,1.1893151923070278e-05,0,1.5948358320165426,"['z', 'z', 'x', 'z']"
4,z,14,0.8,m1,0,100000,63672,4,9,0,0.63672,6.282196255813499e-05,0,3.4644311730517074,"['z', 'x', 'z', 'z']"
4,z,8,0.1,m1,0,100000,100000,0,0,0,1.0,0.0,0,0.2974333409802057,"['z', 'z', 'z', 'x']"
4,z,15,0.5,m1,0,100000,53997,0,0,0,0.53997,0.0,0,2.915722996986005,"['x', 'z', 'z', 'z']"
4,z,14,0.5,m1,0,100000,75146,0,0,0,0.75146,0.0,0,2.1611490279901773,"['z', 'x', 'z', 'z']"
4,z,12,0.3,m1,0,100000,90125,1,2,0,0.90125,1.1095700416130503e-05,0,1.0265210310462862,"['z', 'z', 'x', 'z']"
4,z,15,0.3,m1,0,100000,68768,0,0,0,0.68768,0.0,0,1.840375805972144,"['x', 'z', 'z', 'z']"
4,z,15,0.1,m1,0,100000,88411,0,0,0,0.88411,0.0,0,0.797065751045011,"['x', 'z', 'z', 'z']"
4,z,14,0.3,m1,0,100000,84561,0,0,0,0.84561,0.0,0,1.318543425993994,"['z', 'x', 'z', 'z']"
4,z,12,0.1,m1,0,100000,96497,0,0,0,0.96497,0.0,0,0.4518029990140348,"['z', 'z', 'x', 'z']"
4,z,14,0.1,m1,0,100000,94451,0,0,0,0.94451,0.0,0,0.5665596099570394,"['z', 'x', 'z', 'z']"
