n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,z,15,0.8,normal,0,100000,37823,0,1,0,0.37823,0.0,0,9.91160575702088,"['x', 'z', 'z', 'z']"
4,z,15,1.0,normal,0,100000,29271,2,3,0,0.29271,6.832701308456812e-05,0,10.239498817012644,"['x', 'z', 'z', 'z']"
4,z,8,0.5,normal,0,100000,100000,42,78,0,1.0,0.0004199999999999,0,12.459267552010717,"['z', 'z', 'z', 'x']"
4,z,12,1.0,normal,0,100000,71695,66,119,0,0.71695,0.0009205662877467,0,12.94682177202776,"['z', 'z', 'x', 'z']"
4,z,8,0.8,normal,0,100000,100000,274,473,0,1.0,0.0027399999999999,0,14.470279628003482,"['z', 'z', 'z', 'x']"
4,z,14,1.0,normal,0,100000,61969,5,8,0,0.61969,8.068550404238817e-05,0,12.74034533998929,"['z', 'x', 'z', 'z']"
4,z,12,0.5,normal,0,100000,84444,12,24,0,0.84444,0.0001421060110842,0,13.47584226098843,"['z', 'z', 'x', 'z']"
4,z,8,1.0,normal,0,100000,100000,620,1045,0,1.0,0.0061999999999999,0,15.73564534401521,"['z', 'z', 'z', 'x']"
4,z,14,0.8,normal,0,100000,67931,3,6,0,0.67931,4.4162458965768536e-05,0,11.902099524973892,"['z', 'x', 'z', 'z']"
4,z,12,0.8,normal,0,100000,76656,40,74,0,0.76656,0.0005218117303277,0,14.4886363800033,"['z', 'z', 'x', 'z']"
4,z,15,0.5,normal,0,100000,54564,0,0,0,0.54564,0.0,0,9.833668986044358,"['x', 'z', 'z', 'z']"
4,z,8,1.0,m1,0,100000,100000,44,79,0,1.0,0.0004399999999999,0,1.175792691996321,"['z', 'z', 'z', 'x']"
4,z,8,0.1,normal,0,100000,100000,0,0,0,1.0,0.0,0,9.154258883034345,"['z', 'z', 'z', 'x']"
4,z,15,0.3,normal,0,100000,69474,0,0,0,0.69474,0.0,0,10.325001075980254,"['x', 'z', 'z', 'z']"
4,z,14,0.5,normal,0,100000,78773,0,0,0,0.78773,0.0,0,13.06134709098842,"['z', 'x', 'z', 'z']"
4,z,15,0.1,normal,0,100000,88515,0,0,0,0.88515,0.0,0,9.153369888023008,"['x', 'z', 'z', 'z']"
4,z,12,0.1,normal,0,100000,96641,0,0,0,0.96641,0.0,0,8.741912810015492,"['z', 'z', 'x', 'z']"
4,z,14,0.1,normal,0,100000,95392,0,0,0,0.95392,0.0,0,8.626158170984127,"['z', 'x', 'z', 'z']"
4,z,14,0.3,normal,0,100000,86513,0,0,0,0.86513,0.0,0,10.015789866971318,"['z', 'x', 'z', 'z']"
4,z,12,0.3,normal,0,100000,90387,2,4,0,0.90387,2.212707579629658e-05,0,11.779495274997316,"['z', 'z', 'x', 'z']"
4,z,8,0.3,normal,0,100000,100000,6,12,0,1.0,5.999999999994898e-05,0,14.758969861024523,"['z', 'z', 'z', 'x']"
4,z,8,0.8,m1,0,100000,100000,25,48,0,1.0,0.0002499999999999,0,0.9271654940093867,"['z', 'z', 'z', 'x']"
4,z,8,0.5,m1,0,100000,100000,4,8,0,1.0,4.000000000004e-05,0,0.6673361560096964,"['z', 'z', 'z', 'x']"
4,z,12,1.0,m1,0,100000,69668,16,28,0,0.69668,0.0002296606763506,0,3.026290586043615,"['z', 'z', 'x', 'z']"
4,z,8,0.3,m1,0,100000,100000,0,1,0,1.0,0.0,0,0.4798624939867295,"['z', 'z', 'z', 'x']"
4,z,15,1.0,m1,0,100000,32009,0,0,0,0.32009,0.0,0,4.642169894010294,"['x', 'z', 'z', 'z']"
4,z,12,0.8,m1,0,100000,74803,6,13,0,0.74803,8.02106867371366e-05,0,2.50544344302034,"['z', 'z', 'x', 'z']"
4,z,14,1.0,m1,0,100000,62433,8,14,0,0.62433,0.0001281373632534,0,4.894668452965561,"['z', 'x', 'z', 'z']"
4,z,14,0.8,m1,0,100000,68726,5,10,0,0.68726,7.275267002293528e-05,0,3.4656776770134456,"['z', 'x', 'z', 'z']"
4,z,15,0.8,m1,0,100000,40343,0,1,0,0.40343,0.0,0,4.24235553399194,"['x', 'z', 'z', 'z']"
4,z,12,0.5,m1,0,100000,83533,2,5,0,0.83533,2.394263345029124e-05,0,1.6377518090303056,"['z', 'z', 'x', 'z']"
4,z,15,0.5,m1,0,100000,56737,0,1,0,0.56737,0.0,0,2.6437887579668318,"['x', 'z', 'z', 'z']"
4,z,14,0.5,m1,0,100000,78984,2,5,0,0.78984,2.532158411827634e-05,0,2.178705610043835,"['z', 'x', 'z', 'z']"
4,z,12,0.3,m1,0,100000,89712,0,0,0,0.89712,0.0,0,0.8991685220389627,"['z', 'z', 'x', 'z']"
4,z,8,0.1,m1,0,100000,100000,0,0,0,1.0,0.0,0,0.2583834420074709,"['z', 'z', 'z', 'x']"
4,z,14,0.3,m1,0,100000,86809,0,0,0,0.86809,0.0,0,1.307951726950705,"['z', 'x', 'z', 'z']"
4,z,15,0.3,m1,0,100000,71191,0,0,0,0.71191,0.0,0,1.4945433040265923,"['x', 'z', 'z', 'z']"
4,z,15,0.1,m1,0,100000,89114,0,0,0,0.89114,0.0,0,0.6877928230096586,"['x', 'z', 'z', 'z']"
4,z,14,0.1,m1,0,100000,95393,0,0,0,0.95393,0.0,0,0.5961262899800204,"['z', 'x', 'z', 'z']"
4,z,12,0.1,m1,0,100000,96419,0,0,0,0.96419,0.0,0,0.4370757239521481,"['z', 'z', 'x', 'z']"
