n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,2,0.5,normal,0,100000,56591,0,1,0,0.56591,0.0,0,9.515433599997776,"['x', 'x', 'x', 'x']"
4,x,2,0.8,normal,0,100000,40130,0,0,0,0.4013,0.0,0,9.580477707961109,"['x', 'x', 'x', 'x']"
4,x,2,1.0,normal,0,100000,31766,0,0,0,0.31766,0.0,0,11.361686940013897,"['x', 'x', 'x', 'x']"
4,x,3,1.0,normal,0,100000,46916,3,6,0,0.46916,6.394407025323012e-05,0,12.748262392007746,"['z', 'x', 'x', 'x']"
4,x,9,1.0,normal,0,100000,100000,2210,3393,0,1.0,0.0221,0,14.563834478030913,"['z', 'z', 'z', 'x']"
4,x,3,0.5,normal,0,100000,68771,0,0,0,0.68771,0.0,0,13.27393150399439,"['z', 'x', 'x', 'x']"
4,x,3,0.8,normal,0,100000,54545,4,7,0,0.54545,7.333394444952734e-05,0,12.164216108969413,"['z', 'x', 'x', 'x']"
4,x,9,0.8,normal,0,100000,100000,1109,1740,0,1.0,0.01109,0,14.777882457943631,"['z', 'z', 'z', 'x']"
4,x,5,0.8,normal,0,100000,47035,69,120,0,0.47035,0.0014669926650366,0,15.936321740038691,"['z', 'z', 'x', 'x']"
4,x,5,1.0,normal,0,100000,39258,130,206,0,0.39258,0.003311426970299,0,16.58861620404059,"['z', 'z', 'x', 'x']"
4,x,2,0.3,normal,0,100000,71160,0,1,0,0.7116,0.0,0,9.614257537992671,"['x', 'x', 'x', 'x']"
4,x,9,0.5,normal,0,100000,100000,230,399,0,1.0,0.0022999999999999,0,13.245984902023338,"['z', 'z', 'z', 'x']"
4,x,2,0.1,normal,0,100000,89175,0,0,0,0.89175,0.0,0,8.19736189499963,"['x', 'x', 'x', 'x']"
4,x,5,0.5,normal,0,100000,61271,12,25,0,0.61271,0.0001958512183577,0,12.458451637008691,"['z', 'z', 'x', 'x']"
4,x,9,1.0,m1,0,100000,100000,72,124,0,1.0,0.00072,0,1.5289216910023242,"['z', 'z', 'z', 'x']"
4,x,3,0.3,normal,0,100000,79986,0,0,0,0.79986,0.0,0,11.2669725100277,"['z', 'x', 'x', 'x']"
4,x,9,0.3,normal,0,100000,100000,32,62,0,1.0,0.0003199999999999,0,12.234240719000807,"['z', 'z', 'z', 'x']"
4,x,2,1.0,m1,0,100000,34486,1,2,0,0.34486,2.899727425620391e-05,0,4.922829169023316,"['x', 'x', 'x', 'x']"
4,x,5,0.3,normal,0,100000,74425,2,5,0,0.74425,2.687269062817688e-05,0,12.606214900966734,"['z', 'z', 'x', 'x']"
4,x,3,0.1,normal,0,100000,92567,0,0,0,0.92567,0.0,0,10.726992499025071,"['z', 'x', 'x', 'x']"
4,x,3,1.0,m1,0,100000,53399,2,3,0,0.53399,3.745388490417057e-05,0,4.733371427981183,"['z', 'x', 'x', 'x']"
4,x,5,0.1,normal,0,100000,90332,0,0,0,0.90332,0.0,0,10.262521133001428,"['z', 'z', 'x', 'x']"
4,x,9,0.8,m1,0,100000,100000,34,61,0,1.0,0.00034,0,1.0579432860249651,"['z', 'z', 'z', 'x']"
4,x,9,0.1,normal,0,100000,100000,2,3,0,1.0,2.000000000002e-05,0,10.952313482994214,"['z', 'z', 'z', 'x']"
4,x,5,1.0,m1,0,100000,54703,168,295,0,0.54703,0.0030711295541377,0,5.35718008398544,"['z', 'z', 'x', 'x']"
4,x,9,0.5,m1,0,100000,100000,6,12,0,1.0,5.999999999994898e-05,0,0.756001743953675,"['z', 'z', 'z', 'x']"
4,x,2,0.8,m1,0,100000,42700,0,1,0,0.427,0.0,0,3.9145771299954495,"['x', 'x', 'x', 'x']"
4,x,3,0.8,m1,0,100000,60680,2,5,0,0.6068,3.295978905737407e-05,0,3.763670802989509,"['z', 'x', 'x', 'x']"
4,x,3,0.5,m1,0,100000,73177,0,1,0,0.73177,0.0,0,2.618108233960811,"['z', 'x', 'x', 'x']"
4,x,2,0.5,m1,0,100000,58892,0,1,0,0.58892,0.0,0,2.9797553999815136,"['x', 'x', 'x', 'x']"
4,x,2,0.3,m1,0,100000,72992,0,0,0,0.72992,0.0,0,1.6098664539749734,"['x', 'x', 'x', 'x']"
4,x,3,0.3,m1,0,100000,83104,0,0,0,0.83104,0.0,0,1.500262360961642,"['z', 'x', 'x', 'x']"
4,x,9,0.3,m1,0,100000,100000,0,1,0,1.0,0.0,0,0.5006087369984016,"['z', 'z', 'z', 'x']"
4,x,5,0.5,m1,0,100000,73310,25,48,0,0.7331,0.0003410175965079,0,2.2495532300090417,"['z', 'z', 'x', 'x']"
4,x,5,0.8,m1,0,100000,61382,98,164,0,0.61382,0.0015965592518979,0,3.609541983983945,"['z', 'z', 'x', 'x']"
4,x,3,0.1,m1,0,100000,94025,0,0,0,0.94025,0.0,0,0.7719131999765523,"['z', 'x', 'x', 'x']"
4,x,2,0.1,m1,0,100000,89954,0,0,0,0.89954,0.0,0,0.7811769950203598,"['x', 'x', 'x', 'x']"
4,x,9,0.1,m1,0,100000,100000,0,0,0,1.0,0.0,0,0.2379718190059065,"['z', 'z', 'z', 'x']"
4,x,5,0.1,m1,0,100000,93937,0,0,0,0.93937,0.0,0,0.5838677359861322,"['z', 'z', 'x', 'x']"
4,x,5,0.3,m1,0,100000,82900,6,12,0,0.829,7.237635705670264e-05,0,1.1695681299897842,"['z', 'z', 'x', 'x']"
