n,lstate,i,p_error,sim_type,comp_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2,1.0,m1,na,val,1000000,0.476305,476305,1.1662641260006383e-05,0.0,10,2.3325282520012767e-05,0.01906420425509547,0.030758320012640495,6.617561918667476e-06,1.0676820520501611e-05,0.0,0.0,1.3235123837334951e-05,2.1353641041003222e-05,0.4762995,0.019064599288907764,0.030758957362946426,0,2,56,56,48,1.0,0.0,476305,0.0,11,0,0,0,106.62713325896766
4,x,2,1.0,normal,na,val,1000000,0.411547,411547,2.112238007201515e-05,5.345881250945893e-06,10,3.155299764213852e-05,0.016327854880954538,0.02634347486148662,1.3248157035402474e-05,2.1374668893599894e-05,6.989075495320651e-06,1.1276223114327933e-05,2.3153861697252215e-05,3.735660183257602e-05,0.4115385,0.016329295041381576,0.026345798426356763,0,2,64,64,64,1.0,0.0,411547,2.0,13,0,0,0,437.76501307310537
4,x,3,1.0,m1,na,val,1000000,0.646416,646416,1.4562513253753568e-05,0.0,10,2.9125026507507137e-05,0.03860527773135919,0.06228602415024132,6.726743701685135e-06,1.0852975170161864e-05,0.0,0.0,1.345348740337027e-05,2.170595034032373e-05,0.646407,0.038607583147715105,0.06228974372505749,1,1,40,40,32,1.0,0.0,646416,0.0,18,0,0,0,133.87623272603378
4,x,3,1.0,normal,na,val,1000000,0.667385,667385,1.2981195418465657e-05,0.0,10,2.5962390836931314e-05,0.018964386073948656,0.030597272663498043,6.780686368655591e-06,1.0940006645003993e-05,0.0,0.0,1.3561372737311181e-05,2.1880013290007987e-05,0.6673765,0.01896671784220513,0.030601034754654227,1,1,48,48,48,1.0,0.0,667385,0.0,17,0,0,0,545.5427703600726
4,x,4,0.1,m1,na,val,110450000,0.9259557637795276,102270117,4.8243471659718395e-05,6.569808082797401e-07,254,9.517298170287732e-05,0.0015964454128800242,0.012981200573572955,6.470691280202197e-06,5.2615229233827135e-05,8.48116513480957e-07,6.896302549671382e-06,1.2931784747357966e-05,0.00010515241562621531,0.9259111791338583,0.0015971161577608473,0.012986654611500852,0,2,56,40,48,1.0,0.0,102270117,54.0,7988,0,0,0,9088.850203903392
4,x,4,0.1,normal,na,val,109410000,0.9138465903614458,100112625,4.777277059508654e-05,1.0202274736102457e-06,249,9.350508624295258e-05,0.0018950509153575262,0.015256836251996319,7.112558684276837e-06,5.726238925789141e-05,1.7071360075220344e-06,1.3743955012278186e-05,1.3788282102856357e-05,0.00011100786819752687,0.9138030823293173,0.0018960370514625646,0.015264775519988975,0,2,64,48,64,1.0,0.0,100112625,36.0,7537,0,0,0,46983.0718339833
4,x,4,0.15,m1,na,val,109050000,0.8916764122807017,97224623,9.195446995331604e-05,2.197354781364994e-06,114,0.00017951423034390208,0.002474931550314465,0.013482162158739139,9.006989422722843e-06,4.9065474939607206e-05,1.9091815281713973e-06,1.0400245190621802e-05,1.822171544441379e-05,9.926259269706813e-05,0.8915946710526316,0.0024777645919104503,0.013497595121398117,0,2,56,40,48,1.0,0.0,97224623,125.0,16902,0,0,0,10410.610310947377
4,x,4,0.15,normal,na,val,109040000,0.8748033805309735,95384020,8.774686745781218e-05,1.0631426220786206e-06,113,0.00017336744967146712,0.003586068210000432,0.01944919794220252,8.179703104913806e-06,4.4362977913322504e-05,2.684404726123042e-07,1.45589865607561e-06,1.6320456903228864e-05,8.851471255702785e-05,0.874726907079646,0.003588160402821751,0.019460545041569344,0,2,64,48,64,1.0,0.0,95384020,105.0,16182,0,0,0,46380.69589427678
4,x,4,0.3,m1,na,val,39030000,0.7800971904761905,30423524,0.0004422904427688147,1.1205367890475488e-05,42,0.0008621701497566784,0.005397175071766688,0.017845761297974865,5.782639077431768e-05,0.00019120298170059052,5.7046628010115745e-06,1.8862469584290354e-05,0.00011402647280732833,0.0003770285729685459,0.7797531547619047,0.005408130789667033,0.017881986383116215,0,2,56,40,48,1.0,0.0,30423524,268.0,26383,0,0,0,5779.727950797009
4,x,4,0.3,normal,na,val,39050000,0.7523486136363636,29444002,0.00040109999678034406,7.271085281791603e-06,44,0.0007876578229971048,0.007261186671480276,0.024574114002071115,4.2979242836287716e-05,0.00014545512475666996,1.4929991585318694e-06,5.052773490986275e-06,8.478699188713975e-05,0.00028694555019647945,0.7520468977272727,0.007258696030591514,0.024565684898687913,0,2,64,48,64,1.0,0.0,29444002,241.0,23000,0,0,0,20381.62670042127
4,x,4,0.5,m1,na,val,38000000,0.6471547105263158,24591879,0.0010952636831872806,2.6418191162115834e-05,38,0.0021376909840503298,0.02532794083518046,0.0796591393626307,0.0001306479974125554,0.0004109022166886791,3.631558734402747e-06,1.1421648732120707e-05,0.0002570222876721777,0.0008083631577558637,0.6464493684210527,0.025307144619996582,0.07959373299523874,0,2,56,40,48,1.0,0.0,24591879,642.0,52322,0,0,0,6852.191382579738
4,x,4,0.5,normal,na,val,39000000,0.633183564102564,24694159,0.001104987218913669,3.254499624336425e-05,39,0.0021448844453406096,0.008885581461207286,0.028311448183594604,0.0001033523541155576,0.00032930369621501004,4.32586737264511e-06,1.3783180144645739e-05,0.00020306702903289265,0.0006470169335975123,0.6324826923076923,0.00886797792619435,0.028255359387206577,0,2,64,48,64,1.0,0.0,24694159,800.0,53068,0,0,0,20338.585682762903
4,x,4,0.7,m1,na,val,39000000,0.5661733589743589,22080761,0.0023117252774722077,8.023517512238043e-05,39,0.004462980204699654,0.008530780183597372,0.027180972026195054,0.0002409697975675035,0.0007677836242262891,8.726650039854386e-06,2.7805057158986703e-05,0.0004686534012794691,0.0014932344657820847,0.5648707948717949,0.00855374695165251,0.02725414928156955,0,2,56,40,48,1.0,0.0,22080761,1761.0,98078,0,0,0,8838.38814915414
4,x,4,0.7,normal,na,val,39000000,0.5169414102564103,20160715,0.002234971995939523,8.068035548732966e-05,39,0.004308583280904386,0.010746247526177343,0.03423994606697513,0.00029243034759671133,0.0009317484364349031,1.0726426367592808e-05,3.417679142631882e-05,0.0005715872358644315,0.0018212046652466571,0.5157868589743589,0.010729879293941515,0.03418779322128632,0,2,64,48,64,1.0,0.0,20160715,1608.0,86839,0,0,0,17244.299683767895
4,x,4,0.9,m1,na,val,39000000,0.4793999230769231,18696597,0.0035292694469255415,0.00014366950693582356,39,0.006771199879979437,0.010802823260419848,0.03442020899917021,0.000307688285649424,0.0009803636367404528,1.691400371047204e-05,5.3891795569796425e-05,0.0005973431661972039,0.0019032688149278059,0.47770451282051285,0.010750050693594903,0.03425206380825586,0,2,56,40,48,1.0,0.0,18696597,2683.0,126876,0,0,0,9908.45639423834
4,x,4,0.9,normal,na,val,39000000,0.4226288974358975,16482527,0.003520702129591676,0.00016951884949637376,39,0.006702366560190604,0.02199116187763371,0.07006875607565188,0.0003975239777018399,0.0012666002270731427,2.0925277111792965e-05,6.66726090199382e-05,0.0007606907449488133,0.00242373070388037,0.4211575897435898,0.021939677024735996,0.06990471382907328,0,2,64,48,64,1.0,0.0,16482527,2751.0,109260,0,0,0,17238.596846602217
