n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,4,0.005,m1,anqi,500000,0.20981999999999998,104910,0.0,0.0,5,0.0,0.0004947981083229872,0.0005644909210961754,0.0,0.0,0.0,0.0,0.0,0.0,0.20981999999999998,0.0004947981083229872,0.0005644909210961754,0,3,144,112,128,1.0,0.0,104910,0.0,0,0,0,0,317.92341727297753
5,x,4,0.005,m1,val,500000,0.20981999999999998,104910,4.758279406166731e-06,0.0,5,9.516558812333461e-06,0.0004947981083229872,0.0005644909210961754,9.326227636086791e-06,1.063983620812614e-05,0.0,0.0,1.8652455272173582e-05,2.127967241625228e-05,0.20981899999999998,0.0004941416169480186,0.0005637419622486898,0,3,144,112,128,1.0,0.0,104910,0.0,1,0,0,0,320.057738380041
5,x,4,0.005,normal,anqi,600000,0.15578333333333333,93470,0.0,0.0,6,0.0,0.0006408863667695728,0.0008009411131079828,0.0,0.0,0.0,0.0,0.0,0.0,0.15578333333333333,0.0006408863667695728,0.0008009411131079828,0,3,160,128,160,1.0,0.0,93470,0.0,0,0,0,0,357.38364785001613
5,x,4,0.005,normal,val,600000,0.15578333333333333,93470,0.0,0.0,6,0.0,0.0006408863667695728,0.0008009411131079828,0.0,0.0,0.0,0.0,0.0,0.0,0.15578333333333333,0.0006408863667695728,0.0008009411131079828,0,3,160,128,160,1.0,0.0,93470,0.0,0,0,0,0,371.4642794310348
5,x,5,0.0,m1,anqi,1000,1.0,1000,0.0,0.0,1,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,2,1,80,80,64,1.0,0.0,1000,0.0,0,0,0,0,0.4841905732173472
5,x,5,0.0,m1,val,1000,1.0,1000,0.0,0.0,1,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,2,1,80,80,64,1.0,0.0,1000,0.0,0,0,0,0,0.4696767081040889
5,x,5,0.0,normal,anqi,1000,1.0,1000,0.0,0.0,1,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,2,1,96,96,96,1.0,0.0,1000,0.0,0,0,0,0,0.6671912129968405
5,x,5,0.0,normal,val,1000,1.0,1000,0.0,0.0,1,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,2,1,96,96,96,1.0,0.0,1000,0.0,0,0,0,0,0.6889490219764411
5,x,5,0.005,m1,anqi,500000,0.444854,222427,0.0,0.0,5,0.0,0.0013354865276744708,0.0015235911525077915,0.0,0.0,0.0,0.0,0.0,0.0,0.444854,0.0013354865276744708,0.0015235911525077915,2,1,80,80,64,1.0,0.0,222427,0.0,0,0,0,0,390.832401452004
5,x,5,0.005,m1,val,500000,0.444854,222427,0.0,0.0,5,0.0,0.0013354865276744708,0.0015235911525077915,0.0,0.0,0.0,0.0,0.0,0.0,0.444854,0.0013354865276744708,0.0015235911525077915,2,1,80,80,64,1.0,0.0,222427,0.0,0,0,0,0,396.77560226700734
5,x,5,0.005,normal,anqi,600000,0.3632583333333333,217955,0.0,0.0,6,0.0,0.00075732155683332,0.0009464547884958189,0.0,0.0,0.0,0.0,0.0,0.0,0.3632583333333333,0.00075732155683332,0.0009464547884958189,2,1,96,96,96,1.0,0.0,217955,0.0,0,0,0,0,492.62320793094113
5,x,5,0.005,normal,val,600000,0.3632583333333333,217955,0.0,0.0,6,0.0,0.00075732155683332,0.0009464547884958189,0.0,0.0,0.0,0.0,0.0,0.0,0.3632583333333333,0.00075732155683332,0.0009464547884958189,2,1,96,96,96,1.0,0.0,217955,0.0,0,0,0,0,501.2569980141707
5,x,6,0.0,m1,anqi,1000,1.0,1000,0.0,0.0,1,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0,3,144,112,128,1.0,0.0,1000,0.0,0,0,0,0,1.238562739919871
5,x,6,0.0,m1,val,1000,1.0,1000,0.0,0.0,1,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0,3,144,112,128,1.0,0.0,1000,0.0,0,0,0,0,0.7309622650500387
5,x,6,0.0,normal,anqi,1000,1.0,1000,0.0,0.0,1,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0,3,160,128,160,1.0,0.0,1000,0.0,0,0,0,0,0.4672719540540129
5,x,6,0.0,normal,val,1000,1.0,1000,0.0,0.0,1,0.0,0.0,,0.0,,0.0,,0.0,,1.0,0.0,,0,3,160,128,160,1.0,0.0,1000,0.0,0,0,0,0,0.6156388900708407
5,x,6,0.005,m1,anqi,3500000,0.206337125,722572,0.0,0.0,8,0.0,0.0005481793287100479,0.0007910639196676823,0.0,0.0,0.0,0.0,0.0,0.0,0.206337125,0.0005481793287100479,0.0007910639196676823,0,3,144,112,128,1.0,0.0,722572,0.0,0,0,0,0,2208.2607390721096
5,x,6,0.005,m1,val,3500000,0.206337125,722572,5.75752081109311e-06,0.0,8,1.151504162218622e-05,0.0005481793287100479,0.0007910639196676823,6.023910821050226e-06,8.692955491484976e-06,0.0,0.0,1.2047821642100452e-05,1.738591098296995e-05,0.2063359375,0.0005482814874735885,0.0007912113424318808,0,3,144,112,128,1.0,0.0,722572,0.0,10,0,0,0,2193.7478831110056
5,x,6,0.005,normal,anqi,3600000,0.15356922222222222,554105,8.630360272498178e-06,8.630360272498178e-06,9,0.0,0.00047252440917289673,0.0007232516466932092,1.3859043845652638e-05,2.121282221273363e-05,1.3859043845652638e-05,2.121282221273363e-05,0.0,0.0,0.1535678888888889,0.00047127511140220246,0.0007213394562278609,0,3,160,128,160,1.0,0.0,554105,3.0,0,0,0,0,2095.268024336896
5,x,6,0.005,normal,val,3600000,0.15356922222222222,554105,5.397440288040429e-06,0.0,9,1.0794880576080857e-05,0.00047252440917289673,0.0007232516466932092,6.848692947829985e-06,1.0482693287494876e-05,0.0,0.0,1.369738589565997e-05,2.0965386574989752e-05,0.1535683888888889,0.00047182597816525945,0.0007221826196407033,0,3,160,128,160,1.0,0.0,554105,0.0,6,0,0,0,2090.288634231896
5,x,6,0.0075,m1,anqi,3000000,0.09497766666666667,284933,0.0,0.0,3,0.0,0.0004516759412577911,0.00039914575449744385,0.0,0.0,0.0,0.0,0.0,0.0,0.09497766666666667,0.0004516759412577911,0.00039914575449744385,0,3,144,112,128,1.0,0.0,284933,0.0,0,0,0,0,1641.5600248679984
5,x,6,0.0075,m1,val,3000000,0.09497766666666667,284933,2.2793093698025792e-05,0.0,3,4.5586187396051585e-05,0.0004516759412577911,0.00039914575449744385,8.986481697074879e-06,7.941348408480346e-06,0.0,0.0,1.7972963394149758e-05,1.588269681696069e-05,0.09497549999999999,0.00045092390326232853,0.00039848117897838084,0,3,144,112,128,1.0,0.0,284933,0.0,13,0,0,0,1655.6752960359445
5,x,6,0.0075,normal,anqi,3000000,0.06193099999999999,185793,5.411167567626067e-06,5.411167567626067e-06,3,0.0,0.0003279297314974628,0.0002897913042173599,1.060588843254709e-05,9.372417155397246e-06,1.060588843254709e-05,9.372417155397246e-06,0.0,0.0,0.06193066666666667,0.0003285740580819545,0.0002903606952280778,0,3,160,128,160,1.0,0.0,185793,1.0,0,0,0,0,1499.73636699107
5,x,6,0.0075,normal,val,3000000,0.06193099999999999,185793,8.1167513514391e-06,0.0,3,1.62335027028782e-05,0.0003279297314974628,0.0002897913042173599,1.5908832648820638e-05,1.4058625733095868e-05,0.0,0.0,3.1817665297641275e-05,2.8117251466191737e-05,0.0619305,0.00032889623470024504,0.00029064540250965426,0,3,160,128,160,1.0,0.0,185793,0.0,3,0,0,0,1512.3787259759847
5,x,6,0.01,m1,anqi,3000000,0.04420366666666666,132611,0.0,0.0,3,0.0,0.0001175800353423604,0.00010390540569832268,0.0,0.0,0.0,0.0,0.0,0.0,0.04420366666666666,0.0001175800353423604,0.00010390540569832268,0,3,144,112,128,1.0,0.0,132611,0.0,0,0,0,0,1503.822890445008
5,x,6,0.01,m1,val,3000000,0.04420366666666666,132611,0.00010173928335348087,0.0,3,0.00020347856670696173,0.0001175800353423604,0.00010390540569832268,4.593621480903045e-05,4.059380507991765e-05,0.0,0.0,9.18724296180609e-05,8.11876101598353e-05,0.04419916666666667,0.0001155850811211245,0.0001021424658667132,0,3,144,112,128,1.0,0.0,132611,0.0,27,0,0,0,1505.9842235060642
5,x,6,0.01,normal,anqi,3000000,0.025042666666666668,75128,6.658904595177206e-05,6.658904595177206e-05,3,0.0,4.550878205846179e-05,4.0216083018283046e-05,6.911729039695706e-05,6.107890747399086e-05,6.911729039695706e-05,6.107890747399086e-05,0.0,0.0,0.025040999999999997,4.647859435625556e-05,4.107310555582587e-05,0,3,160,128,160,1.0,0.0,75128,5.0,0,0,0,0,1437.1028291470138
5,x,6,0.01,normal,val,3000000,0.025042666666666668,75128,6.65650775533745e-05,0.0,3,0.000133130155106749,4.550878205846179e-05,4.0216083018283046e-05,1.317253002608964e-05,1.1640556770109104e-05,0.0,0.0,2.634506005217928e-05,2.328111354021821e-05,0.025040999999999997,4.582307861038247e-05,4.0493826690002607e-05,0,3,160,128,160,1.0,0.0,75128,0.0,10,0,0,0,1451.209293095977
5,x,6,0.05,m1,anqi,3000000,1e-06,3,0.0,0.0,3,0.0,1.1316065276116666e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1.1316065276116666e-06,1e-06,0,3,144,112,128,1.0,0.0,3,0.0,0,0,0,0,1102.4607655020664
5,x,6,0.05,m1,val,3000000,1e-06,3,0.0,0.0,3,0.0,1.1316065276116666e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1.1316065276116666e-06,1e-06,0,3,144,112,128,1.0,0.0,3,0.0,0,0,0,0,1117.5274927429855
