n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,25,"['z', 'z', 'z', 'x', 'z']",0.1,normal,0,na,100000,94203,0,0,0,0.94203,0.0,0,110.63814582000487
5,x,25,"['z', 'z', 'z', 'x', 'z']",0.1,m1,0,na,100000,95428,0,0,0,0.95428,0.0,0,109.31518928299192
5,x,25,"['z', 'z', 'z', 'x', 'z']",0.15,m1,0,na,100000,91651,0,1,0,0.91651,0.0,0,109.67822124098893
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.1,m1,0,na,100000,73017,21,40,0,0.73017,0.0002876042565429504,0,128.46090185799403
5,x,25,"['z', 'z', 'z', 'x', 'z']",0.15,normal,0,na,100000,93460,0,0,0,0.9346,0.0,0,114.41071722703055
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.15,normal,0,na,100000,62534,21,42,0,0.62534,0.00033581731538046,0,137.80791954498272
5,z,25,"['x', 'x', 'x', 'z', 'z']",0.15,normal,0,na,100000,64504,16,32,0,0.64504,0.0002480466327670072,0,138.05762384895934
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.15,m1,0,na,100000,64084,22,39,0,0.64084,0.0003432994195119443,0,139.90331546100788
5,z,25,"['x', 'x', 'x', 'z', 'z']",0.1,normal,0,na,100000,73201,6,11,0,0.73201,8.196609335942018e-05,0,140.75486063602148
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.1,normal,0,na,100000,70994,8,16,0,0.70994,0.0001126855790629655,0,144.06253569800174
5,z,8,"['z', 'z', 'z', 'x', 'x']",0.15,normal,0,na,100000,90159,0,0,0,0.90159,0.0,0,137.59092300903285
5,z,8,"['z', 'z', 'z', 'x', 'x']",0.1,normal,0,na,100000,91776,0,0,0,0.91776,0.0,0,154.79150858800858
5,z,25,"['x', 'x', 'x', 'z', 'z']",0.15,m1,0,na,100000,64629,21,42,0,0.64629,0.0003249315322843005,0,43.51863655698253
5,z,8,"['z', 'z', 'z', 'x', 'x']",0.1,m1,0,na,100000,94009,0,0,0,0.94009,0.0,0,54.601019485038705
5,z,25,"['x', 'x', 'x', 'z', 'z']",0.1,m1,0,na,100000,75130,12,24,0,0.7513,0.00015972314654599806,0,71.44041707302677
5,z,8,"['z', 'z', 'z', 'x', 'x']",0.15,m1,0,na,100000,90902,0,0,0,0.90902,0.0,0,67.0696065229713
