n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,z,14,0.001,m1,475700000000,0.9365439502480556,6.927044225280299e-07,2.437577680935703e-05,4.20862293980024e-10,4757,4.239884318331124e-11,1.4919851884870902e-09,0.9365439498538995,6.927044830396406e-07,2.4375778938717648e-05,1,1,40,8,32,1.0,0.0,445513957133,0.0,375,0,0,0,140529.65555393137,"['z', 'x', 'z', 'z']"
4,z,14,0.001,normal,103500000000,0.9251493987342996,1.6363941044777648e-06,2.6859752696814197e-05,5.587322207203017e-10,1035,1.0439337905174775e-10,1.7135116393062195e-09,0.9251493982173912,1.636399495033948e-06,2.685984117733706e-05,1,1,48,16,48,1.0,0.0,95752962769,0.0,107,0,0,0,613657.936747734,"['z', 'x', 'z', 'z']"
