n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,6,0.0001,m2,val,200000,0.9921410603703439,197451,0.0,0.0,20,0.0,0.0004250543662289356,0.0009698474051234602,0.0,0.0,0.0,0.0,0.0,0.0,0.987255,0.0006380465896204736,0.001455832191023766,0,2,56,40,48,0.9977269230769231,0.00017061623740766366,197451,0.0,0,985,0,0,104.60314340505283
4,x,6,0.00025,m2,val,200000,0.9803672293685549,193654,5.174380034250615e-06,0.0,20,1.034876006850123e-05,0.0006499189296300392,0.0014829213331802754,6.980057712073054e-06,1.5926411766394903e-05,0.0,0.0,1.3960115424146109e-05,3.1852823532789806e-05,0.968265,0.0008916356123793802,0.00203444677595913,0,2,56,40,48,0.9943046153846155,0.00020093224821122972,193654,0.0,2,2468,0,0,109.39964636298828
4,x,6,0.0005,m2,val,200000,0.9602351094562209,187121,2.674148228580949e-05,0.0,20,5.348296457161898e-05,0.0009509352274631374,0.002169750827353878,1.613808990569817e-05,3.6822312302188044e-05,0.0,0.0,3.227617981139634e-05,7.364462460437609e-05,0.9355800000000001,0.001101594704340741,0.002513510859754775,0,2,56,40,48,0.9881615384615385,0.0002949963186696548,187121,0.0,10,5130,0,0,103.77150460984558
4,x,6,0.00075,m2,val,200000,0.9408827363812604,180912,6.634515458742687e-05,0.0,20,0.00013269030917485375,0.0011543263418517078,0.002633828743468448,3.389965561495159e-05,7.734891262129e-05,0.0,0.0,6.779931122990318e-05,0.00015469782524258,0.9045,0.0012252372401852793,0.002795626283284206,0,2,56,40,48,0.9821823076923076,0.00024489553799157156,180912,0.0,24,7721,0,0,114.54069416108541
4,x,6,0.001,m2,val,1800000,0.9228280035362825,1576185,7.32764792344058e-05,6.356907288321344e-07,18,0.00014528157701114734,0.00042105849994563343,0.0009114285324116109,5.513248713407835e-06,1.1934047606995987e-05,1.2459538285109837e-06,2.6970073505677263e-06,1.0952397346129648e-05,2.3707697246013735e-05,0.8755941666666667,0.0005562736819369408,0.001204117018448631,0,2,56,40,48,0.976408717948718,0.00014401091234173373,1576185,1.0,229,92006,0,0,469.26247710105963
4,x,6,0.0025,m2,val,1800000,0.8182181870327057,1292834,0.00048034059911386046,4.63773968135935e-06,18,0.0009514057188650021,0.000566266896911415,0.0012257484574516077,2.287953131675998e-05,4.952532166668661e-05,4.930021712440278e-06,1.0671587094683986e-05,4.249073054386893e-05,9.1975970525939e-05,0.7178961111111111,0.0006573851536446398,0.0014229841836535262,0,2,56,40,48,0.9436051282051283,0.0002214408101636242,1292834,6.0,1230,219940,0,0,466.7783339493908
4,x,6,0.005,m2,val,1800000,0.6709869738099481,934695,0.00199630889381517,4.381564382775302e-05,18,0.0039049864999748337,0.0007220246723725498,0.001562903700057016,5.2729681835617205e-05,0.00011413933345645114,1.660569323557387e-05,3.594489273421795e-05,9.760239892572555e-05,0.00021127138206261775,0.5182383333333332,0.0006846233245154475,0.0014819442713980139,0,2,56,40,48,0.8956448717948717,0.00027022209473584995,934695,41.0,3650,406985,0,0,455.6075921745505
4,x,6,0.0075,m2,val,1800000,0.551854327903428,679730,0.004552192655276437,0.00013532994423135825,18,0.008833725422090159,0.00087150936216006,0.0018864801424008403,0.00013039638639918827,0.0002822576604033285,2.8130293158780983e-05,6.08911868857334e-05,0.00022719588530143394,0.0004917910749622194,0.3759086111111111,0.0007645046138588494,0.0016548563164530473,0,2,56,40,48,0.8542866666666666,0.0003244649749162459,679730,92.0,6005,568282,0,0,412.11907721543685
4,x,6,0.01,m2,val,1800000,0.45471429518136536,497623,0.008195864012417387,0.0003293686389448532,18,0.015732990746945067,0.0008964881772602288,0.0019405496001865573,0.0001895216482895982,0.0004102409470017145,5.638446922578411e-05,0.0001220505322749678,0.0003188689476836368,0.0006902277404599531,0.27419138888888894,0.0006566109010140092,0.001421308226657188,0,2,56,40,48,0.8190674358974359,0.00033150074499407596,497623,164.0,7829,705637,0,0,392.72215651581064
4,x,7,0.0001,m2,val,200000,0.9946077785529912,198287,0.0,0.0,20,0.0,0.0003355389495640543,0.0007655998982898968,0.0,0.0,0.0,0.0,0.0,0.0,0.9914350000000001,0.0004590610348136742,0.00104744048945385,1,1,40,24,32,0.9989366666666667,0.00010098063736580981,198287,0.0,0,638,0,0,156.94227611005772
4,x,7,0.00025,m2,val,200000,0.9866232692878423,195672,1.0218158172869853e-05,0.0,20,2.0436316345739706e-05,0.0005403727352489536,0.0012329695604124053,1.1714320575289853e-05,2.6728588894461792e-05,0.0,0.0,2.3428641150579707e-05,5.3457177788923584e-05,0.97835,0.0006124638936726209,0.0013974601020573304,1,1,40,24,32,0.9972083333333334,0.0001539424932501485,195672,0.0,4,1675,0,0,149.37576783890836
4,x,7,0.0005,m2,val,200000,0.972883751040522,191160,4.708026781087975e-05,0.0,20,9.41605356217595e-05,0.000663416847186537,0.0015137195589058029,1.806795134933752e-05,4.122568105232423e-05,0.0,0.0,3.613590269867504e-05,8.245136210464846e-05,0.9557550000000001,0.0008366450281677924,0.0019089746490004186,1,1,40,24,32,0.9941466666666667,0.00016833887849126468,191160,0.0,18,3512,0,0,154.2766707430128
4,x,7,0.00075,m2,val,200000,0.9598182603252303,186821,0.00010166312030519551,0.0,20,0.00020332624061039102,0.0007190360098868591,0.0016406259146706406,2.833279893194586e-05,6.46470044945555e-05,0.0,0.0,5.666559786389172e-05,0.000129294008989111,0.93401,0.0009090259402239323,0.002074126322093238,1,1,40,24,32,0.99107,0.00017271923334490218,186821,0.0,38,5358,0,0,151.17335496714804
4,x,7,0.001,m2,val,1800000,0.9471726444212857,1643981,0.00018064822232856116,2.430042078029121e-06,18,0.000356436360501064,0.0003904671251339092,0.0008452100571814388,1.856198856165281e-05,4.01795142375056e-05,3.2673126189145392e-06,7.072466048237291e-06,3.437362340893575e-05,7.440557818289118e-05,0.9131577777777777,0.00041196754347553634,0.0008917501335315782,1,1,40,24,32,0.9880874074074073,7.085126289663375e-05,1643981,4.0,586,64328,0,0,432.0786383834202
4,x,7,0.0025,m2,val,1800000,0.8749170110995985,1437871,0.0011207659070358342,2.1557862375217742e-05,18,0.002198416089321233,0.0003401476664785319,0.0007362879231788264,3.6445090275214395e-05,7.888950145273468e-05,8.829006295014717e-06,1.9111378231664146e-05,7.410416701785105e-05,0.00016040681330358052,0.7979219444444444,0.0004144353293518257,0.0008970919339223147,1,1,40,24,32,0.9710068518518518,0.00010011714956757941,1437871,31.0,3161,156563,0,0,464.3430200556759
