n,lstate,i,meas_type,p_error,sim_type,decoder_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,9,"['z', 'z', 'z', 'x']",0.05,m1,anqi,0,1000000,1000000,15689,0,0,1.0,0.015688999999999953,0,24.182926873094402
4,x,9,"['z', 'z', 'z', 'x']",0.05,m1,val,0,1000000,1000000,46218,61057,0,1.0,0.04621799999999998,0,25.228302111965604
4,x,6,"['x', 'x', 'z', 'x']",0.05,normal,val,0,1000000,5198,1722,2415,0,0.005198,0.3312812620238553,0,207.67850364896003
4,x,4,"['x', 'z', 'x', 'x']",0.05,normal,val,0,1000000,3118,862,1132,0,0.003118,0.276459268762027,0,210.77679971407633
4,x,8,"['x', 'z', 'z', 'x']",0.05,m1,anqi,0,1000000,22330,489,0,0,0.02233,0.021898790864308126,0,212.43574609200004
4,x,10,"['x', 'x', 'x', 'z']",0.05,m1,anqi,0,1000000,11834,813,0,0,0.011834,0.0687003549095826,0,212.62799709301908
4,x,8,"['x', 'z', 'z', 'x']",0.05,normal,anqi,0,1000000,13691,6753,0,0,0.013691,0.4932437367613761,0,214.3585031980183
4,x,6,"['x', 'x', 'z', 'x']",0.05,m1,val,0,1000000,9896,2661,4112,0,0.009896,0.26889652384801943,0,214.83814401295967
4,x,10,"['x', 'x', 'x', 'z']",0.05,m1,val,0,1000000,11834,2836,4047,0,0.011834,0.23964847050870375,0,217.37863603199366
4,x,8,"['x', 'z', 'z', 'x']",0.05,normal,val,0,1000000,13691,6784,12765,0,0.013691,0.4955079979548609,0,215.64504283096176
4,x,10,"['x', 'x', 'x', 'z']",0.05,normal,val,0,1000000,5665,1520,2080,0,0.005665,0.2683142100617829,0,219.42276190104894
4,x,10,"['x', 'x', 'x', 'z']",0.05,normal,anqi,0,1000000,5665,1524,0,0,0.005665,0.2690203000882613,0,217.04128023795784
4,x,6,"['x', 'x', 'z', 'x']",0.05,normal,anqi,0,1000000,5198,1708,0,0,0.005198,0.32858791843016544,0,224.1446891820524
4,x,4,"['x', 'z', 'x', 'x']",0.05,m1,val,0,1000000,6166,1196,1833,0,0.006166,0.19396691534219912,0,225.2139609620208
4,x,8,"['x', 'z', 'z', 'x']",0.05,m1,val,0,1000000,22330,10876,20774,0,0.02233,0.4870577698163905,0,229.51219431008212
4,x,4,"['x', 'z', 'x', 'x']",0.05,normal,anqi,0,1000000,3118,881,0,0,0.003118,0.28255291853752407,0,230.50959909090307
4,x,6,"['x', 'x', 'z', 'x']",0.05,m1,anqi,0,1000000,9896,605,0,0,0.009896,0.061135812449474525,0,232.4777201609686
4,x,4,"['x', 'z', 'x', 'x']",0.05,m1,anqi,0,1000000,6166,279,0,0,0.006166,0.04524813493350632,0,236.9376348130172
4,x,7,"['z', 'x', 'z', 'x']",0.05,normal,val,0,1000000,43813,16760,24283,0,0.043813,0.382534864081437,0,320.33129001106136
4,x,11,"['z', 'x', 'x', 'z']",0.05,normal,val,0,1000000,34031,12016,15430,0,0.034031,0.3530898298610091,0,327.2224197280593
4,x,11,"['z', 'x', 'x', 'z']",0.05,m1,anqi,0,1000000,56885,5079,0,0,0.056885,0.08928540036916588,0,330.3470850789454
4,x,7,"['z', 'x', 'z', 'x']",0.05,normal,anqi,0,1000000,43813,16829,0,0,0.043813,0.3841097391185264,0,334.725654165959
4,x,11,"['z', 'x', 'x', 'z']",0.05,m1,val,0,1000000,56885,16882,23605,0,0.056885,0.2967741935483871,0,337.0060325289378
4,x,7,"['z', 'x', 'z', 'x']",0.05,m1,val,0,1000000,66109,21218,34001,0,0.066109,0.320954786791511,0,340.3623604759341
4,x,11,"['z', 'x', 'x', 'z']",0.05,normal,anqi,0,1000000,34031,12049,0,0,0.034031,0.35405953395433576,0,342.6008290949976
4,x,7,"['z', 'x', 'z', 'x']",0.05,m1,anqi,0,1000000,66109,4218,0,0,0.066109,0.06380371810192254,0,356.9975200879853
4,z,8,"['z', 'z', 'z', 'x']",0.05,m1,val,0,1000000,1000000,13530,20407,0,1.0,0.013530000000000042,0,20.89358389901463
