n,lstate,i,meas_type,p_error,sim_type,decoder_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,4,"['x', 'z', 'x']",0.01,normal,anqi,0,1000000,600109,63239,0,0,0.600109,0.10537918944725044,0,48.19821205799235
3,x,5,"['z', 'z', 'x']",0.1,m1,val,0,1000000,1000000,286888,313503,0,1.0,0.28688800000000003,0,0.10425535403192043
3,x,4,"['x', 'z', 'x']",0.1,m1,val,0,1000000,161244,78924,142236,0,0.161244,0.48946937560467363,0,4.942656186991371
3,x,3,"['z', 'x', 'x']",0.05,m1,val,0,1000000,429346,50848,81621,0,0.429346,0.11843128851788531,0,1.2909075389616191
3,x,2,"['x', 'x', 'x']",0.05,m1,val,0,1000000,153910,11915,19846,0,0.15391,0.07741537262036258,0,4.295588061970193
3,x,3,"['z', 'x', 'x']",0.05,m1,anqi,0,1000000,429346,10038,0,0,0.429346,0.023379745007523045,0,0.5068783590104431
3,x,5,"['z', 'z', 'x']",0.05,m1,val,0,1000000,1000000,124400,177619,0,1.0,0.12439999999999996,0,0.03870391601230949
3,x,5,"['z', 'z', 'x']",0.05,m1,anqi,0,1000000,1000000,35590,0,0,1.0,0.03559000000000001,0,0.05334990401752293
3,x,4,"['x', 'z', 'x']",0.05,m1,anqi,0,1000000,257759,11370,0,0,0.257759,0.04411097187683066,0,4.654935634054709
3,x,4,"['x', 'z', 'x']",0.1,m1,anqi,0,1000000,161244,7806,0,0,0.161244,0.04841110366897372,0,13.721866954001598
3,x,2,"['x', 'x', 'x']",0.01,m1,val,0,1000000,667825,2033,3922,0,0.667825,0.0030442106839366767,0,2.9517059469944797
3,x,2,"['x', 'x', 'x']",0.05,m1,anqi,0,1000000,153910,1992,0,0,0.15391,0.012942628809044288,0,11.726653082994744
3,x,2,"['x', 'x', 'x']",0.1,normal,val,0,1000000,37686,13724,16835,0,0.037686,0.36416706469245874,0,114.69495269301115
3,x,2,"['x', 'x', 'x']",0.01,m1,anqi,0,1000000,667825,72,0,0,0.667825,0.00010781267547632645,0,1.0443195800180547
3,x,5,"['z', 'z', 'x']",0.01,m1,val,0,1000000,1000000,8064,15003,0,1.0,0.00806399999999996,0,0.034641644975636154
3,x,3,"['z', 'x', 'x']",0.01,m1,val,0,1000000,808056,4454,8498,0,0.808056,0.00551199421822246,0,1.0243846899829805
3,x,3,"['z', 'x', 'x']",0.01,m1,anqi,0,1000000,808056,205,0,0,0.808056,0.0002536952884453214,0,1.0660081329988316
3,x,5,"['z', 'z', 'x']",0.01,m1,anqi,0,1000000,1000000,562,0,0,1.0,0.0005619999999999514,0,0.03683261905098334
3,x,4,"['x', 'z', 'x']",0.01,m1,anqi,0,1000000,678265,2636,0,0,0.678265,0.003886386589312396,0,2.4257975540240295
3,x,3,"['z', 'x', 'x']",0.005,m1,val,0,1000000,896101,1288,2518,0,0.896101,0.001437337978642983,0,0.22320555296028033
3,x,4,"['x', 'z', 'x']",0.05,m1,val,0,1000000,257759,101562,180385,0,0.257759,0.3940192195034897,0,13.13498127902858
3,x,3,"['z', 'x', 'x']",0.005,m1,anqi,0,1000000,896101,29,0,0,0.896101,3.2362423432186205e-05,0,0.2370337420143187
3,x,2,"['x', 'x', 'x']",0.005,m1,val,0,1000000,816185,630,1243,0,0.816185,0.0007718838253581994,0,1.5268787000095472
3,x,5,"['z', 'z', 'x']",0.005,m1,val,0,1000000,1000000,2186,4221,0,1.0,0.0021860000000000213,0,0.03277118597179651
3,x,2,"['x', 'x', 'x']",0.005,m1,anqi,0,1000000,816185,8,0,0,0.816185,9.801699369593742e-06,0,1.5208741659880616
3,x,4,"['x', 'z', 'x']",0.01,m1,val,0,1000000,678265,63622,121973,0,0.678265,0.09380109544204696,0,6.733679130033124
3,x,4,"['x', 'z', 'x']",0.005,m1,val,0,1000000,817588,38123,74496,0,0.817588,0.04662861979383259,0,1.6656525460421108
3,x,2,"['x', 'x', 'x']",0.0001,m1,val,0,1000000,996049,0,0,0,0.996049,0.0,0,0.043273388990201056
3,x,3,"['z', 'x', 'x']",0.0001,m1,anqi,0,1000000,997851,0,0,0,0.997851,0.0,0,0.03980225004488602
3,x,5,"['z', 'z', 'x']",0.005,m1,anqi,0,1000000,1000000,75,0,0,1.0,7.500000000004725e-05,0,0.09742691298015416
3,x,4,"['x', 'z', 'x']",0.0001,m1,val,0,1000000,995884,922,1844,0,0.995884,0.0009258106365801488,0,0.3776050910237245
3,x,3,"['z', 'x', 'x']",0.0001,m1,val,0,1000000,997851,0,0,0,0.997851,0.0,0,0.09860768297221512
3,x,2,"['x', 'x', 'x']",0.0001,m1,anqi,0,1000000,996049,0,0,0,0.996049,0.0,0,0.12986098503461108
3,x,4,"['x', 'z', 'x']",0.0001,m1,anqi,0,1000000,995884,0,0,0,0.995884,0.0,0,0.334934432990849
3,x,4,"['x', 'z', 'x']",0.005,m1,anqi,0,1000000,817588,875,0,0,0.817588,0.0010702211871994605,0,4.467169736046344
3,x,5,"['z', 'z', 'x']",0.0001,m1,val,0,1000000,1000000,2,4,0,1.0,1.999999999946489e-06,0,0.011903468985110521
3,x,5,"['z', 'z', 'x']",0.0001,m1,anqi,0,1000000,1000000,0,0,0,1.0,0.0,0,0.02927311696112156
3,x,4,"['x', 'z', 'x']",0.1,normal,anqi,0,1000000,142423,70295,0,0,0.142423,0.49356494386440397,0,133.36794529104372
3,x,4,"['x', 'z', 'x']",0.1,normal,val,0,1000000,142423,70630,125772,0,0.142423,0.49591709204271783,0,134.44435054599307
3,x,4,"['x', 'z', 'x']",0.05,normal,anqi,0,1000000,209147,90667,0,0,0.209147,0.433508489244407,0,109.60291253001196
3,x,4,"['x', 'z', 'x']",0.05,normal,val,0,1000000,209147,90670,151577,0,0.209147,0.4335228332225659,0,110.94162031100132
