n,lstate,i,meas_type,p_error,sim_type,decoder_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,5,"['z', 'z', 'x']",0.1,normal,anqi,0,1000000,1000000,375328,0,0,1.0,0.375328,0,0.6296020050067455
3,x,5,"['z', 'z', 'x']",0.1,normal,val,0,1000000,1000000,375604,354384,0,1.0,0.37560400000000005,0,1.768074870982673
3,x,3,"['z', 'x', 'x']",0.05,normal,val,0,1000000,349693,58635,83512,0,0.349693,0.16767564692458814,0,7.633220480987802
3,x,3,"['z', 'x', 'x']",0.1,normal,anqi,0,1000000,264447,102137,0,0,0.264447,0.38622862047971807,0,21.415518558002077
3,x,3,"['z', 'x', 'x']",0.1,normal,val,0,1000000,264447,102058,124377,0,0.264447,0.3859298838708701,0,21.727671719971113
3,x,3,"['z', 'x', 'x']",0.05,normal,anqi,0,1000000,349693,58580,0,0,0.349693,0.16751836610970194,0,21.483030365023296
3,x,5,"['z', 'z', 'x']",0.05,normal,val,0,1000000,1000000,197966,249761,0,1.0,0.19796599999999998,0,1.7606394980102777
3,x,5,"['z', 'z', 'x']",0.05,normal,anqi,0,1000000,1000000,197953,0,0,1.0,0.19795300000000005,0,1.8010912499739788
3,x,2,"['x', 'x', 'x']",0.01,normal,val,0,1000000,605879,1897,3666,0,0.605879,0.003130988200614304,0,17.305141382967122
3,x,4,"['x', 'z', 'x']",0.1,normal,val,0,1000000,143062,71102,126381,0,0.143062,0.4970013001356055,0,53.103000482020434
3,x,2,"['x', 'x', 'x']",0.01,normal,anqi,0,1000000,605879,1918,0,0,0.605879,0.003165648586598957,0,17.155022763006855
3,x,2,"['x', 'x', 'x']",0.05,normal,anqi,0,1000000,106396,10316,0,0,0.106396,0.09695853227564943,0,58.55075036600465
3,x,3,"['z', 'x', 'x']",0.01,normal,anqi,0,1000000,740080,5667,0,0,0.74008,0.0076572802940222395,0,3.2239674470038153
3,x,4,"['x', 'z', 'x']",0.05,normal,val,0,1000000,209244,90889,151708,0,0.209244,0.4343684884632295,0,48.17661704996135
3,x,5,"['z', 'z', 'x']",0.01,normal,val,0,1000000,1000000,15938,28920,0,1.0,0.015938000000000008,0,0.5276391539955512
3,x,3,"['z', 'x', 'x']",0.01,normal,val,0,1000000,740080,5526,10228,0,0.74008,0.007466760350232415,0,8.981955593975727
3,x,5,"['z', 'z', 'x']",0.01,normal,anqi,0,1000000,1000000,15906,0,0,1.0,0.015905999999999976,0,0.5249113659956492
3,x,2,"['x', 'x', 'x']",0.005,normal,val,0,1000000,776618,612,1204,0,0.776618,0.0007880322114605098,0,2.8788189769838937
3,x,3,"['z', 'x', 'x']",0.005,normal,val,0,1000000,854732,1560,2996,0,0.854732,0.0018251334921355333,0,2.005314413981978
3,x,3,"['z', 'x', 'x']",0.005,normal,anqi,0,1000000,854732,1553,0,0,0.854732,0.0018169437905682928,0,2.0223739049979486
3,x,2,"['x', 'x', 'x']",0.005,normal,anqi,0,1000000,776618,598,0,0,0.776618,0.0007700053308061783,0,8.356660015007947
3,x,5,"['z', 'z', 'x']",0.005,normal,val,0,1000000,1000000,4472,8498,0,1.0,0.0044720000000000315,0,1.2909990180050954
3,x,2,"['x', 'x', 'x']",0.05,normal,val,0,1000000,106396,10264,15433,0,0.106396,0.09646979209744733,0,83.72599114000332
3,x,4,"['x', 'z', 'x']",0.005,normal,anqi,0,1000000,763353,37488,0,0,0.763353,0.04910965176006388,0,10.571613449952565
3,x,5,"['z', 'z', 'x']",0.005,normal,anqi,0,1000000,1000000,4496,0,0,1.0,0.0044960000000000555,0,1.3249642529990524
3,x,2,"['x', 'x', 'x']",0.0001,normal,anqi,0,1000000,994895,0,0,0,0.994895,0.0,0,0.42135657399194315
3,x,2,"['x', 'x', 'x']",0.0001,normal,val,0,1000000,994895,0,0,0,0.994895,0.0,0,1.2516868489910848
3,x,3,"['z', 'x', 'x']",0.0001,normal,val,0,1000000,996800,1,2,0,0.9968,1.0032102728541048e-06,0,1.2141019639675505
3,x,3,"['z', 'x', 'x']",0.0001,normal,anqi,0,1000000,996800,1,0,0,0.9968,1.0032102728541048e-06,0,0.43496394105022773
3,x,5,"['z', 'z', 'x']",0.0001,normal,val,0,1000000,1000000,2,3,0,1.0,1.999999999946489e-06,0,0.5367655250011012
3,x,5,"['z', 'z', 'x']",0.0001,normal,anqi,0,1000000,1000000,0,0,0,1.0,0.0,0,0.22991128399735317
3,x,4,"['x', 'z', 'x']",0.1,normal,anqi,0,1000000,143062,70970,0,0,0.143062,0.49607862325425345,0,98.07942552602617
3,x,4,"['x', 'z', 'x']",0.0001,normal,val,0,1000000,994342,884,1763,0,0.994342,0.0008890301324896432,0,3.6745075919898227
3,x,4,"['x', 'z', 'x']",0.0001,normal,anqi,0,1000000,994342,894,0,0,0.994342,0.0008990870344408597,0,3.5161841770168394
3,x,4,"['x', 'z', 'x']",0.005,normal,val,0,1000000,763353,37520,71157,0,0.763353,0.04915157207740062,0,30.06892427999992
3,x,4,"['x', 'z', 'x']",0.01,normal,anqi,0,1000000,600676,63048,0,0,0.600676,0.10496174310277084,0,43.92797079804586
