n,lstate,i,meas_type,p_error,sim_type,decoder_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,z,4,"['z', 'z', 'x']",0.1,normal,val,0,1000000,1000000,263320,299543,0,1.0,0.26332,0,1.7289323789882474
3,z,4,"['z', 'z', 'x']",0.1,normal,anqi,0,1000000,1000000,113548,0,0,1.0,0.11354799999999998,0,1.7553439179901034
3,z,4,"['z', 'z', 'x']",0.05,normal,val,0,1000000,1000000,110139,160792,0,1.0,0.11013899999999999,0,1.6559369000024162
3,z,4,"['z', 'z', 'x']",0.05,normal,anqi,0,1000000,1000000,29743,0,0,1.0,0.029742999999999964,0,1.6802909999969415
3,z,6,"['z', 'x', 'z']",0.1,normal,val,0,1000000,285032,76846,97783,0,0.285032,0.2696048163013276,0,8.008940383966547
3,z,6,"['z', 'x', 'z']",0.1,normal,anqi,0,1000000,285032,27955,0,0,0.285032,0.098076707176738,0,21.50851924199378
3,z,6,"['z', 'x', 'z']",0.05,normal,val,0,1000000,408908,34710,52732,0,0.408908,0.08488461952321791,0,19.284084086015355
3,z,6,"['z', 'x', 'z']",0.05,normal,anqi,0,1000000,408908,8344,0,0,0.408908,0.020405568000626095,0,19.314990309998393
3,z,7,"['x', 'z', 'z']",0.05,normal,val,0,1000000,164560,6146,9901,0,0.16456,0.03734807972775889,0,21.867003701045178
3,z,4,"['z', 'z', 'x']",0.01,normal,val,0,1000000,1000000,6764,12700,0,1.0,0.006763999999999992,0,0.49628249800298363
3,z,4,"['z', 'z', 'x']",0.01,normal,anqi,0,1000000,1000000,414,0,0,1.0,0.00041400000000002546,0,0.4785119619918987
3,z,6,"['z', 'x', 'z']",0.01,normal,val,0,1000000,793130,2458,4613,0,0.79313,0.003099113638369455,0,2.370420833991375
3,z,3,"['x', 'z', 'x']",0.05,normal,val,0,1000000,209189,69092,109184,0,0.209189,0.3302850532293763,0,47.0440357120242
3,z,6,"['z', 'x', 'z']",0.01,normal,anqi,0,1000000,793130,151,0,0,0.79313,0.00019038493059142514,0,2.4335171610000543
3,z,7,"['x', 'z', 'z']",0.01,normal,val,0,1000000,680146,748,1458,0,0.680146,0.0010997638742270555,0,4.029272640007548
3,z,7,"['x', 'z', 'z']",0.01,normal,anqi,0,1000000,680146,19,0,0,0.680146,2.7935178623428314e-05,0,3.971617402974516
3,z,3,"['x', 'z', 'x']",0.005,normal,anqi,0,1000000,762553,657,0,0,0.762553,0.0008615794574279301,0,15.595996927004308
3,z,4,"['z', 'z', 'x']",0.005,normal,val,0,1000000,1000000,1770,3441,0,1.0,0.0017700000000000493,0,0.451183031022083
3,z,4,"['z', 'z', 'x']",0.005,normal,anqi,0,1000000,1000000,50,0,0,1.0,4.999999999999449e-05,0,0.43491478101350367
3,z,3,"['x', 'z', 'x']",0.005,normal,val,0,1000000,762553,22550,43786,0,0.762553,0.029571715015218603,0,22.553102211968508
3,z,6,"['z', 'x', 'z']",0.005,normal,val,0,1000000,887232,694,1347,0,0.887232,0.0007822080357786643,0,1.5346426609903574
3,z,7,"['x', 'z', 'z']",0.1,normal,val,0,1000000,50551,11118,14107,0,0.050551,0.2199363019524836,0,80.61905732401647
3,z,7,"['x', 'z', 'z']",0.005,normal,val,0,1000000,823423,214,424,0,0.823423,0.00025989072445142813,0,2.114593052014243
3,z,7,"['x', 'z', 'z']",0.05,normal,anqi,0,1000000,164560,1196,0,0,0.16456,0.007267865824015507,0,58.40656868094811
3,z,6,"['z', 'x', 'z']",0.005,normal,anqi,0,1000000,887232,20,0,0,0.887232,2.254201832219138e-05,0,4.15111156803323
3,z,7,"['x', 'z', 'z']",0.005,normal,anqi,0,1000000,823423,2,0,0,0.823423,2.4288852752407664e-06,0,2.0712972700130194
3,z,4,"['z', 'z', 'x']",0.0001,normal,anqi,0,1000000,1000000,0,0,0,1.0,0.0,0,0.16973390197381377
3,z,3,"['x', 'z', 'x']",0.0001,normal,val,0,1000000,994272,562,1124,0,0.994272,0.0005652376814392346,0,2.8239525519893505
3,z,4,"['z', 'z', 'x']",0.0001,normal,val,0,1000000,1000000,0,1,0,1.0,0.0,0,0.4666244280524552
3,z,6,"['z', 'x', 'z']",0.0001,normal,val,0,1000000,997520,0,0,0,0.99752,0.0,0,0.30262852198211476
3,z,6,"['z', 'x', 'z']",0.0001,normal,anqi,0,1000000,997520,0,0,0,0.99752,0.0,0,0.31903388700447977
3,z,7,"['x', 'z', 'z']",0.0001,normal,anqi,0,1000000,996068,0,0,0,0.996068,0.0,0,0.35177141800522804
3,z,7,"['x', 'z', 'z']",0.0001,normal,val,0,1000000,996068,0,1,0,0.996068,0.0,0,0.9024767919909209
3,z,3,"['x', 'z', 'x']",0.0001,normal,anqi,0,1000000,994272,0,0,0,0.994272,0.0,0,7.394906253030058
3,z,3,"['x', 'z', 'x']",0.01,normal,anqi,0,1000000,600632,2227,0,0,0.600632,0.0037077611582466696,0,64.09281184501015
3,z,3,"['x', 'z', 'x']",0.01,normal,val,0,1000000,600632,37764,71073,0,0.600632,0.06287377295914964,0,64.4252912219963
3,z,4,"['z', 'z', 'x']",0.1,m1,val,0,1000000,1000000,181440,234891,0,1.0,0.18144000000000005,0,0.10452162096044049
3,z,3,"['x', 'z', 'x']",0.1,m1,val,0,1000000,160262,71915,111058,0,0.160262,0.4487339481598882,0,5.0192197560099885
3,z,4,"['z', 'z', 'x']",0.1,m1,anqi,0,1000000,1000000,63995,0,0,1.0,0.06399500000000002,0,0.10274393297731876
3,z,3,"['x', 'z', 'x']",0.1,m1,anqi,0,1000000,160262,16386,0,0,0.160262,0.10224507369182967,0,4.966525352967437
3,z,7,"['x', 'z', 'z']",0.1,normal,anqi,0,1000000,50551,4065,0,0,0.050551,0.08041383948883307,0,102.02628882497083
3,z,6,"['z', 'x', 'z']",0.1,m1,val,0,1000000,320634,65126,94042,0,0.320634,0.2031163257795493,0,1.3816112529602833
3,z,6,"['z', 'x', 'z']",0.1,m1,anqi,0,1000000,320634,18105,0,0,0.320634,0.05646625123973126,0,1.390080222976394
3,z,4,"['z', 'z', 'x']",0.05,m1,val,0,1000000,1000000,64838,103409,0,1.0,0.06483799999999995,0,0.10174431197810918
3,z,7,"['x', 'z', 'z']",0.1,m1,anqi,0,1000000,65704,2951,0,0,0.065704,0.04491355168635092,0,4.726507340034004
3,z,4,"['z', 'z', 'x']",0.05,m1,anqi,0,1000000,1000000,13134,0,0,1.0,0.013133999999999979,0,0.11057988496031612
3,z,6,"['z', 'x', 'z']",0.05,m1,anqi,0,1000000,477091,4575,0,0,0.477091,0.009589365550806916,0,0.4834379559615627
3,z,6,"['z', 'x', 'z']",0.05,m1,val,0,1000000,477091,27450,45751,0,0.477091,0.057536193304841166,0,1.36023271700833
3,z,3,"['x', 'z', 'x']",0.05,m1,anqi,0,1000000,256570,12470,0,0,0.25657,0.04860272050512526,0,7.049828997987788
3,z,7,"['x', 'z', 'z']",0.05,m1,val,0,1000000,211651,6670,11531,0,0.211651,0.031514143566531705,0,3.795130192011129
3,z,4,"['z', 'z', 'x']",0.01,m1,val,0,1000000,1000000,3442,6609,0,1.0,0.003441999999999945,0,0.0956559669575654
3,z,3,"['x', 'z', 'x']",0.01,m1,val,0,1000000,678530,40052,77007,0,0.67853,0.05902760379054717,0,3.7167466500541195
3,z,4,"['z', 'z', 'x']",0.01,m1,anqi,0,1000000,1000000,138,0,0,1.0,0.00013799999999997148,0,0.043211427982896566
3,z,7,"['x', 'z', 'z']",0.1,m1,val,0,1000000,65704,10800,15699,0,0.065704,0.16437355412151466,0,13.56440415699035
3,z,6,"['z', 'x', 'z']",0.01,m1,anqi,0,1000000,837125,62,0,0,0.837125,7.406301328949372e-05,0,0.2766157060395926
3,z,3,"['x', 'z', 'x']",0.05,m1,val,0,1000000,256570,76050,127160,0,0.25657,0.29641033636044745,0,14.05505606502993
3,z,7,"['x', 'z', 'z']",0.01,m1,val,0,1000000,721499,780,1523,0,0.721499,0.001081082579463044,0,0.7999242420191877
3,z,6,"['z', 'x', 'z']",0.01,m1,val,0,1000000,837125,1761,3398,0,0.837125,0.002103628490368825,0,0.7939301099977456
3,z,4,"['z', 'z', 'x']",0.005,m1,val,0,1000000,1000000,897,1762,0,1.0,0.0008970000000000367,0,0.029438646975904703
3,z,7,"['x', 'z', 'z']",0.05,m1,anqi,0,1000000,211651,904,0,0,0.211651,0.004271182276483487,0,10.722909578995313
3,z,4,"['z', 'z', 'x']",0.005,m1,anqi,0,1000000,1000000,16,0,0,1.0,1.6000000000016e-05,0,0.08520470396615565
3,z,6,"['z', 'x', 'z']",0.005,m1,val,0,1000000,913402,456,905,0,0.913402,0.0004992325394513886,0,0.2246195679763332
3,z,3,"['x', 'z', 'x']",0.005,m1,val,0,1000000,817017,23495,46098,0,0.817017,0.028757051566858483,0,2.917533567000646
