n,lstate,i,p_error,sim_type,N_samples,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,detect_normal,decoding_normal
3,x,2.0,0.0001,m1,2051,0.0,205100000.0,204264556.0,0.0,139.0,0.0,0.995926650414432,8.756578631696725e-06,0.00020233043288586948,3.4024208131379777e-07,5.7502032268942494e-08,1.3286480451027504e-06,0.0,124.75078783221298
3,x,2.0,0.0001,normal,2051,0.0,205100000.0,204057427.0,0.0,108.0,0.0,0.994916757679181,9.615242807132553e-06,0.0002221708182266285,2.6463130020704673e-07,5.045348215763591e-08,1.1657835000307594e-06,0.0,371.88815388105644
3,x,2.0,0.0005,m1,2051,0.0,205100000.0,200961138.0,6.0,3201.0,0.0,0.9798202730375427,1.889170384144837e-05,0.00043651370894516237,7.994048127654853e-06,2.851582990648101e-07,6.588897846692631e-06,0.0,183.02476667404508
3,x,2.0,0.0005,normal,2051,0.0,205100000.0,199946821.0,4.0,3099.0,0.0,0.9748747976596782,2.112158067301458e-05,0.00048803747908294517,7.769486845400775e-06,2.6826060728470733e-07,6.19845799153453e-06,0.0,1262.1875000540563
3,x,2.0,0.001,m1,2051,0.0,205100000.0,196907296.0,14.0,12288.0,0.0,0.9600550755728913,2.623227950871916e-05,0.0006061258274287708,3.127350446545771e-05,5.546050981749874e-07,1.2814764112123574e-05,0.0,284.8370624606659
3,x,2.0,0.001,normal,2051,0.0,205100000.0,194927298.0,17.0,12248.0,0.0,0.9504012579229644,2.954007427516974e-05,0.0006825560834845973,3.150420337148482e-05,5.599803283629138e-07,1.2938964749898652e-05,0.0,2000.3598410139903
3,x,2.0,0.005,m1,2051,0.0,205100000.0,167428358.0,2065.0,256624.0,0.0,0.8163254900048756,5.323517974336894e-05,0.0012300576989332462,0.0007787065786139821,3.0519029802406956e-06,7.05175933534815e-05,0.0,1031.1828381949563
3,x,2.0,0.005,normal,2040,0.0,204000000.0,158408133.0,2056.0,244263.0,0.0,0.7765104558823529,5.608159384966125e-05,0.0012923476582764118,0.0007839754739429474,3.107244674740078e-06,7.160353519653839e-05,0.0,4629.518747857931
3,x,2.0,0.01,m1,2051,0.0,205100000.0,136995736.0,13521.0,819106.0,0.0,0.6679460555826426,6.418092472317927e-05,0.0014829712412163963,0.0030882465494758453,6.717784323977703e-06,0.0001552218357731972,0.0,1607.188691012017
3,x,2.0,0.01,normal,2051,0.0,205100000.0,124156027.0,13507.0,750485.0,0.0,0.6053438664066308,6.821886289442093e-05,0.0015762722680805145,0.003131138149311923,7.1822668307547275e-06,0.00016595421774758245,0.0,8143.425452185062
3,x,3.0,0.0001,m1,2051,0.0,205100000.0,204640826.0,0.0,231.0,0.0,0.9977612189176012,6.6180863311219785e-06,0.00015291820339566865,5.64408740958862e-07,7.2484544773999e-08,1.6748355651797158e-06,0.0,117.03267752215916
3,x,3.0,0.0001,normal,2051,0.0,205100000.0,204433637.0,0.0,281.0,0.0,0.9967510336421258,7.813536129415895e-06,0.00018054039299225387,6.872647154812934e-07,8.001857372388314e-08,1.8489176356914676e-06,0.0,342.93041964596017
3,x,3.0,0.0005,m1,2051,0.0,205100000.0,202822012.0,8.0,5475.0,0.0,0.9888932813261824,1.4461897999581775e-05,0.00033415814619821394,1.3536496446366032e-05,3.5450132063969477e-07,8.191145044253858e-06,0.0,125.57921084306953
3,x,3.0,0.0005,normal,2051,0.0,205100000.0,201805218.0,12.0,7315.0,0.0,0.9839357289127254,1.7181821995188496e-05,0.0003970049979875341,1.8183246792370924e-05,4.306333315204152e-07,9.950259347437265e-06,0.0,1255.3906699127265
3,x,3.0,0.001,m1,2051,0.0,205100000.0,200579238.0,45.0,22154.0,0.0,0.9779582545099952,1.988437358603517e-05,0.0004594504411533256,5.5449335691848915e-05,7.288951059776225e-07,1.6841927483756057e-05,0.0,183.98719854107313
3,x,3.0,0.001,normal,2051,0.0,205100000.0,198580524.0,115.0,28466.0,0.0,0.9682131838127742,2.3884558812041298e-05,0.0005518791444680875,7.225293581657106e-05,8.359804075188749e-07,1.931625179783547e-05,0.0,1921.0122231220107
