n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,2,0.001,m1,33579900000,0.8884306944911068,6.303491315661661e-06,0.0002046187086017,1.6822237257141066e-09,4048,3.0025222941341364e-10,9.746538919586482e-09,0.8884306929965415,6.303487836913702e-06,0.0002046185956775,0,2,56,56,48,1.0,0.0,29833489399,0.0,121,0,0,5.826127861626446,139979.5391090476,"['x', 'x', 'x', 'x']"
4,x,2,0.001,m2,1052400000,0.9239384279237312,1.692919418445736e-05,0.0002806804565593,0.0,1056,0.0,0.0,0.8766877651515151,2.0883503252220244e-05,0.0003462415968252,0,2,56,56,48,0.9763966966783216,6.467003459897256e-06,922630858,0.0,0,53818652,0,0.0,1688.6169216330163,"['x', 'x', 'x', 'x']"
4,x,2,0.001,normal,45480000000,0.8706544436915442,5.626735188482899e-06,0.0002077899814284,1.5784818288750236e-09,5239,3.2873717206772116e-10,1.2139951248923638e-08,0.8706544423172361,5.626735663733818e-06,0.0002077899989789,0,2,64,64,64,1.0,0.0,39597338635,0.0,135,0,0,72.08889524219558,1630492.9273209618,"['x', 'x', 'x', 'x']"
4,x,2,0.005,m1,757900000,0.554681474,0.0001126849085435,0.0009090330839937,4.915405828799174e-07,250,2.4907418234166744e-07,2.009290108530001e-06,0.5546812012000001,0.0001126732803068,0.0009089392786029,0,2,56,56,48,1.0,0.0,420388784,2.0,124,0,0,44.33491790527478,19366.308917354498,"['x', 'x', 'x', 'x']"
4,x,2,0.005,m2,1052400000,0.6712280334238675,3.411334331132829e-05,0.0005655879819831,5.852193586530033e-07,1056,4.49993094706636e-08,7.460737108607547e-07,0.5194879138257577,2.919696746822116e-05,0.0004840760918586,0,2,56,56,48,0.8956632578671329,1.143900392627632e-05,546710582,0.0,642,237911557,0,0.0,7247.386611904018,"['x', 'x', 'x', 'x']"
4,x,2,0.005,normal,842000000,0.5019228465073529,0.0001106270710456,0.0009308716305592,6.127901174340098e-07,272,2.791432363217704e-07,2.3488511184314515e-06,0.5019225389705883,0.0001106294303598,0.0009308914830116,0,2,64,64,64,1.0,0.0,422581629,0.0,136,0,0,207.8804706661031,91225.16118353592,"['x', 'x', 'x', 'x']"
4,x,2,0.01,m1,616900000,0.2814812327361564,0.0012915537952512,0.0163282865804838,1.025556726310269e-05,614,6.044459331362531e-07,7.641622404691676e-06,0.2814783582247557,0.0012915583200907,0.0163283437851279,0,2,56,56,48,1.0,0.0,173717347,49.0,2863,0,0,98.79311243677512,28279.05241887121,"['x', 'x', 'x', 'x']"
4,x,2,0.01,m2,458400000,0.4469999047398149,6.401415152187168e-05,0.0007020061388193,1.0644466646139554e-05,462,4.328050140816674e-07,4.746322017457578e-06,0.2719709534632035,4.572527545185872e-05,0.0005014426232837,0,2,56,56,48,0.8192812217782217,2.0049039625492748e-05,124670477,46.0,2574,179495110,0,0.0,11239.16824135976,"['x', 'x', 'x', 'x']"
4,x,2,0.01,normal,649100000,0.2361033256329114,0.0008572249383152,0.0109950514213157,1.0537128851058772e-05,632,7.518523973220233e-07,9.643508255887171e-06,0.2361008357594936,0.0008572122483331,0.0109948886553958,0,2,64,64,64,1.0,0.0,153555956,15.0,2456,0,0,320.8766591362655,70847.93710400818,"['x', 'x', 'x', 'x']"
4,x,3,0.0,m2,200,1.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,1,1,40,40,32,1.0,0.0,200,0.0,0,0,0,0.0,0.048288728999978,"['z', 'x', 'x', 'x']"
4,x,3,0.0001,m1,769900000,0.991876606291834,9.278444876880838e-06,0.0001293836567886,0.0,747,0.0,0.0,0.991876606291834,9.278444876880838e-06,0.0001293836567886,1,1,40,40,32,1.0,0.0,763646708,0.0,0,0,0,1.5442187767475843,1485.479758820739,"['z', 'x', 'x', 'x']"
4,x,3,0.0001,m2,1052400000,0.9960618249137204,3.909785044233716e-06,6.482294663923676e-05,0.0,1056,0.0,0.0,0.9908251240530304,6.565651793706709e-06,0.0001088563414766,1,1,40,40,32,0.99824753125,1.5763541978627338e-06,1042744865,0.0,0,5532570,0,0.0,636.4922232872341,"['z', 'x', 'x', 'x']"
4,x,3,0.0001,normal,769900000,0.9898661299866132,1.0470364671243087e-05,0.0001460044314593,0.0,747,0.0,0.0,0.9898661299866132,1.0470364671243087e-05,0.0001460044314593,1,1,48,48,48,1.0,0.0,762099075,0.0,0,0,0,15.052663489244878,33612.674383452955,"['z', 'x', 'x', 'x']"
4,x,3,0.0005,m1,769900000,0.9600445298527442,2.064708203572842e-05,0.0002879140859535,6.969466134642711e-10,747,1.366015362389972e-09,1.9048457490527404e-08,0.9600445291834004,2.064702356935112e-05,0.0002879132706667,1,1,40,40,32,1.0,0.0,739140757,0.0,1,0,0,2.392997558694333,3157.668563956904,"['z', 'x', 'x', 'x']"
