n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2,0.01,m1,616900000,0.28159725563300375,0.0,,2.849456364308856e-07,1,0.0,,0.2815971753930945,0.0,,0,2,56,56,48,1.0,0.0,173717347,-1382.0,2863,0,0,98.79311243677512,28279.05241887121
4,x,2,0.01,m2,458400000,0.44699996834046185,0.0,,3.689726798751239e-07,1,0.0,,0.2719686540139616,0.0,,0,2,56,56,48,0.8192759665726943,0.0,124670477,-1241.0,2574,179495110,0,0.0,11239.16824135976
4,x,2,0.01,normal,649100000,0.23656748729009397,0.0,,9.768426045291268e-08,1,0.0,,0.23656746418117394,0.0,,0,2,64,64,64,1.0,0.0,153555956,-1213.0,2456,0,0,320.8766591362655,70847.93710400818
4,x,3,0.0,m2,200,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,1,1,40,40,32,1.0,0.0,200,0.0,0,0,0,0.0,0.048288728999978
4,x,3,0.0001,m1,769900000,0.9918777867255488,0.0,,0.0,1,0.0,,0.9918777867255488,0.0,,1,1,40,40,32,1.0,0.0,763646708,0.0,0,0,0,1.5442187767475843,1485.479758820739
4,x,3,0.0001,m2,1052400000,0.9960619989868249,0.0,,0.0,1,0.0,,0.9908256033827442,0.0,,1,1,40,40,32,0.9982476339794755,0.0,1042744865,0.0,0,5532570,0,0.0,636.4922232872341
4,x,3,0.0001,normal,769900000,0.989867612676971,0.0,,0.0,1,0.0,,0.989867612676971,0.0,,1,1,48,48,48,1.0,0.0,762099075,0.0,0,0,0,15.052663489244878,33612.674383452955
4,x,3,0.0005,m1,769900000,0.9600477425639693,0.0,,6.76461141216706e-10,1,0.0,,0.9600477419145343,0.0,,1,1,40,40,32,1.0,0.0,739140757,0.0,1,0,0,2.392997558694333,3157.668563956904
4,x,3,0.0005,m2,1052400000,0.9804003338127226,0.0,,0.0,1,0.0,,0.9549105055112125,0.0,,1,1,40,40,32,0.9913335306600786,0.0,1004947816,0.0,0,27361777,0,0.0,1243.1087059876882
4,x,3,0.0005,normal,770000000,0.9503685805194805,0.0,,0.0,1,0.0,,0.9503685805194805,0.0,,1,1,48,48,48,1.0,0.0,731783807,0.0,0,0,0,40.80304932920262,43510.401318905046
