n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,z,8,0.0001,m1,50000000,1.0,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,0.0,3,-1,8,8,0,1.0,0.0,50000000,0.0,0,0,0,0,1.822146640624851
4,z,8,0.0001,normal,50000000,1.0,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,0.0,3,-1,16,16,16,1.0,0.0,50000000,0.0,0,0,0,0,115.50365928886458
4,z,8,0.0005,m1,50000000,1.0,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,0.0,3,-1,8,8,0,1.0,0.0,50000000,0.0,0,0,0,0,3.2819998525083065
4,z,8,0.0005,normal,50000000,1.0,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,0.0,3,-1,16,16,16,1.0,0.0,50000000,0.0,0,0,0,0,212.5052313967608
4,z,8,0.001,m1,72360000000,1.0,0.0,0.0,5.327529021558871e-09,7236,3.7944664963272564e-10,1.6468116485175307e-08,0.999999994672471,3.794466497130606e-10,1.646811648866187e-08,3,-1,8,8,0,1.0,0.0,72360000000,2.0,767,0,0,0,8672.514187385852
4,z,8,0.001,normal,72350000000,1.0,0.0,0.0,2.270214236351071e-08,7235,7.814021123434394e-10,3.3910779839562213e-08,0.9999999772978576,7.814021126472746e-10,3.3910779852747856e-08,3,-1,16,16,16,1.0,0.0,72350000000,13.0,3259,0,0,0,432350.62982593925
4,z,8,0.005,m1,1340000000,1.0,0.0,0.0,3.105223880597015e-06,134,7.239806929442816e-08,4.2758583787204357e-07,0.9999968947761194,7.239806929372832e-08,4.2758583786791026e-07,3,-1,8,8,0,1.0,0.0,1340000000,126.0,8070,0,0,0,870.6465123927701
4,z,8,0.005,normal,1330000000,1.0,0.0,0.0,1.2534210526315789e-05,133,1.3902395429339417e-07,8.18011456656745e-07,0.9999874657894736,1.3902395429480337e-07,8.180114566650366e-07,3,-1,16,16,16,1.0,0.0,1330000000,677.0,31987,0,0,0,39031.13214058079
4,z,8,0.01,m1,50000000,1.0,0.0,0.0,4.4970000000000005e-05,5,1.269695806089001e-06,1.4485337414088764e-06,0.99995503,1.2696958061262125e-06,1.448533741451329e-06,3,-1,8,8,0,1.0,0.0,50000000,124.0,4249,0,0,0,19.58905713725835
4,z,8,0.01,normal,50000000,1.0,0.0,0.0,0.00017266,5,1.8700803619096188e-06,2.133483067661896e-06,0.9998273400000001,1.870080361921004e-06,2.133483067674885e-06,3,-1,16,16,16,1.0,0.0,50000000,625.0,16016,0,0,0,1004.9826563871466
4,z,12,0.0001,m1,50000000,0.99631702,1.576641835799932e-05,1.7987134290911784e-05,0.0,5,0.0,0.0,0.99631702,1.576641835799932e-05,1.7987134290911784e-05,2,0,24,8,16,1.0,0.0,49815851,0.0,0,0,0,0,6.305345539469272
4,z,12,0.0001,normal,50000000,0.9951051,1.7299706587097116e-05,1.9736387714056144e-05,0.0,5,0.0,0.0,0.9951051,1.7299706587097116e-05,1.9736387714056144e-05,2,0,32,16,32,1.0,0.0,49755255,0.0,0,0,0,0,165.41556297708303
4,z,12,0.0005,m1,50000000,0.9817872400000001,2.5974370801971365e-05,2.9632887135711077e-05,0.0,5,0.0,0.0,0.9817872400000001,2.5974370801971365e-05,2.9632887135711077e-05,2,0,24,8,16,1.0,0.0,49089362,0.0,0,0,0,0,8.885845001321286
4,z,12,0.0005,normal,50000000,0.9757919000000002,3.428700553857494e-05,3.911636486181906e-05,0.0,5,0.0,0.0,0.9757919000000002,3.428700553857494e-05,3.911636486181906e-05,2,0,32,16,32,1.0,0.0,48789595,0.0,0,0,0,0,469.6957120448351
4,z,12,0.001,m1,72360000000,0.9640023104477612,1.3541567220695893e-06,5.877087242649314e-05,1.533927235754195e-09,7236,2.04412607158314e-10,8.871578202047106e-09,0.9640023089690436,1.3541536637484506e-06,5.877073969429268e-05,2,0,24,8,16,1.0,0.0,69755207184,0.0,214,0,0,0,28072.07171861001
4,z,12,0.001,normal,72330000000,0.9523664581086686,1.535832550535713e-06,6.664184758816135e-05,3.4477866293197922e-09,7233,3.0838321848739675e-10,1.3381164136686183e-08,0.9523664548251071,1.5358308887318915e-06,6.664177548025026e-05,2,0,32,16,32,1.0,0.0,68884665915,1.0,473,0,0,0,642254.803973546
4,z,12,0.005,m1,1340000000,0.8348143828358209,1.9355740707857487e-05,0.00011431576406472229,1.0427686038982686e-06,134,4.300824291244401e-08,2.540083701173651e-07,0.8348135123134328,1.9350572084137284e-05,0.00011428523797023406,2,0,24,8,16,1.0,0.0,1118651273,20.0,2293,0,0,0,6566.793692488129
4,z,12,0.005,normal,1330000000,0.7875497007518797,2.1966463187600026e-05,0.00012924980188496382,2.359565000174525e-06,133,6.868823420640749e-08,4.0415885739938887e-07,0.787547842481203,2.1970686486823423e-05,0.00012927465161080557,2,0,32,16,32,1.0,0.0,1047441102,97.0,4749,0,0,0,60861.121462510426
4,z,12,0.01,m1,50000000,0.70191732,0.00011276241979240466,0.00012864512038937987,1.6868152539629306e-05,5,1.1235134657530967e-06,1.2817614709491357e-06,0.70190548,0.00011305247718399084,0.00012897603265721812,2,0,24,8,16,1.0,0.0,35095866,33.0,1118,0,0,0,204.24978500977159
4,z,12,0.01,normal,50000000,0.6285892399999999,6.295297879017501e-05,7.181996936782337e-05,3.7957985573355705e-05,5,2.3498416309038184e-06,2.680819195438729e-06,0.6285653800000001,6.278848298725083e-05,7.163230416509282e-05,2,0,32,16,32,1.0,0.0,31429462,59.0,2268,0,0,0,2272.3089438397437
4,z,14,0.0001,m1,50000000,0.99345436,3.1184985890039825e-05,3.557742261607186e-05,0.0,5,0.0,0.0,0.99345436,3.1184985890039825e-05,3.557742261607186e-05,1,1,40,8,32,1.0,0.0,49672718,0.0,0,0,0,0,9.511542164254934
4,z,14,0.0001,normal,50000000,0.9922455400000001,1.5289834248977576e-05,1.7443422829295054e-05,0.0,5,0.0,0.0,0.9922455400000001,1.5289834248977576e-05,1.7443422829295054e-05,1,1,48,16,48,1.0,0.0,49612277,0.0,0,0,0,0,156.8991584633477
4,z,14,0.0005,m1,50000000,0.9677379399999999,2.498624112906529e-05,2.850557840142402e-05,0.0,5,0.0,0.0,0.9677379399999999,2.498624112906529e-05,2.850557840142402e-05,1,1,40,8,32,1.0,0.0,48386897,0.0,0,0,0,0,16.570554735139012
4,z,14,0.0005,normal,50000000,0.96179814,5.0123971775582185e-05,5.7183983771674805e-05,0.0,5,0.0,0.0,0.96179814,5.0123971775582185e-05,5.7183983771674805e-05,1,1,48,16,48,1.0,0.0,48089907,0.0,0,0,0,0,685.3269266691059
4,z,14,0.001,m1,72360000000,0.9365433120508568,1.7848529971270735e-06,7.746324046885952e-05,3.9841560435138035e-10,7236,1.0587635097216579e-10,4.5950704335446935e-09,0.9365433116777224,1.784852760094559e-06,7.7463230181566e-05,1,1,40,8,32,1.0,0.0,67768274060,0.0,54,0,0,0,48607.157434982684
4,z,14,0.001,normal,72330000000,0.9251499614267938,1.9040173653088912e-06,8.261788371386462e-05,4.931490616874231e-10,7233,1.184409302114635e-10,5.139311845291473e-09,0.9251499609705516,1.9040159771057162e-06,8.261782347785493e-05,1,1,48,16,48,1.0,0.0,66916096710,0.0,66,0,0,0,772250.782799112
4,z,14,0.005,m1,1340000000,0.7211062798507463,2.457886051278145e-05,0.00014516371456754543,2.592399817528632e-07,134,2.1638267063851247e-08,1.2779645428069366e-07,0.7211060929104477,2.4578249025590697e-05,0.00014516010310020443,1,1,40,8,32,1.0,0.0,966282415,3.0,495,0,0,0,13943.535288678846
4,z,14,0.005,normal,1330000000,0.6786587353383459,2.631693822596432e-05,0.00015484782519949907,3.77239507486061e-07,133,3.00080222478422e-08,1.765660178140378e-07,0.6786584793233083,2.631832472919545e-05,0.00015485598332975453,1,1,48,16,48,1.0,0.0,902616118,8.0,665,0,0,0,72927.92475171658
4,z,14,0.01,m1,50000000,0.52127922,0.0001311826169728011,0.00014965982092729637,4.0094093819624735e-06,5,4.848383265824488e-07,5.53128294048775e-07,0.52127713,0.00013126548752141333,0.00014975436387629112,1,1,40,8,32,1.0,0.0,26063961,4.0,201,0,0,0,542.1526861563325
4,z,14,0.01,normal,50000000,0.46234824,0.00020116915811566359,0.00022950403700154455,7.029464888273643e-06,5,1.0778997599200908e-06,1.229723028628585e-06,0.46234498999999996,0.00020130223964219597,0.00022965586319535875,1,1,48,16,48,1.0,0.0,23117412,9.0,307,0,0,0,2739.1432089251466
