n,lstate,i,p_error,sim_type,shots,prep_rate,count_accept,LER,eff,N_samples,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
3,x,2,0.1,m1,112500000,0.9839473777777779,110694080,8.499088422975232e-06,0.9839390133333333,1125,0.0001109518296722651,0.0018986926023609409,4.2179957432730377e-07,7.218157049053517e-06,0.00011089762400311917,0.0018977649934759195,0,1,20,20,16,1.0,0.0,1.0,1880,0,0,0,67.30864660495348
3,x,2,0.1,normal,112500000,0.9809906488888889,110361448,8.968769569241446e-06,0.9809818488888888,1125,0.00015614687218661448,0.002672104750126846,5.139025445098518e-07,8.79429354592454e-06,0.00015610921270134764,0.0026714602922004098,0,1,24,24,24,1.0,0.0,11.0,1958,0,0,0,485.9854483749077
3,x,2,0.3,m1,112500000,0.9526053422222223,107168101,7.848588078688623e-05,0.9525305244444444,1125,0.00031812753646930753,0.005444041814234044,2.150096462872775e-06,3.679409578442892e-05,0.0003175840248644905,0.005434740827793246,0,1,20,20,16,1.0,0.0,48.0,16738,0,0,0,137.94163850506806
3,x,2,0.3,normal,112500000,0.9441297066666666,106214592,7.901429404313774e-05,0.9440550622222221,1125,0.0004462085865674909,0.007635862742670988,2.6995536305399785e-06,4.619682724587049e-05,0.00044586135350704436,0.0076299206248608325,0,1,24,24,24,1.0,0.0,106.0,16583,0,0,0,1212.6516696519466
3,x,2,0.5,m1,112500000,0.9223137866666667,103760301,0.00021958590380835837,0.9221110088888889,1125,0.000514047921150098,0.008796781342225033,5.3944363574307985e-06,9.231372241462973e-05,0.0005124424758213486,0.008769307733378784,0,1,20,20,16,1.0,0.0,238.0,45149,0,0,0,211.2240228858827
3,x,2,0.5,normal,112500000,0.9086760711111111,102226058,0.0002233728757417178,0.9084728755555556,1125,0.0007165095409106995,0.012261459489822633,7.0593067718645034e-06,0.00012080425879525736,0.0007154317147666155,0.012243014904163716,0,1,24,24,24,1.0,0.0,426.0,44867,0,0,0,1622.5684278577755
3,x,2,0.8,m1,112500000,0.8787084711111111,98854703,0.0005611133705751735,0.87821444,1125,0.0007752115830088067,0.013266013749129434,1.3202981488774367e-05,0.0002259395212849811,0.0007711618486932157,0.013196711596931919,0,1,20,20,16,1.0,0.0,887.0,109383,0,0,0,342.3305842969093
3,x,2,0.8,normal,112500000,0.8580787022222222,96533854,0.0005687425672780689,0.8575899644444445,1125,0.001083115392864307,0.018535099331027916,1.7192778253597066e-05,0.00029421597625349353,0.00108071563597874,0.018494032855066685,0,1,24,24,24,1.0,0.0,1347.0,107272,0,0,0,2034.3620570741805
3,x,2,1.0,m1,112500000,0.8508679288888888,95722642,0.0008787555199815181,0.8501183288888888,1125,0.0009423072290677985,0.016125482295038747,2.0345072414393596e-05,0.00034816044586025396,0.000935934320838982,0.016016424213298942,0,1,20,20,16,1.0,0.0,1547.0,165566,0,0,0,444.26332168599396
3,x,2,1.0,normal,112500000,0.8259956266666667,92924508,0.0008891749690756842,0.8252598844444444,1125,0.0013013647295206118,0.02226994896986262,2.6851145379391327e-05,0.0004594973444544519,0.0012976935908188055,0.022207125635484538,0,1,24,24,24,1.0,0.0,2179.0,161184,0,0,0,2363.264337653971
3,x,3,0.1,m1,112500000,0.9937671288888889,111798802,7.418316753760847e-05,0.9936934,1125,3.930523012150619e-05,0.000672621171604287,4.008725536624574e-06,6.860037859463167e-05,3.880170312095274e-05,0.000664004432305225,1,0,12,12,8,1.0,0.0,71.0,16447,0,0,0,90.95159264393801
3,x,3,0.1,normal,112500000,0.9931436177777777,111728657,0.00019944892954412407,0.9929455377777778,1125,2.0415591127565148e-05,0.0003493672160363055,1.9481656011581015e-06,3.333850037461422e-05,2.0738471686403495e-05,0.0003548925952060172,1,0,16,16,16,1.0,0.0,132.0,44304,0,0,0,488.49721684502583
3,x,3,0.3,m1,112500000,0.9814128355555555,110408944,0.000272798867767708,0.9811450266666666,1125,0.00010830842155189716,0.001853456580043969,1.1692061771827297e-05,0.00020008350703264646,0.00010637759806731198,0.0018204148512371925,1,0,12,12,8,1.0,0.0,487.0,59283,0,0,0,128.97385280593875
3,x,3,0.3,normal,112500000,0.9796229244444445,110207579,0.0006563519434384862,0.97897996,1125,4.469711558559638e-05,0.000764891241180297,3.872279295751043e-06,6.62654061211557e-05,4.578512470679561e-05,0.0007835100857349498,1,0,16,16,16,1.0,0.0,1395.0,141877,0,0,0,914.1659436468763
3,x,3,0.5,m1,112500000,0.9692975911111112,109045979,0.0005410389167044481,0.9687729111111112,1125,0.0001745346532886435,0.0029867705294599296,1.9735791629750982e-05,0.0003377339668920502,0.00017066861278994253,0.0029206118864074093,1,0,12,12,8,1.0,0.0,1557.0,114939,0,0,0,149.0061951989191
3,x,3,0.5,normal,112500000,0.9663870666666666,108718545,0.0011730633871445074,0.9652534844444446,1125,6.924504432589092e-05,0.001184974180237333,5.869038317007947e-06,0.00010043547428097496,7.17794862814894e-05,0.0012283454901690606,1,0,16,16,16,1.0,0.0,3599.0,247858,0,0,0,1265.1833433640677
3,x,3,0.8,m1,112500000,0.9515097422222223,107044846,0.0010696822253998298,0.9504912488888888,1125,0.00027120853803443373,0.004641128013698962,3.201741954511007e-05,0.0005479065808698711,0.00026441893087240654,0.004524939060983562,1,0,12,12,8,1.0,0.0,3942.0,221277,0,0,0,192.01527987373623
