n,lstate,i,meas_type,p_error,sim_type,N_samples,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,detect_normal,decoding_normal
3,x,2,"['x', 'x', 'x']",0.01,m1,1,0,10000000,9976274,0.0,16,0,0.9976274,0.0,,8.019025940947492e-07,0.0,,0.1006148350002149,0.0179197649997604
3,x,2,"['x', 'x', 'x']",0.01,normal,1,0,10000000,9966092,0.0,11,0,0.9966092,0.0,,5.518712851536992e-07,0.0,,1.151777716999959,0.5560099420001734
3,x,2,"['x', 'x', 'x']",0.05,m1,1,0,10000000,9883354,0.0,328,0,0.9883354,0.0,,1.6593557207401454e-05,0.0,,0.3167589580000367,0.03710880299991
3,x,2,"['x', 'x', 'x']",0.05,normal,1,0,10000000,9832069,0.0,262,0,0.9832069,0.0,,1.3323747016014636e-05,0.0,,1.9322553670001523,0.9244593649998478
3,x,2,"['x', 'x', 'x']",0.1,m1,1,0,10000000,9769759,2.0,1248,0,0.9769759,0.0,,6.407527555183295e-05,0.0,,0.526664144999927,0.0486239600000999
3,x,2,"['x', 'x', 'x']",0.1,normal,1,0,10000000,9625182,1.0,798,0,0.9625182,0.0,,4.1557655740951185e-05,0.0,,1.5109203179999895,0.1550646260000121
3,x,2,"['x', 'x', 'x']",0.5,m1,1,0,10000000,8890286,215.0,28184,0,0.8890286,0.0,,0.001609284560699172,0.0,,1.6563447519999954,-0.7901956099999552
3,x,2,"['x', 'x', 'x']",0.5,normal,1,0,10000000,8438011,191.0,21204,0,0.8438011,0.0,,0.001279092904714156,0.0,,12.489613328000132,-6.15075057800027
3,x,2,"['x', 'x', 'x']",1.0,m1,1,0,10000000,7923749,1622.0,97929,0,0.7923749,0.0,,0.006384162345374645,0.0,,4.033951320000028,-2.254205655000078
3,x,2,"['x', 'x', 'x']",1.0,normal,1,0,10000000,6813170,789.0,51666,0,0.681317,0.0,,0.003907432223179519,0.0,,35.57918789500002,0.5586436700000377
3,x,3,"['z', 'x', 'x']",0.01,m1,1,0,10000000,9985596,0.0,431,0,0.9985596,0.0,,2.158108539540354e-05,0.0,,0.0606126889999814,0.0154859340000257
3,x,3,"['z', 'x', 'x']",0.01,normal,1,0,10000000,9983975,0.0,395,0,0.9983975,0.0,,1.9781700174529683e-05,0.0,,0.9584676819999912,0.4287191609998899
3,x,3,"['z', 'x', 'x']",0.05,m1,1,0,10000000,9928346,9.0,2230,0,0.9928346,0.0,,0.00011321120355797431,0.0,,0.1428330460000779,0.0287122369998087
3,x,3,"['z', 'x', 'x']",0.05,normal,1,0,10000000,9920234,9.0,2320,0,0.9920234,0.0,,0.00011783996224282613,0.0,,0.4323436500001207,0.0999294109999482
3,x,3,"['z', 'x', 'x']",0.1,m1,1,0,10000000,9898084,34.0,3645,0,0.9898084,0.0,,0.00018756155231658975,0.0,,0.2473097360000338,0.0359498440000152
3,x,3,"['z', 'x', 'x']",0.1,normal,1,0,10000000,9842426,47.0,5270,0,0.9842426,0.0,,0.000272493793704926,0.0,,2.317380211,0.5767709309999418
3,x,3,"['z', 'x', 'x']",0.5,m1,1,0,10000000,9313580,786.0,31746,0,0.931358,0.0,,0.001788678467356269,0.0,,0.5053680749999785,0.0689962419999119
3,x,3,"['z', 'x', 'x']",0.5,normal,1,0,10000000,9242367,1450.0,49393,0,0.9242367,0.0,,0.0028289830949149715,0.0,,2.1543094940000174,1.0943726510001852
3,x,3,"['z', 'x', 'x']",1.0,m1,1,0,10000000,9038668,5308.0,148098,0,0.9038668,0.0,,0.008779722852969043,0.0,,0.7179505830000608,0.0756199789999527
3,x,3,"['z', 'x', 'x']",1.0,normal,1,0,10000000,8565512,6918.0,144057,0,0.8565512,0.0,,0.009216787040868077,0.0,,11.614322985000058,1.446197887999915
3,x,4,"['x', 'z', 'x']",0.01,m1,1,0,10000000,9974836,356.0,29520,0,0.9974836,0.0,,0.0015154133862451474,0.0,,0.2885191409998242,0.0743390330001148
