n,lstate,i,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,9,1.0,m1,0,na,1000000,1000000,4,7,0,1.0,4.000000000004e-06,0,2.837554403929971,"['z', 'z', 'z', 'x']"
4,x,9,0.8,m1,0,na,1000000,1000000,1,2,0,1.0,1.0000000000287557e-06,0,2.4548051909077917,"['z', 'z', 'z', 'x']"
4,x,9,0.5,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,1.3472986139822751,"['z', 'z', 'z', 'x']"
4,x,2,0.5,m1,0,na,1000000,729253,0,0,0,0.729253,0.0,0,8.121551814023405,"['x', 'x', 'x', 'x']"
4,x,5,1.0,m1,0,na,1000000,808468,20,40,0,0.808468,2.4738146716996035e-05,0,9.025366610963829,"['z', 'z', 'x', 'x']"
4,x,3,0.5,m1,0,na,1000000,866055,0,1,0,0.866055,0.0,0,5.096075908048078,"['z', 'x', 'x', 'x']"
4,x,5,0.8,m1,0,na,1000000,885780,4,8,0,0.88578,4.515793989523509e-06,0,11.00560310401488,"['z', 'z', 'x', 'x']"
4,x,5,0.5,m1,0,na,1000000,932996,0,1,0,0.932996,0.0,0,3.0990164449904114,"['z', 'z', 'x', 'x']"
4,x,3,1.0,m1,0,na,1000000,755175,4,7,0,0.755175,5.2967855133090325e-06,0,15.923679550061934,"['z', 'x', 'x', 'x']"
4,x,9,0.3,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,1.3021365569438783,"['z', 'z', 'z', 'x']"
4,x,2,0.3,m1,0,na,1000000,836487,0,0,0,0.836487,0.0,0,4.963480990030803,"['x', 'x', 'x', 'x']"
4,x,3,0.8,m1,0,na,1000000,792450,4,9,0,0.79245,5.047637074873101e-06,0,13.45602184603922,"['z', 'x', 'x', 'x']"
4,x,2,0.1,m1,0,na,1000000,938333,0,0,0,0.938333,0.0,0,2.510457151918672,"['x', 'x', 'x', 'x']"
4,x,3,0.1,m1,0,na,1000000,963789,0,0,0,0.963789,0.0,0,2.2429990919772536,"['z', 'x', 'x', 'x']"
4,x,5,0.3,m1,0,na,1000000,942730,0,0,0,0.94273,0.0,0,2.3772855249699205,"['z', 'z', 'x', 'x']"
4,x,9,0.1,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,0.4397073980653658,"['z', 'z', 'z', 'x']"
4,x,5,0.1,m1,0,na,1000000,982486,0,0,0,0.982486,0.0,0,1.0464998768875375,"['z', 'z', 'x', 'x']"
4,x,2,0.8,m1,0,na,1000000,657890,2,4,0,0.65789,3.0400218881121432e-06,0,27.91159549599979,"['x', 'x', 'x', 'x']"
4,x,3,0.3,m1,0,na,1000000,916796,0,0,0,0.916796,0.0,0,2.3648693750146776,"['z', 'x', 'x', 'x']"
4,x,2,1.0,m1,0,na,1000000,533785,1,2,0,0.533785,1.8734134530351556e-06,0,32.52980427898001,"['x', 'x', 'x', 'x']"
