n,lstate,i,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,9,0.8,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,1.788792885025032,"['z', 'z', 'z', 'x']"
4,x,9,1.0,m1,0,na,1000000,1000000,2,4,0,1.0,1.999999999946489e-06,0,2.922162833972834,"['z', 'z', 'z', 'x']"
4,x,3,0.5,m1,0,na,1000000,840052,0,1,0,0.840052,0.0,0,6.244655058952048,"['z', 'x', 'x', 'x']"
4,x,2,0.5,m1,0,na,1000000,717182,1,2,0,0.717182,1.3943462050525213e-06,0,10.491988824098373,"['x', 'x', 'x', 'x']"
4,x,9,0.5,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,0.7481227640528232,"['z', 'z', 'z', 'x']"
4,x,5,0.8,m1,0,na,1000000,888383,6,11,0,0.888383,6.7538437813485785e-06,0,7.791472525917925,"['z', 'z', 'x', 'x']"
4,x,5,1.0,m1,0,na,1000000,848545,0,1,0,0.848545,0.0,0,8.56994990608655,"['z', 'z', 'x', 'x']"
4,x,2,0.8,m1,0,na,1000000,577378,2,4,0,0.577378,3.463935238312565e-06,0,18.23807903204579,"['x', 'x', 'x', 'x']"
4,x,5,0.5,m1,0,na,1000000,933927,1,2,0,0.933927,1.0707474995541588e-06,0,5.12171486497391,"['z', 'z', 'x', 'x']"
4,x,3,0.8,m1,0,na,1000000,766217,1,2,0,0.766217,1.305113303429195e-06,0,18.213242516038008,"['z', 'x', 'x', 'x']"
4,x,9,0.3,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,0.5090677560074255,"['z', 'z', 'z', 'x']"
4,x,3,1.0,m1,0,na,1000000,713305,6,11,0,0.713305,8.411549056841494e-06,0,16.903760235058144,"['z', 'x', 'x', 'x']"
4,x,2,0.3,m1,0,na,1000000,790091,0,0,0,0.790091,0.0,0,6.350868477020413,"['x', 'x', 'x', 'x']"
4,x,3,0.3,m1,0,na,1000000,890193,0,0,0,0.890193,0.0,0,4.819201468955725,"['z', 'x', 'x', 'x']"
4,x,9,0.1,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,0.38189625099767,"['z', 'z', 'z', 'x']"
4,x,3,0.1,m1,0,na,1000000,958887,0,0,0,0.958887,0.0,0,2.266537255956792,"['z', 'x', 'x', 'x']"
4,x,2,1.0,m1,0,na,1000000,522292,4,5,0,0.522292,7.658551155254045e-06,0,29.39012695790734,"['x', 'x', 'x', 'x']"
4,x,2,0.1,m1,0,na,1000000,939161,0,0,0,0.939161,0.0,0,2.4819165990920737,"['x', 'x', 'x', 'x']"
4,x,5,0.3,m1,0,na,1000000,945888,0,0,0,0.945888,0.0,0,1.7589277430670336,"['z', 'z', 'x', 'x']"
4,x,5,0.1,m1,0,na,1000000,984894,0,0,0,0.984894,0.0,0,0.8245296780951321,"['z', 'z', 'x', 'x']"
