n,lstate,i,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,9,1.0,m1,0,na,1000000,1000000,4,9,0,1.0,4.000000000004e-06,0,1.384820564999245,"['z', 'z', 'z', 'x']"
4,x,9,0.8,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,2.430049723945558,"['z', 'z', 'z', 'x']"
4,x,5,1.0,m1,0,na,1000000,826166,10,20,0,0.826166,1.2104104986199182e-05,0,6.296530922991224,"['z', 'z', 'x', 'x']"
4,x,9,0.5,m1,0,na,1000000,1000000,1,2,0,1.0,1.0000000000287557e-06,0,0.9156898809596896,"['z', 'z', 'z', 'x']"
4,x,3,0.5,m1,0,na,1000000,840312,0,0,0,0.840312,0.0,0,7.596429148921743,"['z', 'x', 'x', 'x']"
4,x,3,0.8,m1,0,na,1000000,775976,2,4,0,0.775976,2.577399300984773e-06,0,17.223411415005103,"['z', 'x', 'x', 'x']"
4,x,2,0.5,m1,0,na,1000000,694817,0,0,0,0.694817,0.0,0,20.19466522999573,"['x', 'x', 'x', 'x']"
4,x,5,0.5,m1,0,na,1000000,939819,0,0,0,0.939819,0.0,0,5.896210590959527,"['z', 'z', 'x', 'x']"
4,x,5,0.8,m1,0,na,1000000,867763,18,31,0,0.867763,2.0742990885724844e-05,0,13.587221128982492,"['z', 'z', 'x', 'x']"
4,x,2,0.3,m1,0,na,1000000,822912,0,0,0,0.822912,0.0,0,6.979801134904847,"['x', 'x', 'x', 'x']"
4,x,3,1.0,m1,0,na,1000000,727252,5,10,0,0.727252,6.875195943112367e-06,0,18.239911363925785,"['z', 'x', 'x', 'x']"
4,x,3,0.3,m1,0,na,1000000,908481,0,0,0,0.908481,0.0,0,3.5862929329741746,"['z', 'x', 'x', 'x']"
4,x,9,0.3,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,1.1200547369662672,"['z', 'z', 'z', 'x']"
4,x,2,1.0,m1,0,na,1000000,473613,1,2,0,0.473613,2.1114285292389567e-06,0,26.499279669020325,"['x', 'x', 'x', 'x']"
4,x,9,0.1,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,0.3811173449503258,"['z', 'z', 'z', 'x']"
4,x,2,0.1,m1,0,na,1000000,930277,0,0,0,0.930277,0.0,0,2.608299924992025,"['x', 'x', 'x', 'x']"
4,x,5,0.3,m1,0,na,1000000,937229,0,1,0,0.937229,0.0,0,2.1163582409499213,"['z', 'z', 'x', 'x']"
4,x,2,0.8,m1,0,na,1000000,589177,0,0,0,0.589177,0.0,0,29.78061023110058,"['x', 'x', 'x', 'x']"
4,x,3,0.1,m1,0,na,1000000,968070,0,0,0,0.96807,0.0,0,1.561437955009751,"['z', 'x', 'x', 'x']"
4,x,5,0.1,m1,0,na,1000000,987741,0,0,0,0.987741,0.0,0,0.9691226700088008,"['z', 'z', 'x', 'x']"
