n,lstate,i,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,9,1.0,m1,0,init,1000000,1000000,8,17,0,1.0,8.000000000008e-06,0,2.9693182029295717,"['z', 'z', 'z', 'x']"
4,x,5,1.0,m1,0,init,1000000,786083,12,21,0,0.786083,1.5265563560129536e-05,0,12.580145925981924,"['z', 'z', 'x', 'x']"
4,x,2,0.8,m1,0,init,1000000,559930,2,5,0,0.55993,3.571875055841112e-06,0,21.577400301815945,"['x', 'x', 'x', 'x']"
4,x,3,1.0,m1,0,init,1000000,743566,5,8,0,0.743566,6.724352646592102e-06,0,19.791035334113985,"['z', 'x', 'x', 'x']"
4,x,9,0.8,m1,0,init,1000000,1000000,4,7,0,1.0,4.000000000004e-06,0,2.619116219924763,"['z', 'z', 'z', 'x']"
4,x,5,0.8,m1,0,init,1000000,816046,2,5,0,0.816046,2.450842231938033e-06,0,9.589634445961565,"['z', 'z', 'x', 'x']"
4,x,3,0.8,m1,0,init,1000000,776003,3,6,0,0.776003,3.8659644356897616e-06,0,22.77351931296289,"['z', 'x', 'x', 'x']"
4,x,2,0.5,m1,0,init,1000000,704358,0,0,0,0.704358,0.0,0,13.62190684210509,"['x', 'x', 'x', 'x']"
4,x,9,0.5,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,1.3725220798514783,"['z', 'z', 'z', 'x']"
4,x,2,1.0,m1,0,init,1000000,456456,1,2,0,0.456456,2.1907916645247383e-06,0,53.29484469606541,"['x', 'x', 'x', 'x']"
4,x,5,0.5,m1,0,init,1000000,935777,8,15,0,0.935777,8.54904533875711e-06,0,6.493958269013092,"['z', 'z', 'x', 'x']"
4,x,2,0.3,m1,0,init,1000000,817388,0,0,0,0.817388,0.0,0,9.546242833137512,"['x', 'x', 'x', 'x']"
4,x,3,0.5,m1,0,init,1000000,797658,0,1,0,0.797658,0.0,0,15.462007730035111,"['z', 'x', 'x', 'x']"
4,x,9,0.3,m1,0,init,1000000,1000000,1,2,0,1.0,1.0000000000287557e-06,0,1.1838713339529932,"['z', 'z', 'z', 'x']"
4,x,3,0.3,m1,0,init,1000000,900683,0,0,0,0.900683,0.0,0,7.173309036996216,"['z', 'x', 'x', 'x']"
4,x,5,0.3,m1,0,init,1000000,920003,0,0,0,0.920003,0.0,0,4.466277251020074,"['z', 'z', 'x', 'x']"
4,x,2,0.1,m1,0,init,1000000,935402,0,0,0,0.935402,0.0,0,6.572558339918032,"['x', 'x', 'x', 'x']"
4,x,3,0.1,m1,0,init,1000000,953517,0,0,0,0.953517,0.0,0,4.297930001979694,"['z', 'x', 'x', 'x']"
4,x,9,0.1,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,0.978722648927942,"['z', 'z', 'z', 'x']"
4,x,5,0.1,m1,0,init,1000000,983251,0,0,0,0.983251,0.0,0,1.6167773720808327,"['z', 'z', 'x', 'x']"
