n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,9,"['z', 'z', 'z', 'x']",0.8,m1,0,na,1000000,1000000,4,9,0,1.0,4.000000000004e-06,0,2.463477513054386
4,x,9,"['z', 'z', 'z', 'x']",1,m1,0,na,1000000,1000000,2,4,0,1.0,1.999999999946489e-06,0,2.8373558779712766
4,x,5,"['z', 'z', 'x', 'x']",1,m1,0,na,1000000,860547,30,51,0,0.860547,3.486154736465075e-05,0,8.526142989983782
4,x,9,"['z', 'z', 'z', 'x']",0.5,m1,0,na,1000000,1000000,0,1,0,1.0,0.0,0,1.4616507559549063
4,x,3,"['z', 'x', 'x', 'x']",0.5,m1,0,na,1000000,828150,1,2,0,0.82815,1.2075107166387156e-06,0,14.245643352041952
4,x,5,"['z', 'z', 'x', 'x']",0.5,m1,0,na,1000000,923777,2,3,0,0.923777,2.1650246758708747e-06,0,3.448332153027877
4,x,5,"['z', 'z', 'x', 'x']",0.8,m1,0,na,1000000,853781,8,17,0,0.853781,9.37008436585618e-06,0,12.33455123694148
4,x,2,"['x', 'x', 'x', 'x']",0.8,m1,0,na,1000000,570789,2,4,0,0.570789,3.5039217644028398e-06,0,21.176188506069593
4,x,3,"['z', 'x', 'x', 'x']",0.8,m1,0,na,1000000,729201,2,3,0,0.729201,2.7427279996050657e-06,0,21.40995634603314
4,x,2,"['x', 'x', 'x', 'x']",0.5,m1,0,na,1000000,747953,0,0,0,0.747953,0.0,0,20.05325730901677
4,x,2,"['x', 'x', 'x', 'x']",1,m1,0,na,1000000,579721,2,3,0,0.579721,3.4499353999128957e-06,0,22.407962642027996
4,x,9,"['z', 'z', 'z', 'x']",0.3,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,1.058834546012804
4,x,3,"['z', 'x', 'x', 'x']",1,m1,0,na,1000000,702901,4,7,0,0.702901,5.690701819993649e-06,0,14.984964372008108
4,x,2,"['x', 'x', 'x', 'x']",0.3,m1,0,na,1000000,814006,0,0,0,0.814006,0.0,0,6.6095309720840305
4,x,3,"['z', 'x', 'x', 'x']",0.3,m1,0,na,1000000,899952,0,0,0,0.899952,0.0,0,4.272300728945993
4,x,9,"['z', 'z', 'z', 'x']",0.1,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,0.3530046090018004
4,x,2,"['x', 'x', 'x', 'x']",0.1,m1,0,na,1000000,927161,0,0,0,0.927161,0.0,0,2.59855657198932
4,x,5,"['z', 'z', 'x', 'x']",0.3,m1,0,na,1000000,950066,0,0,0,0.950066,0.0,0,1.9088831939734519
4,x,3,"['z', 'x', 'x', 'x']",0.1,m1,0,na,1000000,967004,0,0,0,0.967004,0.0,0,1.4860854849684983
4,x,5,"['z', 'z', 'x', 'x']",0.1,m1,0,na,1000000,986746,0,0,0,0.986746,0.0,0,0.9186448400141671
